Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																													
Дата голосования: 02.12.2007																													
																													
Наименование Избирательной комиссии:    Прикубанская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185					
1	"Число избирателей, внесенных в списки избирателей"	20669	2380	561	376	673	231	782	1158	278	188	548	784	1074	582	496	632	1144	673	886	1211	2588	1709	1715					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20630	2380	552	376	664	230	775	1154	273	188	548	783	1074	582	493	632	1144	677	879	1211	2588	1709	1718					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	20252	2320	552	365	645	221	733	1136	261	188	535	774	1070	573	483	620	1144	647	869	1151	2559	1707	1699					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	298	35	0	11	19	9	32	15	7	0	11	9	4	9	10	12	0	19	8	55	26	0	7					
6	Число погашенных избирательных бюллетеней	80	25	0	0	0	0	10	3	5	0	2	0	0	0	0	0	0	11	2	5	3	2	12					
7	Число избирательных бюллетеней в переносных ящиках для голосования	298	35	0	11	19	9	32	15	7	0	11	9	4	9	10	12	0	19	8	55	26	0	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20252	2320	552	365	645	221	733	1136	261	188	535	774	1070	573	483	620	1144	647	869	1151	2559	1707	1699					
9	Число недействительных избирательных бюллетеней	29	3	10	0	0	0	11	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	20521	2352	542	376	664	230	754	1151	268	188	546	783	1074	577	493	632	1144	666	877	1206	2585	1707	1706					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	130	50	2	1	7	1	7	4	2	2	2	3	4	2	2	2	6	2	3	4	10	7	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	68	24	0	1	5	1	6	2	0	0	2	0	0	0	2	0	1	0	3	3	7	7	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	30	14	0	1	2	2	1	1	2	1	0	0	2	0	1	1	1	0	1	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	62	26	2	0	2	0	1	2	2	2	0	3	4	2	0	2	5	2	0	1	3	0	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	1.Политическая партия «Аграрная партия России»	38	3	0	0	0	1	3	4	0	0	0	4	10	0	0	0	0	0	1	2	1	9	0					
