Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Усть-Вымская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22672	676	423	139	560	1538	1929	2002	1614	465	120	447	151	2708	220	632	627	132	221	169	137	123	2419	2800	2290	130									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23130	700	400	150	570	1580	1950	2100	1600	480	125	470	160	2800	235	640	640	140	240	180	140	130	2460	2800	2300	140									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11433	435	309	74	269	762	915	963	701	258	80	206	66	1589	131	298	455	75	179	120	95	69	935	1319	1066	64									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	704	86	30	23	42	62	23	16	17	40	3	16	22	87	16	32	66	21	5	7	20	19	8	16	23	4									
6	Число погашенных избирательных бюллетеней	10993	179	61	53	259	756	1012	1121	882	182	42	248	72	1124	88	310	119	44	56	53	25	42	1517	1465	1211	72									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	704	86	30	23	42	62	23	16	17	40	3	16	22	87	16	32	66	21	5	7	20	19	8	16	23	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11432	435	309	74	269	762	915	963	701	258	80	206	66	1588	131	298	455	75	179	120	95	69	935	1319	1066	64									
9	Число недействительных избирательных бюллетеней	196	0	5	2	1	19	12	13	24	3	0	3	5	14	4	17	4	2	0	0	0	0	26	17	24	1									
10	Число действительных избирательных бюллетеней	11940	521	334	95	310	805	926	966	694	295	83	219	83	1661	143	313	517	94	184	127	115	88	917	1318	1065	67									
