Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Благовещенская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127					
1	"Число избирателей, внесенных в списки"	13878	1215	278	258	1027	84	370	208	97	650	76	116	137	515	665	1839	866	616	686	443	242	994	177	1068	550	134	111	204	252					
2	"Число бюллетеней, полученных участковыми комиссиями"	13400	1150	268	240	980	112	350	190	100	620	81	118	146	480	660	1840	820	595	650	410	220	970	180	1025	520	136	109	195	235					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7159	630	137	148	486	80	227	158	60	371	54	76	79	263	287	852	471	285	299	209	115	577	123	444	321	82	57	122	146					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	536	31	8	6	51	0	11	8	5	15	5	1	13	17	24	55	20	46	24	30	14	16	5	48	33	6	9	22	13					
6	Число погашенных бюллетеней	5705	489	123	86	443	32	112	24	35	234	22	41	54	200	349	933	329	264	327	171	91	377	52	533	166	48	43	51	76					
7	Число бюллетеней в переносных ящиках для голосования	536	31	8	6	51	0	11	8	5	15	5	1	13	17	24	55	20	46	24	30	14	16	5	48	33	6	9	22	13					
8	Число бюллетеней в стационарных ящиках для голосования	7158	629	137	148	486	80	227	158	60	371	54	76	79	263	287	852	471	285	299	209	115	577	123	444	321	82	57	122	146					
9	Число недействительных бюллетеней	96	8	5	2	1	5	3	2	2	1	1	1	0	4	1	15	5	1	8	2	0	11	1	6	6	0	0	4	1					
10	Число действительных бюллетеней	7598	652	140	152	536	75	235	164	63	385	58	76	92	276	310	892	486	330	315	237	129	582	127	486	348	88	66	140	158					
