Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																
Дата голосования: 18.09.2016																
																
Наименование Избирательной комиссии:    Кедровская городская																
																
Сводная таблица итогов голосования по федеральному избирательному округу																
																
		Сумма	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3101	1042	867	219	676	297									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2510	850	700	175	550	235									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	925	297	269	73	199	87									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	56	32	4	4	15	1									
6	Число погашенных избирательных бюллетеней	1529	521	427	98	336	147									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	56	32	4	4	15	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	925	297	269	73	199	87									
9	Число недействительных избирательных бюллетеней	23	4	6	2	7	4									
10	Число действительных избирательных бюллетеней	958	325	267	75	207	84									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	220	70	60	15	60	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	10	3	1	0	5	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	4	1	1	0	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	210	67	59	15	55	14									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	3	5	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0									
																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	11	4	2	0	2	3									
		1.12%	1.22%	0.73%	0.00%	0.93%	3.41%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	38	11	11	3	7	6									
		3.87%	3.34%	4.03%	3.90%	3.27%	6.82%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	24	8	9	0	7	0									
		2.45%	2.43%	3.30%	0.00%	3.27%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	401	146	100	33	88	34									
		40.88%	44.38%	36.63%	42.86%	41.12%	38.64%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	10	8	2	0	0	0									
		1.02%	2.43%	0.73%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	0	2	1	0									
		0.31%	0.00%	0.00%	2.60%	0.47%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	251	69	80	23	53	26									
		25.59%	20.97%	29.30%	29.87%	24.77%	29.55%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	5	1	1	1	2	0									
		0.51%	0.30%	0.37%	1.30%	0.93%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	14	5	5	0	3	1									
		1.43%	1.52%	1.83%	0.00%	1.40%	1.14%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	12	6	2	1	3	0									
		1.22%	1.82%	0.73%	1.30%	1.40%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	127	45	30	7	35	10									
		12.95%	13.68%	10.99%	9.09%	16.36%	11.36%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	5	1	1	0	3	0									
		0.51%	0.30%	0.37%	0.00%	1.40%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	57	21	24	5	3	4									
		5.81%	6.38%	8.79%	6.49%	1.40%	4.55%									
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
