Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Красноармейская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1406	УИК №1407	УИК №1408	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14983	527	116	242	116	60	351	196	226	2946	109	213	62	719	1819	1228	211	411	209	1229	1344	667	1484	188	67	243									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13286	500	120	240	120	62	350	200	230	2500	110	200	64	700	1500	1200	200	400	200	1000	1000	600	1300	180	70	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6207	247	66	137	69	11	149	75	111	1341	49	105	24	302	696	506	80	170	81	561	496	212	548	77	30	64									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	247	11	3	2	0	12	9	8	17	27	8	3	6	9	20	2	2	5	26	48	10	11	8	0	0	0									
6	Число погашенных избирательных бюллетеней	6832	242	51	101	51	39	192	117	102	1132	53	92	34	389	784	692	118	225	93	391	494	377	744	103	40	176									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	247	11	3	2	0	12	9	8	17	27	8	3	6	9	20	2	2	5	26	48	10	11	8	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6204	247	66	137	69	11	149	75	111	1341	49	105	24	302	696	506	80	170	81	561	496	212	545	77	30	64									
9	Число недействительных избирательных бюллетеней	332	5	3	2	4	0	8	2	1	75	1	3	2	9	58	23	4	9	0	21	35	29	34	4	0	0									
10	Число действительных избирательных бюллетеней	6119	253	66	137	65	23	150	81	127	1293	56	105	28	302	658	485	78	166	107	588	471	194	519	73	30	64									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	535	20	10	20	10	5	15	10	15	100	10	15	5	20	35	35	15	15	15	20	40	30	40	15	5	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	51	1	3	0	2	1	1	3	5	15	0	2	0	0	6	3	0	0	0	2	1	0	6	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	24	1	0	0	0	0	3	2	3	3	2	0	1	0	0	0	1	2	0	2	3	0	1	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	484	19	7	20	8	4	14	7	10	85	10	13	5	20	29	32	15	15	15	18	39	30	34	15	5	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	1	0	0	0	0	0	4	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	95	0	1	2	0	1	4	3	1	20	0	3	0	4	14	13	1	3	2	3	6	4	7	0	1	2									
		1.47%	0.00%	1.45%	1.44%	0.00%	4.35%	2.53%	3.61%	0.78%	1.46%	0.00%	2.78%	0.00%	1.29%	1.96%	2.56%	1.22%	1.71%	1.87%	0.49%	1.19%	1.79%	1.27%	0.00%	3.33%	3.13%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	273	5	0	6	0	1	9	0	7	51	1	3	2	8	34	28	3	10	9	31	31	4	26	1	1	2									
