Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Тимашевская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №5001	УИК №5002	УИК №5003	УИК №5004	УИК №5005	УИК №5006	УИК №5007	УИК №5008	УИК №5009	УИК №5010	УИК №5011	УИК №5012	УИК №5013	УИК №5014	УИК №5015	УИК №5016	УИК №5017	УИК №5018	УИК №5019	УИК №5020	УИК №5021	УИК №5022	УИК №5023	УИК №5024	УИК №5025	УИК №5026	УИК №5027	УИК №5028	УИК №5029	УИК №5030	УИК №5031	УИК №5032	УИК №5033	УИК №5034	УИК №5035	УИК №5036	УИК №5037	УИК №5038	УИК №5039	УИК №5040	УИК №5041	УИК №5042	УИК №5043	УИК №5044	УИК №5045	УИК №5046	УИК №5047	УИК №5048	УИК №5049	УИК №5050	УИК №5051	УИК №5052	УИК №5053	УИК №5054	УИК №5055	УИК №5056	УИК №5057	УИК №5058	УИК №5059	УИК №5060									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	78640	1249	785	1885	1498	1753	776	1195	1673	1028	1208	1002	2517	986	1180	1621	1768	780	1091	986	1199	2037	1376	1602	1666	1044	1182	429	2223	2197	1309	895	1533	2112	270	363	1877	954	1851	446	2177	1120	640	2003	982	1608	397	1710	2312	1576	1287	480	1426	1158	796	1712	891	2028	951	1008	832									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	64100	1000	600	1600	1300	1400	700	1000	1300	900	1000	900	2100	800	900	1300	1600	600	800	800	1000	1800	1000	1300	1300	800	800	350	1800	2000	1100	800	1300	2000	200	350	1600	700	1600	400	1700	900	500	1600	700	1300	300	1300	1800	1200	1100	350	1100	850	600	1300	700	1700	700	900	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30391	612	273	466	432	440	330	491	545	343	423	381	1188	250	337	481	589	243	291	330	407	881	439	501	550	359	251	109	779	1025	738	349	531	864	96	127	997	293	856	130	1021	467	393	801	474	662	153	557	916	499	842	287	701	389	371	532	326	839	526	549	359									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5418	111	53	85	78	175	50	22	129	182	94	62	54	23	53	99	99	52	57	16	32	38	79	42	36	31	79	60	158	98	82	27	131	84	30	58	145	97	154	120	179	334	84	180	137	115	99	78	213	154	94	43	57	86	72	76	16	39	70	177	40									
6	Число погашенных избирательных бюллетеней	28291	277	274	1049	790	785	320	487	626	375	483	457	858	527	510	720	912	305	452	454	561	881	482	757	714	410	470	181	863	877	280	424	638	1052	74	165	458	310	590	150	500	99	23	619	89	523	48	665	671	547	164	20	342	375	157	692	358	822	104	174	301									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5417	111	53	85	78	175	50	22	129	182	94	62	54	23	53	99	99	52	57	16	32	38	79	42	36	31	79	60	158	98	82	27	131	84	30	58	145	97	154	120	179	334	84	180	137	115	99	78	212	154	94	43	57	86	72	76	16	39	70	177	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	30388	612	273	466	432	440	330	491	545	343	423	381	1188	250	337	481	588	243	291	330	407	881	439	501	550	359	251	109	779	1025	738	349	531	864	96	127	997	292	856	130	1021	467	393	801	474	662	153	557	916	499	842	287	701	389	371	532	326	839	526	548	359									
9	Число недействительных избирательных бюллетеней	533	12	6	6	13	11	9	8	11	7	6	7	16	6	7	5	20	3	9	5	8	14	7	19	3	10	5	4	16	11	4	7	21	13	4	1	9	5	20	4	10	6	5	12	0	26	0	12	9	5	7	0	22	3	3	17	9	13	6	10	6									
10	Число действительных избирательных бюллетеней	35272	711	320	545	497	604	371	505	663	518	511	436	1226	267	383	575	667	292	339	341	431	905	511	524	583	380	325	165	921	1112	816	369	641	935	122	184	1133	384	990	246	1190	795	472	969	611	751	252	623	1119	648	929	330	736	472	440	591	333	865	590	715	393									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	755	10	7	20	10	10	10	10	15	10	15	15	30	10	13	10	19	7	11	10	15	15	10	20	20	10	10	5	15	15	20	10	10	20	3	5	22	10	22	15	20	10	8	15	10	10	5	20	15	10	10	5	10	10	14	10	7	22	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	585	3	7	12	9	3	10	8	12	5	15	15	27	3	13	10	15	7	11	10	11	15	6	17	16	6	7	1	11	9	10	4	10	14	2	5	20	10	22	15	20	5	8	9	10	6	0	14	15	10	3	0	10	8	9	5	2	20	10	5	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	435	9	8	10	7	6	4	8	34	12	10	12	6	11	18	10	15	9	9	4	19	8	12	10	10	14	6	2	8	6	5	4	4	2	3	1	2	4	22	5	3	1	3	12	2	1	1	1	12	4	4	2	2	6	0	3	5	18	1	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	170	7	0	8	1	7	0	2	3	5	0	0	3	7	0	0	4	0	0	0	4	0	4	3	4	4	3	4	4	6	10	6	0	6	1	0	2	0	0	0	0	5	0	6	0	4	5	6	0	0	7	5	0	2	5	5	5	2	0	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	156	3	5	1	2	6	4	8	5	4	3	1	17	0	5	2	4	1	4	6	1	10	6	1	3	2	2	0	1	2	2	0	2	2	0	1	1	0	0	0	0	1	2	3	0	0	0	1	2	1	0	0	1	2	3	2	7	10	1	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	995	29	9	21	24	22	16	21	20	17	18	21	56	8	20	20	23	6	17	18	13	23	23	14	30	17	9	1	16	17	13	9	13	15	0	2	26	9	16	1	5	17	14	31	20	15	0	9	17	19	10	4	14	29	14	22	23	36	10	20	13									
