Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																												
Дата голосования: 04.12.2011																																																																												
																																																																												
Наименование Избирательной комиссии:    Татарская 																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
		Сумма	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022					
1	"Число избирателей, внесенных в список избирателей"	32571	554	84	248	56	90	545	46	89	140	511	415	212	294	370	161	253	60	462	136	412	363	66	57	109	676	206	217	67	49	677	114	121	37	908	152	126	370	299	89	110	327	41	595	53	89	557	355	114	361	87	235	107	77	1080	1331	1372	1047	959	1701	1423	1426	1323	1199	1447	1491	1157	864	1318	484					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33115	570	90	255	60	95	540	55	90	145	570	440	225	300	375	160	260	60	490	135	425	390	70	60	115	685	205	220	70	55	680	115	130	40	925	155	125	380	310	90	110	345	45	620	55	90	575	365	135	355	90	250	115	75	1090	1335	1370	1060	970	1700	1435	1440	1325	1140	1460	1515	1180	870	1350	490					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16263	342	59	171	48	79	303	30	73	93	315	217	106	148	195	90	184	47	250	56	201	220	46	39	77	330	90	108	50	39	401	70	108	37	500	73	74	251	183	61	91	232	34	359	41	57	299	237	81	182	64	168	69	48	465	514	722	538	460	777	604	757	632	546	511	546	401	338	472	254					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1862	36	6	11	0	4	38	0	0	10	61	21	12	61	28	16	11	6	16	5	30	20	5	10	0	36	12	9	0	3	41	6	7	0	47	16	20	12	23	1	4	0	0	35	0	3	48	17	0	14	6	14	6	0	27	35	76	85	35	103	59	85	74	108	92	72	74	40	79	31					
6	Число погашенных избирательных бюллетеней	14990	192	25	73	12	12	199	25	17	42	194	202	107	91	152	54	65	7	224	74	194	150	19	11	38	319	103	103	20	13	238	39	15	3	378	66	31	117	104	28	15	113	11	226	14	30	228	111	54	159	20	68	40	27	598	786	572	437	475	820	772	598	619	486	857	897	705	492	799	205					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1862	36	6	11	0	4	38	0	0	10	61	21	12	61	28	16	11	6	16	5	30	20	5	10	0	36	12	9	0	3	41	6	7	0	47	16	20	12	23	1	4	0	0	35	0	3	48	17	0	14	6	14	6	0	27	35	76	85	35	103	59	85	74	108	92	72	74	40	79	31					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16262	342	59	171	48	79	303	30	73	93	315	217	106	148	195	90	184	47	250	56	201	220	46	39	77	330	90	108	50	39	401	70	108	37	500	73	74	251	183	61	91	232	34	359	41	57	299	237	81	182	64	168	69	48	465	514	722	538	460	777	604	757	632	546	511	545	401	338	472	254					
9	Число недействительных избирательных бюллетеней	349	4	4	4	0	1	2	1	0	1	6	5	0	3	3	1	7	0	9	3	2	11	1	0	3	5	0	4	1	1	10	0	2	0	12	2	2	4	2	0	0	3	0	6	0	3	6	1	2	2	1	3	1	0	13	10	7	7	12	16	20	18	13	17	14	19	11	13	12	3					
10	Число действительных избирательных бюллетеней	17775	374	61	178	48	82	339	29	73	102	370	233	118	206	220	105	188	53	257	58	229	229	50	49	74	361	102	113	49	41	432	76	113	37	535	87	92	259	204	62	95	229	34	388	41	57	341	253	79	194	69	179	74	48	479	539	791	616	483	864	643	824	693	637	589	598	464	365	539	282					
