Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Виноградовская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14779	379	292	630	411	775	1052	416	372	431	547	591	416	291	224	694	1609	1739	1742	176	489	639	540	324									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13840	300	300	600	400	700	1000	300	400	400	500	500	400	300	200	700	1600	1700	1700	140	500	500	400	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	96	0	0	21	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	44	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4967	93	115	192	126	278	287	159	152	121	138	162	158	113	98	214	535	645	599	77	179	239	197	90									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1038	41	4	9	59	49	68	88	81	36	68	21	9	6	33	66	68	38	52	15	12	82	55	78									
6	Число погашенных избирательных бюллетеней	7739	166	181	378	215	373	645	53	167	243	294	286	233	181	69	420	997	1017	1049	48	265	179	148	132									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1134	41	4	30	59	49	68	88	81	36	68	52	9	6	33	66	68	38	52	15	56	82	55	78									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4967	93	115	192	126	278	287	159	152	121	138	162	158	113	98	214	535	645	599	77	179	239	197	90									
9	Число недействительных избирательных бюллетеней	62	2	0	2	4	5	2	10	2	0	1	1	1	3	1	1	3	5	6	1	2	4	2	4									
10	Число действительных избирательных бюллетеней	6039	132	119	220	181	322	353	237	231	157	205	213	166	116	130	279	600	678	645	91	233	317	250	164									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	196	5	11	10	5	10	10	10	20	5	5	10	5	5	5	9	16	15	15	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	158	0	11	10	5	6	10	8	20	1	5	7	0	5	0	9	16	15	14	1	5	3	2	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	101	3	2	2	2	6	4	7	6	0	2	4	4	1	3	2	8	8	19	5	1	5	4	3									
14	Число погашенных неиспользованных открепительных удостоверений	38	5	0	0	0	4	0	2	0	4	0	3	5	0	5	0	0	0	1	4	0	2	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	0	0	0	0	0	0	3	1	0	0	1	0	0	0	4	12	8	9	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	55	0	2	0	1	3	2	2	2	0	1	4	3	1	2	4	4	9	4	4	0	3	3	1									
		0.90%	0.00%	1.68%	0.00%	0.54%	0.92%	0.56%	0.81%	0.86%	0.00%	0.49%	1.87%	1.80%	0.84%	1.53%	1.43%	0.66%	1.32%	0.61%	4.35%	0.00%	0.93%	1.19%	0.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	134	3	5	2	5	9	16	5	4	4	4	8	4	0	4	3	14	12	10	2	4	5	6	5									
		2.20%	2.24%	4.20%	0.90%	2.70%	2.75%	4.51%	2.02%	1.72%	2.55%	1.94%	3.74%	2.40%	0.00%	3.05%	1.07%	2.32%	1.76%	1.54%	2.17%	1.70%	1.56%	2.38%	2.98%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	245	6	3	4	4	20	24	9	7	10	2	7	4	4	4	13	34	25	26	4	6	8	11	10									
		4.02%	4.48%	2.52%	1.80%	2.16%	6.12%	6.76%	3.64%	3.00%	6.37%	0.97%	3.27%	2.40%	3.36%	3.05%	4.64%	5.64%	3.66%	3.99%	4.35%	2.55%	2.49%	4.37%	5.95%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3137	70	68	130	94	138	147	129	127	88	132	104	99	69	77	167	297	311	300	44	152	170	124	100									
		51.42%	52.24%	57.14%	58.56%	50.81%	42.20%	41.41%	52.23%	54.51%	56.05%	64.08%	48.60%	59.28%	57.98%	58.78%	59.64%	49.25%	45.53%	46.08%	47.83%	64.68%	52.96%	49.21%	59.52%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	25	0	1	1	0	0	2	1	3	0	1	2	1	1	0	0	5	3	2	0	0	1	0	1									
		0.41%	0.00%	0.84%	0.45%	0.00%	0.00%	0.56%	0.40%	1.29%	0.00%	0.49%	0.93%	0.60%	0.84%	0.00%	0.00%	0.83%	0.44%	0.31%	0.00%	0.00%	0.31%	0.00%	0.60%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	1	0	1	0	1	0	0	0	2	0	0	0	0	1	0	3	1	2	0	0	1	0	0									
		0.21%	0.75%	0.00%	0.45%	0.00%	0.31%	0.00%	0.00%	0.00%	1.27%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.50%	0.15%	0.31%	0.00%	0.00%	0.31%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1047	23	16	42	32	64	81	32	52	23	40	32	25	21	10	34	98	136	101	13	35	62	52	23									
		17.16%	17.16%	13.45%	18.92%	17.30%	19.57%	22.82%	12.96%	22.32%	14.65%	19.42%	14.95%	14.97%	17.65%	7.63%	12.14%	16.25%	19.91%	15.51%	14.13%	14.89%	19.31%	20.63%	13.69%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	0	0	0	0	0	1	0	1	1	0	1	0	1	0	1	2	0	3	1	1	1	0	0									
		0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.43%	0.64%	0.00%	0.47%	0.00%	0.84%	0.00%	0.36%	0.33%	0.00%	0.46%	1.09%	0.43%	0.31%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	33	1	1	3	1	0	1	1	1	1	0	0	1	1	1	2	3	3	5	3	2	1	1	0									
		0.54%	0.75%	0.84%	1.35%	0.54%	0.00%	0.28%	0.40%	0.43%	0.64%	0.00%	0.00%	0.60%	0.84%	0.76%	0.71%	0.50%	0.44%	0.77%	3.26%	0.85%	0.31%	0.40%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0									
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.33%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	57	0	2	5	1	1	4	1	0	1	0	1	0	3	2	2	4	15	7	2	1	0	4	1									
		0.93%	0.00%	1.68%	2.25%	0.54%	0.31%	1.13%	0.40%	0.00%	0.64%	0.00%	0.47%	0.00%	2.52%	1.53%	0.71%	0.66%	2.20%	1.08%	2.17%	0.43%	0.00%	1.59%	0.60%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	757	22	16	15	25	59	49	36	16	24	14	34	14	11	20	25	77	92	101	13	16	38	28	12									
		12.41%	16.42%	13.45%	6.76%	13.51%	18.04%	13.80%	14.57%	6.87%	15.29%	6.80%	15.89%	8.38%	9.24%	15.27%	8.93%	12.77%	13.47%	15.51%	14.13%	6.81%	11.84%	11.11%	7.14%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	22	0	0	2	0	1	2	2	0	1	0	0	3	1	0	1	1	2	3	0	0	3	0	0									
		0.36%	0.00%	0.00%	0.90%	0.00%	0.31%	0.56%	0.81%	0.00%	0.64%	0.00%	0.00%	1.80%	0.84%	0.00%	0.36%	0.17%	0.29%	0.46%	0.00%	0.00%	0.93%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	495	6	5	15	18	26	24	18	18	2	11	19	12	3	9	27	56	68	81	5	16	24	21	11									
		8.11%	4.48%	4.20%	6.76%	9.73%	7.95%	6.76%	7.29%	7.73%	1.27%	5.34%	8.88%	7.19%	2.52%	6.87%	9.64%	9.29%	9.96%	12.44%	5.43%	6.81%	7.48%	8.33%	6.55%									
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
