Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																												
Дата голосования: 07.12.2003 0:00:00																																																																												
																																																																												
Наименование Избирательной комиссии:    Кукморская 																																																																												
																																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																												
																																																																												
		Сумма	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754					
1	"Число избирателей, внесенных в списки"	37793	367	234	614	210	251	1526	240	136	730	608	378	538	359	317	262	291	619	172	388	163	680	481	269	296	810	280	650	474	400	285	547	268	482	510	448	245	183	611	261	204	369	706	511	287	479	137	287	521	186	404	624	355	452	344	346	230	487	276	542	440	1298	1492	1720	1267	1945	1669	2345	708	579					
2	"Число бюллетеней, полученных участковыми комиссиями"	37593	370	232	624	222	258	1543	241	140	727	617	380	540	356	320	262	289	622	172	388	163	684	483	272	292	807	282	651	478	405	283	561	266	479	513	460	245	186	613	266	206	368	708	523	289	496	137	287	528	186	406	630	356	456	346	349	235	485	274	542	441	1276	1483	1714	1209	1926	1593	2219	679	554					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	30308	342	211	458	197	238	1325	201	126	669	583	339	481	336	274	246	228	599	167	361	149	643	394	246	273	722	264	624	457	353	263	470	241	459	460	402	200	172	508	236	182	326	527	422	255	316	120	279	490	182	375	601	340	397	314	334	204	401	212	498	395	841	972	1050	803	1125	1083	1531	448	368					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2028	20	17	96	13	13	27	21	10	36	11	15	34	16	23	10	20	13	5	23	10	35	54	20	16	23	11	2	8	28	15	23	14	20	4	19	16	11	47	19	22	16	111	79	25	95	8	0	12	0	16	20	12	48	26	3	16	37	54	40	35	74	70	98	42	48	76	49	44	34					
6	Число погашенных бюллетеней	5257	8	4	70	12	7	191	19	4	22	23	26	25	4	23	6	41	10	0	4	4	6	35	6	3	62	7	25	13	24	5	68	11	0	49	39	29	3	58	11	2	26	70	22	9	85	9	8	26	4	15	9	4	11	6	12	15	47	8	4	11	361	441	566	364	753	434	639	187	152					
7	Число бюллетеней в переносных ящиках для голосования	2028	20	17	96	13	13	27	21	10	36	11	15	34	16	23	10	20	13	5	23	10	35	54	20	16	23	11	2	8	28	15	23	14	20	4	19	16	11	47	19	22	16	111	79	25	95	8	0	12	0	16	20	12	48	26	3	16	37	54	40	35	74	70	98	42	48	76	49	44	34					
8	Число бюллетеней в стационарных ящиках для голосования	30304	342	211	458	197	238	1325	201	126	669	583	339	481	336	274	246	228	599	167	361	149	643	394	246	273	722	264	624	457	353	263	470	241	459	460	402	200	172	508	236	182	324	527	422	255	316	120	279	490	182	375	601	340	397	314	334	204	401	212	498	395	841	972	1049	803	1125	1083	1531	447	368					
9	Число недействительных бюллетеней	362	0	0	1	7	0	2	0	0	9	0	16	0	1	2	1	2	6	0	2	0	0	19	3	4	1	6	0	3	16	3	35	5	2	5	0	0	0	17	0	0	3	8	2	1	16	0	21	20	0	4	5	0	0	0	0	0	1	0	1	6	13	14	1	0	32	15	11	5	15					
10	Число действительных бюллетеней	31970	362	228	553	203	251	1350	222	136	696	594	338	515	351	295	255	246	606	172	382	159	678	429	263	285	744	269	626	462	365	275	458	250	477	459	421	216	183	538	255	204	337	630	499	279	395	128	258	482	182	387	616	352	445	340	337	220	437	266	537	424	902	1028	1146	845	1141	1144	1569	486	387					
