Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Нюксенская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8149	157	172	226	184	177	601	520	143	127	593	155	312	90	109	663	390	950	644	1043	245	303	345									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8240	160	170	240	190	190	610	530	150	130	600	150	310	100	110	640	380	960	650	1070	240	310	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3836	92	70	126	97	59	212	186	67	54	198	88	143	53	50	319	197	506	322	590	86	144	177									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	643	5	28	16	25	43	96	75	31	14	56	6	21	4	12	43	18	18	6	33	53	6	34									
6	Число погашенных избирательных бюллетеней	3761	63	72	98	68	88	302	269	52	62	346	56	146	43	48	278	165	436	322	447	101	160	139									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	643	5	28	16	25	43	96	75	31	14	56	6	21	4	12	43	18	18	6	33	53	6	34									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3836	92	70	126	97	59	212	186	67	54	198	88	143	53	50	319	197	506	322	590	86	144	177									
9	Число недействительных избирательных бюллетеней	97	2	3	4	1	4	5	5	4	2	9	2	3	1	2	13	6	11	1	12	0	1	6									
10	Число действительных избирательных бюллетеней	4382	95	95	138	121	98	303	256	94	66	245	92	161	56	60	349	209	513	327	611	139	149	205									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	430	10	10	20	20	20	20	20	10	10	45	10	20	10	10	10	10	30	20	50	30	30	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	132	3	0	19	1	13	5	5	5	3	8	3	7	6	6	4	3	9	6	17	0	5	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	82	0	2	2	1	1	5	4	2	0	2	1	3	2	3	12	5	6	6	20	2	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	298	7	10	1	19	7	15	15	5	7	37	7	13	4	4	6	7	21	14	33	30	25	11									
