Выборы Президента Российской Федерации																																																																							
																																																																							
"Наименование Избирательной комиссии:    Пермь, Индустриальная"																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963	УИК №2964					
1	"Число избирателей, внесенных в список"	119373	1731	1457	1714	1865	1550	1868	1995	1662	2594	2453	2411	2569	2063	2167	1539	2200	1683	2369	981	1260	1531	2200	2399	2209	2125	2022	2130	1772	1574	1374	1011	1882	884	1706	1336	1363	1995	2422	2062	2573	2420	2381	2550	2615	2293	2164	2529	2654	2289	2118	2102	2139	1561	1408	2155	2217	1589	1135	1968	511	2291	531	601	451					
2	Число полученных избирательных бюллетеней	115000	1600	1400	1600	1900	1500	1800	1900	1600	2400	2200	2300	2400	1900	2000	1800	2000	1600	2200	900	1500	1700	2000	2300	2200	2200	1900	1900	1600	1600	1300	1200	1700	1000	1600	1300	1300	1700	2400	2000	2400	2300	2200	2300	2500	2000	2200	2300	2400	2100	2000	2000	2000	1300	1500	2300	2300	1700	1000	1800	400	2000	600	1000	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	69020	844	820	998	1147	988	1070	1172	884	1538	1391	1318	1512	1204	1250	1043	1337	987	1372	580	906	1065	1306	1369	1292	1217	1128	1154	1021	885	800	775	946	628	894	858	762	1084	1405	1229	1637	1376	1321	1397	1579	1228	1326	1351	1453	1228	1138	1100	1278	898	923	1292	1273	769	577	765	235	1457	446	343	451					
5	"Число избирательных бюллетеней, выданных вне помещения"	3014	61	24	40	78	48	45	51	49	44	41	32	53	36	28	96	15	23	42	36	32	12	37	74	40	11	47	38	72	60	46	46	56	32	21	31	38	36	49	27	36	44	48	38	23	67	96	41	35	49	39	41	21	44	57	42	130	33	20	144	22	15	24	258	0					
6	Число погашенных избирательных бюллетеней	42966	695	556	562	675	464	685	677	667	818	768	950	835	660	722	661	648	590	786	284	562	623	657	857	868	972	725	708	507	655	454	379	698	340	685	411	500	580	946	744	727	880	831	865	898	705	778	908	912	823	823	859	701	358	520	966	897	898	403	891	143	528	130	399	549					
7	Число избирательных бюллетеней в переносных ящиках	3014	61	24	40	78	48	45	51	49	44	41	32	53	36	28	96	15	23	42	36	32	12	37	74	40	11	47	38	72	60	46	46	56	32	21	31	38	36	49	27	36	44	48	38	23	67	96	41	35	49	39	41	21	44	57	42	130	33	20	144	22	15	24	258	0					
8	Число бюллетеней в стационарных ящиках для голосования	68888	844	820	998	1147	988	1070	1170	884	1534	1387	1311	1498	1204	1250	1043	1337	987	1367	580	905	1065	1306	1369	1292	1215	1128	1154	1019	885	800	775	944	628	894	858	762	1084	1404	1229	1635	1374	1320	1396	1578	1228	1325	1350	1450	1226	1138	1100	1278	898	866	1291	1272	769	577	765	235	1442	446	343	451					
9	Число недействительных избирательных бюллетеней	412	2	10	8	7	3	3	5	6	0	3	12	4	6	8	6	7	5	11	5	6	4	11	4	2	6	1	10	4	8	6	2	4	5	5	7	9	21	10	13	0	7	6	8	4	0	5	14	19	11	3	11	8	3	9	0	7	8	2	20	1	0	9	4	4					
10	Число действительных избирательных бюллетеней	71490	903	834	1030	1218	1033	1112	1216	927	1578	1425	1331	1547	1234	1270	1133	1345	1005	1398	611	931	1073	1332	1439	1330	1220	1174	1182	1087	937	840	819	996	655	910	882	791	1099	1443	1243	1671	1411	1362	1426	1597	1295	1416	1377	1466	1264	1174	1130	1291	939	914	1333	1395	794	595	889	256	1457	461	597	447					
