Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Волчихинская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15260	1844	2276	2133	1777	115	497	998	283	706	875	684	293	347	456	422	721	750	83									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14690	1800	2200	2100	1700	110	450	1000	250	700	850	650	250	300	450	400	700	700	80									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6164	640	884	820	724	63	168	494	118	232	287	232	132	166	200	219	387	348	50									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	525	20	57	34	25	0	9	24	17	115	20	43	28	12	24	20	31	42	4									
6	Число погашенных избирательных бюллетеней	8001	1140	1259	1246	951	47	273	482	115	353	543	375	90	122	226	161	282	310	26									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	525	20	57	34	25	0	9	24	17	115	20	43	28	12	24	20	31	42	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6130	640	884	787	723	63	168	494	118	232	287	232	132	166	200	219	387	348	50									
9	Число недействительных избирательных бюллетеней	156	17	21	20	14	0	6	16	1	11	6	10	2	6	1	6	8	6	5									
10	Число действительных избирательных бюллетеней	6499	643	920	801	734	63	171	502	134	336	301	265	158	172	223	233	410	384	49									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	89	8	8	8	9	3	4	5	3	5	5	4	3	3	4	4	5	5	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	28	3	7	4	6	0	0	3	1	1	0	0	0	1	1	0	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	16	0	4	2	0	0	2	2	0	1	0	2	0	1	2	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	61	5	1	4	3	3	4	2	2	4	5	4	3	2	3	4	4	5	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	3	1	1	2	0	0	3	0	0	0	0	0	0	1	0	0	0	0									
