Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    Сальская районная																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560					
1	"Число избирателей, внесенных в списки избирателей"	85181	2644	2122	2521	2878	2254	2602	2167	2412	2185	2252	2235	2458	2363	2268	2484	2645	2562	2368	2297	2356	328	1564	655	1190	859	1172	1582	728	2266	853	718	510	748	1570	1599	1034	268	1726	425	829	1492	412	674	672	909	2016	1668	2308	2213	818	953	420	495	132	272	259	771					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	77523	2389	1939	2281	2617	2033	2352	1970	2155	2007	2052	2022	2243	2264	2053	2237	2389	2343	2141	2054	2109	400	1487	598	1129	780	1113	1427	634	2055	833	656	471	710	1399	1485	964	243	1553	381	721	1384	389	603	621	803	1786	1503	2094	1962	748	835	382	442	122	242	233	685					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	67325	1942	1739	2154	2033	1864	2216	1509	1989	1716	1616	1741	1944	2173	1920	2112	2233	1903	1893	1810	1792	71	1371	556	1047	661	958	965	532	1664	724	597	417	589	1175	1386	844	225	1314	326	621	1294	342	587	570	700	1323	1244	1914	1827	715	630	372	437	110	222	183	513					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5785	114	48	101	494	128	100	84	61	76	328	77	91	66	70	106	150	91	185	202	97	254	58	40	38	40	147	183	74	285	50	57	54	55	187	90	97	15	239	55	96	80	32	16	49	52	138	86	157	104	12	59	8	4	9	20	50	126					
6	Число погашенных избирательных бюллетеней	4413	333	152	26	90	41	36	377	105	215	108	204	208	25	63	19	6	349	63	42	220	75	58	2	44	79	8	279	28	106	59	2	0	66	37	9	23	3	0	0	4	10	15	0	2	51	325	173	23	31	21	146	2	1	3	0	0	46					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5785	114	48	101	494	128	100	84	61	76	328	77	91	66	70	106	150	91	185	202	97	254	58	40	38	40	147	183	74	285	50	57	54	55	187	90	97	15	239	55	96	80	32	16	49	52	138	86	157	104	12	59	8	4	9	20	50	126					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	67321	1942	1739	2154	2033	1864	2216	1509	1989	1716	1616	1741	1944	2170	1920	2112	2233	1903	1893	1810	1792	71	1371	556	1047	661	958	965	532	1664	724	597	417	589	1175	1386	844	225	1314	326	621	1294	342	587	570	700	1323	1244	1914	1827	715	629	372	437	110	222	183	513					
9	Число недействительных избирательных бюллетеней	240	11	8	0	12	7	16	7	4	11	0	0	6	5	0	5	5	17	13	4	8	1	0	0	2	0	0	4	0	5	2	2	0	2	8	0	0	0	0	0	0	4	0	0	0	2	10	12	18	11	5	8	0	0	0	0	0	5					
10	Число действительных избирательных бюллетеней	72866	2045	1779	2255	2515	1985	2300	1586	2046	1781	1944	1818	2029	2231	1990	2213	2378	1977	2065	2008	1881	324	1429	596	1083	701	1105	1144	606	1944	772	652	471	642	1354	1476	941	240	1553	381	717	1370	374	603	619	750	1451	1318	2053	1920	722	680	380	441	119	242	233	634					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1968	50	50	50	50	50	50	40	50	50	50	50	50	50	50	50	50	50	50	50	50	0	25	20	50	50	35	35	25	50	25	25	15	25	35	35	25	10	50	10	25	35	20	25	10	25	81	19	30	50	25	25	10	20	8	10	10	5					
