Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Бураевская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19096	1546	1431	616	578	1168	1274	1533	251	202	117	295	491	343	265	404	416	154	290	148	256	281	353	365	301	270	321	165	166	251	265	220	124	291	283	190	110	114	324	101	482	125	118	195	323	121	262	300	146	93	477	181									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20007	1622	1465	638	618	1237	1296	1526	270	237	128	309	546	355	269	420	435	168	305	160	265	293	367	400	333	291	320	175	165	254	279	233	138	298	296	195	118	124	337	103	488	135	130	205	326	125	273	311	149	100	588	189									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13648	741	1140	487	430	821	964	1257	164	170	56	193	366	208	144	268	279	116	218	130	107	159	272	280	146	181	262	151	143	175	220	177	74	234	214	117	90	95	277	86	352	106	108	168	194	56	160	206	105	83	364	134									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1906	68	23	24	25	33	60	18	70	19	52	58	42	46	94	79	74	18	29	4	71	47	16	55	56	70	31	7	13	56	19	20	42	18	12	24	15	14	9	10	86	6	7	22	29	53	67	80	28	3	58	26									
6	Число погашенных избирательных бюллетеней	4453	813	302	127	163	383	272	251	36	48	20	58	138	101	31	73	82	34	58	26	87	87	79	65	131	40	27	17	9	23	40	36	22	46	70	54	13	15	51	7	50	23	15	15	103	16	46	25	16	14	166	29									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1906	68	23	24	25	33	60	18	70	19	52	58	42	46	94	79	74	18	29	4	71	47	16	55	56	70	31	7	13	56	19	20	42	18	12	24	15	14	9	10	86	6	7	22	29	53	67	80	28	3	58	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13644	741	1140	487	430	819	964	1257	164	170	56	193	364	208	144	268	279	116	218	130	107	159	272	280	146	181	262	151	143	175	220	177	74	234	214	117	90	95	277	86	352	106	108	168	194	56	160	206	105	83	364	134									
9	Число недействительных избирательных бюллетеней	198	28	3	3	1	28	10	4	0	1	0	1	9	1	4	3	0	0	1	0	0	12	2	5	4	0	0	0	5	4	2	2	0	2	1	1	0	0	0	4	0	0	1	1	2	2	0	0	0	1	48	2									
10	Число действительных избирательных бюллетеней	15352	781	1160	508	454	824	1014	1271	234	188	108	250	397	253	234	344	353	134	246	134	178	194	286	330	198	251	293	158	151	227	237	195	116	250	225	140	105	109	286	92	438	112	114	189	221	107	227	286	133	85	374	158									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	680	20	20	19	25	20	20	20	15	30	10	11	10	10	10	10	10	10	10	10	10	10	10	30	30	20	10	10	10	10	10	10	10	10	10	10	5	5	10	5	10	10	10	10	10	10	10	10	10	5	50	10									
