Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Новооскольская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34535	2380	1929	1876	1858	1872	2082	2203	2280	966	640	280	552	199	558	221	306	238	120	522	137	1044	585	637	366	239	569	409	103	1007	987	285	192	642	993	439	503	303	268	585	640	798	510	168	529	206	155	154									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34466	2300	1900	1900	1900	1900	2000	2200	2300	950	650	270	550	200	560	220	310	240	120	520	136	1043	580	650	360	230	600	400	104	1000	1000	280	180	650	1000	420	500	320	280	590	640	800	500	167	540	200	154	152									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24500	1423	1433	1433	1235	1333	1338	1429	1688	686	479	189	342	143	395	172	236	189	102	324	104	736	446	447	309	178	423	239	88	860	708	248	128	510	773	335	397	202	202	297	453	619	371	125	352	155	105	121									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4505	322	113	124	126	79	85	155	93	234	110	69	188	41	151	48	58	40	14	186	30	118	50	107	45	50	71	126	11	81	189	26	49	123	141	63	57	97	54	194	161	133	98	34	58	41	36	26									
6	Число погашенных избирательных бюллетеней	5461	555	354	343	539	488	577	616	519	30	61	12	20	16	14	0	16	11	4	10	2	189	84	96	6	2	106	35	5	59	103	6	3	17	86	22	46	21	24	99	26	48	31	8	130	4	13	5									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4505	322	113	124	126	79	85	155	93	234	110	69	188	41	151	48	58	40	14	186	30	118	50	107	45	50	71	126	11	81	189	26	49	123	141	63	57	97	54	194	161	133	98	34	58	41	36	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24500	1423	1433	1433	1235	1333	1338	1429	1688	686	479	189	342	143	395	172	236	189	102	324	104	736	446	447	309	178	423	239	88	860	708	248	128	510	773	335	397	202	202	297	453	619	371	125	352	155	105	121									
9	Число недействительных избирательных бюллетеней	213	4	5	16	6	12	4	12	5	1	0	0	0	0	8	0	0	1	0	0	0	5	0	8	0	0	1	1	0	80	1	0	1	0	0	6	0	0	0	0	3	2	2	0	11	10	8	0									
10	Число действительных избирательных бюллетеней	28792	1741	1541	1541	1355	1400	1419	1572	1776	919	589	258	530	184	538	220	294	228	116	510	134	849	496	546	354	228	493	364	99	861	896	274	176	633	914	392	454	299	256	491	611	750	467	159	399	186	133	147									
