Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    район Отрадное																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	121445	1790	1866	1954	2284	2387	2487	2732	2497	2496	2566	2285	2810	2582	2759	2554	2191	2002	3087	2138	2035	2064	2428	2489	2632	2506	2100	2671	2171	2320	2296	1744	2429	2528	1952	2415	2386	2067	2491	2531	2620	2723	2275	2217	2615	2680	2225	2339	2543	2852	2576	468	776	814									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	115500	1600	1700	1800	2200	2300	2400	2600	2400	2400	2400	2100	2700	2500	2600	2400	2100	2000	2900	2000	1900	1900	2300	2400	2500	2400	2000	2500	2200	2200	2200	1600	2300	2400	1900	2300	2300	2000	2300	2400	2500	2600	2100	2100	2600	2600	2300	2200	2400	2700	2400	400	700	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	39894	594	582	672	727	809	943	1047	837	868	816	720	922	842	968	859	747	646	1006	708	735	706	855	750	897	824	737	858	762	740	719	579	882	753	634	792	708	747	811	775	846	908	741	680	962	744	829	787	656	894	671	154	208	237									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	710	4	0	20	19	21	17	15	18	17	8	21	15	9	10	17	14	10	7	12	9	13	18	9	16	26	13	11	19	17	17	7	18	14	10	24	9	22	11	8	17	6	5	14	8	16	4	14	26	35	11	7	2	0									
6	Число погашенных избирательных бюллетеней	74896	1002	1118	1108	1454	1470	1440	1538	1545	1515	1576	1359	1763	1649	1622	1524	1339	1344	1887	1280	1156	1181	1427	1641	1587	1550	1250	1631	1419	1443	1464	1014	1400	1633	1256	1484	1583	1231	1478	1617	1637	1686	1354	1406	1630	1840	1467	1399	1718	1771	1718	239	490	563									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	710	4	0	20	19	21	17	15	18	17	8	21	15	9	10	17	14	10	7	12	9	13	18	9	16	26	13	11	19	17	17	7	18	14	10	24	9	22	11	8	17	6	5	14	8	16	4	14	26	35	11	7	2	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	39729	593	582	667	727	806	938	1022	836	868	816	719	922	840	963	856	741	644	1006	704	735	699	854	741	892	823	724	858	760	737	712	578	882	752	630	791	708	746	811	775	841	905	740	675	962	739	825	773	653	891	671	153	206	237									
9	Число недействительных избирательных бюллетеней	686	9	9	7	11	15	10	7	10	14	19	21	16	11	10	12	17	10	13	12	16	10	17	14	12	8	5	19	12	11	12	15	22	15	9	6	16	16	26	16	19	16	12	12	24	24	12	13	23	10	5	4	1	1									
10	Число действительных избирательных бюллетеней	39753	588	573	680	735	812	945	1030	844	871	805	719	921	838	963	861	738	644	1000	704	728	702	855	736	896	841	732	850	767	743	717	570	878	751	631	809	701	752	796	767	839	895	733	677	946	731	817	774	656	916	677	156	207	236									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1330	100	100	20	20	20	30	30	20	20	20	20	30	30	20	30	20	20	20	20	20	20	20	30	20	20	20	30	20	20	20	20	20	20	20	30	20	20	20	20	30	30	20	20	20	20	20	20	20	20	30	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	827	14	25	14	10	8	19	29	17	9	15	13	27	23	14	23	19	6	17	16	19	13	17	18	19	16	14	20	17	18	20	10	19	13	13	20	15	13	12	16	21	24	15	14	15	16	17	13	10	9	21	2	4	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	746	74	78	19	3	5	11	13	4	6	14	8	12	12	13	10	11	7	6	9	12	10	11	5	15	14	17	14	5	13	11	10	15	12	11	13	13	8	9	23	9	6	13	12	31	10	0	34	6	42	6	17	0	4									
14	Число погашенных неиспользованных открепительных удостоверений	503	86	75	6	10	12	11	1	3	11	5	7	3	7	6	7	1	14	3	4	1	7	3	12	1	4	6	10	3	2	0	10	1	7	7	10	5	7	8	4	9	6	5	6	5	4	3	7	10	11	9	18	16	14									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	130	0	3	2	3	1	5	1	1	1	2	1	2	4	1	2	0	4	1	1	2	1	4	1	2	5	2	2	1	1	3	3	2	4	2	3	3	1	2	2	1	4	3	6	4	2	10	4	4	3	3	0	2	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1256	16	10	11	29	35	36	37	23	37	30	27	35	31	37	23	30	8	31	17	33	27	27	22	32	31	18	29	25	15	17	17	22	15	16	18	14	22	21	35	35	26	26	22	24	18	22	35	22	24	20	6	5	12									
		3.11%	2.68%	1.72%	1.60%	3.89%	4.23%	3.77%	3.57%	2.69%	4.18%	3.64%	3.65%	3.74%	3.65%	3.80%	2.63%	3.97%	1.22%	3.06%	2.37%	4.44%	3.79%	3.10%	2.93%	3.52%	3.65%	2.44%	3.34%	3.21%	1.99%	2.33%	2.91%	2.44%	1.96%	2.50%	2.21%	1.95%	2.86%	2.55%	4.47%	4.08%	2.85%	3.49%	3.19%	2.47%	2.38%	2.65%	4.45%	3.24%	2.59%	2.93%	3.75%	2.40%	5.06%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	864	10	10	10	19	22	26	19	23	23	16	17	23	16	28	27	9	11	21	18	11	15	12	14	26	14	21	17	20	14	16	7	19	20	18	16	15	15	16	18	20	17	19	14	22	17	15	12	12	17	15	5	2	5									
		2.14%	1.68%	1.72%	1.46%	2.55%	2.66%	2.72%	1.83%	2.69%	2.60%	1.94%	2.30%	2.45%	1.88%	2.88%	3.09%	1.19%	1.68%	2.07%	2.51%	1.48%	2.11%	1.38%	1.87%	2.86%	1.65%	2.85%	1.96%	2.57%	1.86%	2.19%	1.20%	2.11%	2.61%	2.81%	1.96%	2.09%	1.95%	1.95%	2.30%	2.33%	1.87%	2.55%	2.03%	2.27%	2.25%	1.81%	1.52%	1.77%	1.84%	2.20%	3.13%	0.96%	2.11%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1256	15	17	21	22	35	24	31	32	27	25	20	33	38	25	23	19	25	23	16	31	24	24	21	31	25	22	26	20	32	22	20	27	22	21	23	14	28	16	24	33	30	26	28	24	28	25	28	20	35	19	8	3	5									
		3.11%	2.51%	2.92%	3.06%	2.95%	4.23%	2.51%	2.99%	3.75%	3.05%	3.03%	2.70%	3.52%	4.48%	2.57%	2.63%	2.52%	3.82%	2.27%	2.23%	4.17%	3.37%	2.75%	2.80%	3.41%	2.94%	2.99%	2.99%	2.57%	4.24%	3.02%	3.42%	3.00%	2.87%	3.28%	2.82%	1.95%	3.65%	1.95%	3.07%	3.85%	3.29%	3.49%	4.06%	2.47%	3.71%	3.02%	3.56%	2.95%	3.78%	2.79%	5.00%	1.44%	2.11%									
