Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Лихославльская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК  626	УИК  627	УИК  628	УИК  629	УИК  630	УИК  631	УИК  632	УИК  633	УИК  634	УИК  635	УИК  636	УИК  637	УИК  638	УИК  639	УИК  640	УИК  641	УИК  642	УИК  643	УИК  644	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663					
1	"Число избирателей, внесенных в списки"	23791	1262	1451	1371	1266	663	165	643	526	376	226	456	430	660	824	422	376	261	479	326	297	190	185	1432	321	710	197	284	1333	1089	1330	1326	608	1389	834	37	19	17	10					
2	"Число бюллетеней, полученных участковыми комиссиями"	23275	1200	1400	1300	1200	650	167	630	520	380	225	460	430	650	840	400	380	260	470	320	300	196	187	1400	320	700	200	280	1300	1000	1300	1300	600	1400	800	40	25	25	20					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12600	798	738	788	730	233	66	300	266	190	99	184	188	300	413	165	179	134	206	135	142	72	89	874	171	386	101	98	733	535	844	748	306	913	411	21	17	17	10					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1783	23	61	53	33	70	41	72	73	39	72	116	83	102	46	75	42	44	60	78	58	68	39	26	64	59	15	74	27	21	28	36	25	15	29	16	0	0	0					
6	Число погашенных бюллетеней	8892	379	601	459	437	347	60	258	181	151	54	160	159	248	381	160	159	82	204	107	100	56	59	500	85	255	84	108	540	444	428	516	269	472	360	3	8	8	10					
7	Число бюллетеней в переносных ящиках для голосования	1783	23	61	53	33	70	41	72	73	39	72	116	83	102	46	75	42	44	60	78	58	68	39	26	64	59	15	74	27	21	28	36	25	15	29	16	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	12597	798	738	788	730	233	66	300	266	190	99	184	188	300	411	165	179	134	206	135	142	72	89	874	171	386	101	98	733	535	843	748	306	913	411	21	17	17	10					
9	Число недействительных бюллетеней	266	11	14	21	22	2	1	11	5	4	3	3	5	7	19	8	5	1	8	3	1	5	2	17	1	11	9	4	12	11	9	7	9	10	5	0	0	0	0					
10	Число действительных бюллетеней	14114	810	785	820	741	301	106	361	334	225	168	297	266	395	438	232	216	177	258	210	199	135	126	883	234	434	107	168	748	545	862	777	322	918	435	37	17	17	10					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	290	15	10	20	10	5	5	10	5	5	5	5	5	5	10	5	5	10	5	5	5	5	5	11	5	5	5	5	15	14	18	20	5	20	7	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	193	10	9	8	10	2	2	10	5	2	1	0	1	5	7	3	2	7	5	4	2	2	1	11	5	5	5	1	14	14	17	6	5	6	6	0	0	0	0					
