Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
Наименование Избирательной комиссии:    Артинская																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК  97	УИК  98	УИК  99	УИК  100	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  145	УИК  146	УИК  147	УИК  148					
1	"Число избирателей, внесенных в списки"	24821	1760	654	1208	2335	2458	2078	325	630	71	68	167	291	208	68	154	34	379	582	104	513	238	68	1362	85	110	194	89	85	320	634	259	531	859	56	69	183	1202	211	137	85	802	206	305	262	283	626	59	67	702	156	243	246					
2	"Число бюллетеней, полученных участковыми комиссиями"	24895	1723	640	1170	2269	2733	2060	316	632	70	68	164	292	205	67	158	34	380	582	104	506	243	68	1362	84	111	197	89	87	324	645	258	528	855	56	67	182	1200	213	140	86	802	202	303	262	277	614	58	68	701	155	242	243					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13462	726	335	534	1113	1211	993	192	378	64	58	102	182	113	51	92	32	233	354	98	307	182	49	748	76	85	129	66	77	194	330	197	261	380	36	47	84	574	123	99	52	520	138	196	149	183	394	58	61	386	104	151	165					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	777	22	6	19	43	39	32	20	10	0	0	0	10	14	4	14	2	25	36	0	18	4	2	47	3	6	25	0	0	32	72	8	92	25	0	2	0	33	6	8	8	7	16	10	9	11	10	0	0	5	0	9	13					
6	Число погашенных бюллетеней	10656	975	299	617	1113	1483	1035	104	244	6	10	62	100	78	12	52	0	122	192	6	181	57	17	567	5	20	43	23	10	98	243	53	175	450	20	18	98	593	84	33	26	275	48	97	104	83	210	0	7	310	51	82	65					
7	Число бюллетеней в переносных ящиках для голосования	777	22	6	19	43	39	32	20	10	0	0	0	10	14	4	14	2	25	36	0	18	4	2	47	3	6	25	0	0	32	72	8	92	25	0	2	0	33	6	8	8	7	16	10	9	11	10	0	0	5	0	9	13					
8	Число бюллетеней в стационарных ящиках для голосования	13462	726	335	534	1113	1211	993	192	378	64	58	102	182	113	51	92	32	233	354	98	307	182	49	748	76	85	129	66	77	194	330	197	261	380	36	47	84	574	123	99	52	520	138	196	149	183	394	58	61	386	104	151	165					
9	Число недействительных бюллетеней	215	16	6	7	23	12	4	6	14	0	1	5	11	5	0	0	1	2	0	0	2	1	3	6	6	3	1	1	0	0	1	8	6	12	0	1	5	11	3	0	0	1	0	3	6	2	11	0	0	2	0	3	4					
10	Число действительных бюллетеней	14024	732	335	546	1133	1238	1021	206	374	64	57	97	181	122	55	106	33	256	390	98	323	185	48	789	73	88	153	65	77	226	401	197	347	393	36	48	79	596	126	107	60	526	154	203	152	192	393	58	61	389	104	157	174					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	249	19	5	10	20	10	10	2	10	3	3	3	5	5	3	3	2	5	5	2	5	2	2	5	2	2	5	2	2	5	10	2	5	5	2	2	2	10	2	2	2	5	2	5	2	2	5	2	2	10	3	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	52	2	0	1	3	7	0	2	2	0	0	0	0	0	1	2	0	1	0	0	0	1	0	5	1	0	0	0	0	1	10	1	0	1	0	0	0	3	0	2	1	0	1	1	1	1	1	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	0	0	2	1	7	1	1	2	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	1	0	2	6	0	0	0	0	0	0	2	0	1	1	1	0	0	0	0	2	0	0	1					
14	Число погашенных открепительных удостоверений	197	17	5	9	17	3	10	0	8	3	3	3	5	5	2	1	2	4	5	2	5	1	2	0	1	2	5	2	2	4	0	1	5	4	2	2	2	7	2	0	1	5	1	4	1	1	4	2	2	10	3	5	5					
15	Число открепительных удостоверений выданных ТИК	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
18	"1. ""ЕДИНЕНИЕ"""	173	7	2	6	5	10	11	3	0	3	3	4	0	1	1	1	3	3	4	0	5	5	1	6	0	1	1	0	2	1	3	1	2	4	2	2	1	6	6	0	2	8	3	5	5	5	8	1	1	4	3	5	7					
		1.21%	0.93%	0.58%	1.08%	0.43%	0.8%	1.07%	1.41%	0.0%	4.68%	5.17%	3.92%	0.0%	0.78%	1.81%	0.94%	8.82%	1.16%	1.02%	0.0%	1.53%	2.68%	1.96%	0.75%	0.0%	1.09%	0.64%	0.0%	2.59%	0.44%	0.74%	0.48%	0.56%	0.98%	5.55%	4.08%	1.19%	0.98%	4.65%	0.0%	3.33%	1.51%	1.94%	2.42%	3.16%	2.57%	1.98%	1.72%	1.63%	1.02%	2.88%	3.12%	3.93%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	186	19	5	9	27	38	25	1	5	0	0	2	0	1	0	2	0	6	1	1	1	2	0	7	1	0	0	3	0	1	0	2	1	0	0	0	3	8	1	1	0	4	0	0	2	0	2	0	0	3	0	0	2					
		1.30%	2.54%	1.46%	1.62%	2.33%	3.04%	2.43%	0.47%	1.28%	0.0%	0.0%	1.96%	0.0%	0.78%	0.0%	1.88%	0.0%	2.32%	0.25%	1.02%	0.30%	1.07%	0.0%	0.88%	1.26%	0.0%	0.0%	4.54%	0.0%	0.44%	0.0%	0.97%	0.28%	0.0%	0.0%	0.0%	3.57%	1.31%	0.77%	0.93%	0.0%	0.75%	0.0%	0.0%	1.26%	0.0%	0.49%	0.0%	0.0%	0.76%	0.0%	0.0%	1.12%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	785	54	15	35	102	81	68	11	40	0	3	5	13	4	1	6	0	18	8	4	8	5	0	26	1	4	14	6	7	0	26	25	18	19	1	0	1	35	3	5	2	20	4	19	11	4	9	0	5	13	7	10	9					
