Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
Наименование Избирательной комиссии:    Печорская городская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126					
1	"Число избирателей, внесенных в списки избирателей"	52152	1727	2015	1952	2098	1811	1947	1904	926	464	529	1462	630	2227	2179	1822	2059	1834	1998	1698	1938	1892	2147	2094	1162	328	132	2626	993	457	124	348	520	176	1640	111	367	139	260	189	79	135	260	124	554	426	646	360	60	169	414					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	51133	1700	1900	1900	2100	1800	1900	1850	900	470	500	1400	500	2100	2200	1900	2000	1900	1900	1700	1800	1900	2164	2000	1150	345	127	2400	990	470	118	385	455	167	1680	109	369	145	300	180	89	125	260	115	540	470	615	365	60	170	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	30599	966	1170	1069	1354	937	1095	1030	538	275	260	902	403	1479	1305	1138	1201	1117	1133	1125	1255	1210	1198	1195	665	214	86	1386	553	281	58	227	302	86	786	62	171	74	170	125	75	91	171	97	375	253	401	173	50	90	222					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1390	29	35	29	16	25	25	35	13	8	10	8	22	13	28	33	35	96	54	35	38	40	29	239	20	40	15	98	15	5	10	26	21	16	63	0	18	2	22	2	4	5	13	7	11	11	21	3	0	4	43					
6	Число погашенных избирательных бюллетеней	19144	705	695	802	730	838	780	785	349	187	230	490	75	608	867	729	764	687	713	540	507	650	937	566	465	91	26	916	422	184	50	132	132	65	831	47	180	69	108	53	10	29	76	11	154	206	193	189	10	76	185					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1390	29	35	29	16	25	25	35	13	8	10	8	22	13	28	33	35	96	54	35	38	40	29	239	20	40	15	98	15	5	10	26	21	16	63	0	18	2	22	2	4	5	13	7	11	11	21	3	0	4	43					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30595	966	1170	1068	1354	937	1095	1030	538	275	260	901	403	1479	1305	1138	1201	1116	1133	1125	1255	1210	1197	1195	665	214	86	1386	553	281	58	227	302	86	786	62	171	74	170	125	75	91	171	97	375	253	401	173	50	90	222					
9	Число недействительных избирательных бюллетеней	320	14	11	14	16	11	15	6	6	3	5	11	2	16	11	13	15	16	18	14	6	11	8	8	8	0	1	5	12	3	1	1	5	1	12	0	1	0	2	0	1	3	4	1	3	0	1	1	0	3	1					
10	Число действительных избирательных бюллетеней	31665	981	1194	1083	1354	951	1105	1059	545	280	265	898	423	1476	1322	1158	1221	1196	1169	1146	1287	1239	1218	1426	677	254	100	1479	556	283	67	252	318	101	837	62	188	76	190	127	78	93	180	103	383	264	421	175	50	91	264					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	386	11	9	9	5	9	19	9	9	5	5	9	5	15	19	15	9	9	15	9	19	9	15	5	11	0	0	10	5	5	3	5	3	3	10	3	3	3	6	2	3	3	8	8	10	3	10	5	8	8	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	345	11	9	9	5	9	19	9	7	5	5	7	1	15	19	15	9	9	15	9	19	3	15	5	9	0	0	10	5	5	0	2	3	1	10	0	3	3	6	0	3	0	8	5	10	3	10	4	4	7	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	385	3	21	3	7	7	7	3	5	1	1	3	1	20	7	13	7	27	10	7	19	3	11	10	21	8	0	47	4	3	0	0	34	2	5	0	3	1	1	2	3	2	1	10	12	4	23	1	0	1	1					
