Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																		
Дата голосования: 18.09.2016																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Саратов, Заводская"																																																																																		
																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																		
																																																																																		
		Сумма	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	149738	1795	2656	1976	1574	74	1467	1015	1961	1556	2458	57	585	2407	2390	2467	2206	157	2842	2725	2138	2798	2626	2467	2360	2245	1928	2586	2160	2051	2094	2269	2454	2170	2046	2317	1737	1840	2782	2683	2457	1843	2153	2172	2365	2555	2260	2707	244	134	2424	2915	2502	2138	1770	2739	2395	101	2632	2447	2660	2668	2747	2692	2800	2697	2487	2785	2825	2550	1685	2070									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	136916	1500	2500	2000	1500	74	1500	1000	1500	1500	2500	57	650	2000	2000	2500	2000	157	2500	2500	2000	2500	2500	2500	2000	2000	1500	2500	2000	2000	2000	2000	2500	2000	2000	2000	1500	1500	2500	2500	2500	1500	2000	2000	2000	2500	2000	2500	252	123	2000	2500	2500	2000	1500	2500	2000	103	2500	2000	2500	2500	2500	2500	2500	2500	2000	2500	2500	2500	1500	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	89524	1114	1664	1263	916	49	640	587	1114	885	1524	57	305	1733	994	1633	1268	150	1529	1470	1049	1649	1875	1610	1479	1272	1191	1641	1378	1171	1162	1405	1615	1300	1235	1389	1193	1275	1627	1214	1577	1173	1492	1369	1706	1452	1276	1680	241	109	1802	1603	1502	1261	1031	1038	1378	101	1692	1319	1593	1643	1707	1742	1569	1522	1552	1464	1608	1553	1006	1138									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	7606	40	44	8	61	25	260	94	199	179	56	0	77	24	49	53	150	7	319	301	341	150	0	9	109	369	49	22	11	147	184	120	103	95	81	164	12	12	161	261	20	21	9	27	67	112	182	61	0	14	8	246	110	114	107	162	178	0	230	200	65	72	81	84	232	241	19	316	126	53	38	65									
6	Число погашенных избирательных бюллетеней	39786	346	792	729	523	0	600	319	187	436	920	0	268	243	957	814	582	0	652	729	610	701	625	881	412	359	260	837	611	682	654	475	782	605	684	447	295	213	712	1025	903	306	499	604	227	936	542	759	11	0	190	651	888	625	362	1300	444	2	578	481	842	785	712	674	699	737	429	720	766	894	456	797									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	7606	40	44	8	61	25	260	94	199	179	56	0	77	24	49	53	150	7	319	301	341	150	0	9	109	369	49	22	11	147	184	120	103	95	81	164	12	12	161	261	20	21	9	27	67	112	182	61	0	14	8	246	110	114	107	162	178	0	230	200	65	72	81	84	232	241	19	316	126	53	38	65									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	89458	1114	1664	1263	916	49	640	587	1114	885	1524	57	305	1733	994	1633	1268	150	1529	1470	1049	1649	1875	1610	1479	1272	1191	1641	1378	1171	1162	1405	1615	1300	1235	1389	1193	1275	1627	1214	1577	1173	1492	1369	1706	1424	1276	1680	241	109	1794	1603	1502	1261	1031	1038	1378	101	1692	1319	1593	1643	1707	1742	1541	1522	1552	1464	1606	1553	1006	1138									
9	Число недействительных избирательных бюллетеней	376	0	0	0	0	2	0	3	10	0	0	0	0	0	5	0	0	3	0	0	0	0	186	0	0	0	0	0	0	0	0	0	13	0	0	0	3	1	0	0	0	0	0	0	0	129	12	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	96688	1154	1708	1271	977	72	900	678	1303	1064	1580	57	382	1757	1038	1686	1418	154	1848	1771	1390	1799	1689	1619	1588	1641	1240	1663	1389	1318	1346	1525	1705	1395	1316	1553	1202	1286	1788	1475	1597	1194	1501	1396	1773	1407	1446	1741	235	123	1802	1849	1612	1372	1138	1200	1556	101	1922	1519	1658	1715	1788	1826	1773	1763	1571	1780	1732	1606	1044	1203									
