Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																											
Дата голосования: 02.12.2007																																											
																																											
Наименование Избирательной комиссии:    Даниловская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516					
1	"Число избирателей, внесенных в списки избирателей"	21778	2080	2377	1381	1117	1197	1443	1076	1399	1315	98	364	326	225	185	227	310	479	278	219	440	771	181	687	266	203	136	300	249	216	181	428	223	435	629	216	121					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	21550	2000	2300	1300	1100	1100	1400	1000	1300	1200	140	370	350	250	200	220	350	500	300	250	450	750	220	650	310	240	150	330	250	250	170	450	220	430	650	240	160					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11755	1260	1509	733	583	564	863	574	736	750	76	198	173	132	96	123	170	183	70	66	217	397	70	310	139	91	81	147	124	138	145	184	128	191	358	90	86					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3466	110	87	64	93	42	86	69	58	73	22	96	87	59	68	95	89	155	204	139	163	151	96	260	101	83	39	82	60	66	11	138	64	179	123	120	34					
6	Число погашенных избирательных бюллетеней	6329	630	704	503	424	494	451	357	506	377	42	76	90	59	36	2	91	162	26	45	70	202	54	80	70	66	30	101	66	46	14	128	28	60	169	30	40					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3466	110	87	64	93	42	86	69	58	73	22	96	87	59	68	95	89	155	204	139	163	151	96	260	101	83	39	82	60	66	11	138	64	179	123	120	34					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11753	1259	1509	732	583	564	863	574	736	750	76	198	173	132	96	123	170	183	70	66	217	397	70	310	139	91	81	147	124	138	145	184	128	191	358	90	86					
9	Число недействительных избирательных бюллетеней	55	11	4	3	2	1	2	3	0	2	1	2	1	0	1	0	0	2	0	0	1	1	0	2	0	2	0	2	1	1	2	0	0	0	5	3	0					
10	Число действительных избирательных бюллетеней	15164	1358	1592	793	674	605	947	640	794	821	97	292	259	191	163	218	259	336	274	205	379	547	166	568	240	172	120	227	183	203	154	322	192	370	476	207	120					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	453	21	25	17	11	10	12	11	14	9	0	11	16	5	15	5	6	27	4	15	16	16	5	10	15	10	18	5	5	13	8	15	5	10	24	25	19					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	453	21	25	17	11	10	12	11	14	9	0	11	16	5	15	5	6	27	4	15	16	16	5	10	15	10	18	5	5	13	8	15	5	10	24	25	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	309	17	22	17	13	20	14	17	17	18	3	5	7	6	2	6	6	10	7	2	8	17	1	9	4	4	1	2	9	7	4	3	7	3	13	2	6					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	1.Политическая партия «Аграрная партия России»	651	40	51	23	16	10	29	16	19	29	4	25	4	3	8	7	12	32	10	9	33	41	18	42	19	8	2	11	8	14	36	23	9	15	10	12	3					
		4.28%	2.92%	3.20%	2.89%	2.37%	1.65%	3.06%	2.49%	2.39%	3.52%	4.08%	8.50%	1.54%	1.57%	4.88%	3.21%	4.63%	9.47%	3.65%	4.39%	8.68%	7.48%	10.84%	7.37%	7.92%	4.60%	1.67%	4.80%	4.35%	6.86%	23.08%	7.14%	4.69%	4.05%	2.08%	5.71%	2.50%					
19	2.Всероссийская политическая партия «Гражданская Сила»	85	9	25	4	1	8	8	3	1	7	0	3	1	0	0	0	0	0	1	0	0	5	0	1	1	0	1	1	0	0	0	0	0	0	5	0	0					
		0.56%	0.66%	1.57%	0.50%	0.15%	1.32%	0.84%	0.47%	0.13%	0.85%	0.00%	1.02%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.91%	0.00%	0.18%	0.42%	0.00%	0.83%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.04%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	14	2	1	1	0	0	1	1	1	1	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0					
		0.09%	0.15%	0.06%	0.13%	0.00%	0.00%	0.11%	0.16%	0.13%	0.12%	0.00%	0.00%	0.00%	0.00%	0.61%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1409	213	232	95	37	63	108	41	61	56	16	19	14	6	7	19	16	19	22	15	31	42	8	39	22	9	11	13	11	27	14	39	14	33	18	11	8					
		9.26%	15.56%	14.54%	11.93%	5.47%	10.40%	11.38%	6.38%	7.68%	6.80%	16.33%	6.46%	5.38%	3.14%	4.27%	8.72%	6.18%	5.62%	8.03%	7.32%	8.16%	7.66%	4.82%	6.84%	9.17%	5.17%	9.17%	5.68%	5.98%	13.24%	8.97%	12.11%	7.29%	8.92%	3.74%	5.24%	6.67%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	71	6	17	11	0	6	8	4	3	4	4	1	0	0	0	0	1	2	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0					
		0.47%	0.44%	1.07%	1.38%	0.00%	0.99%	0.84%	0.62%	0.38%	0.49%	4.08%	0.34%	0.00%	0.00%	0.00%	0.00%	0.39%	0.59%	0.36%	0.49%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	35	7	7	2	0	0	1	2	0	4	0	0	0	0	1	0	0	1	0	0	0	1	0	1	3	0	0	0	1	1	1	0	1	0	1	0	0					
		0.23%	0.51%	0.44%	0.25%	0.00%	0.00%	0.11%	0.31%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.18%	0.00%	0.18%	1.25%	0.00%	0.00%	0.00%	0.54%	0.49%	0.64%	0.00%	0.52%	0.00%	0.21%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	2394	231	293	147	134	113	143	116	140	159	14	39	35	24	27	23	42	39	27	28	45	76	16	56	45	24	11	20	20	28	20	43	13	66	72	40	25					
		15.73%	16.87%	18.36%	18.47%	19.82%	18.65%	15.07%	18.04%	17.63%	19.32%	14.29%	13.27%	13.46%	12.57%	16.46%	10.55%	16.22%	11.54%	9.85%	13.66%	11.84%	13.87%	9.64%	9.82%	18.75%	13.79%	9.17%	8.73%	10.87%	13.73%	12.82%	13.35%	6.77%	17.84%	14.97%	19.05%	20.83%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1706	222	227	121	100	74	170	107	102	99	13	18	15	16	9	3	23	28	17	10	11	63	2	22	23	6	16	9	9	9	9	27	12	26	64	14	10					
		11.21%	16.22%	14.22%	15.20%	14.79%	12.21%	17.91%	16.64%	12.85%	12.03%	13.27%	6.12%	5.77%	8.38%	5.49%	1.38%	8.88%	8.28%	6.20%	4.88%	2.89%	11.50%	1.20%	3.86%	9.58%	3.45%	13.33%	3.93%	4.89%	4.41%	5.77%	8.39%	6.25%	7.03%	13.31%	6.67%	8.33%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	71	2	11	1	5	4	5	2	1	2	1	1	0	1	1	1	1	5	1	2	0	2	0	5	2	1	1	0	2	2	1	2	0	1	3	0	2					
		0.47%	0.15%	0.69%	0.13%	0.74%	0.66%	0.53%	0.31%	0.13%	0.24%	1.02%	0.34%	0.00%	0.52%	0.61%	0.46%	0.39%	1.48%	0.36%	0.98%	0.00%	0.36%	0.00%	0.88%	0.83%	0.57%	0.83%	0.00%	1.09%	0.98%	0.64%	0.62%	0.00%	0.27%	0.62%	0.00%	1.67%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8659	613	720	387	378	322	470	345	463	458	44	183	189	140	109	163	162	210	195	140	259	313	122	398	125	118	78	171	131	120	73	188	140	228	302	130	72					
