Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																					
																																																																					
"Наименование Избирательной комиссии:    Сочи, Центральная"																																																																					
																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																					
																																																																					
		Сумма	УИК №4601	УИК №4602	УИК №4603	УИК №4604	УИК №4605	УИК №4606	УИК №4607	УИК №4608	УИК №4609	УИК №4610	УИК №4611	УИК №4612	УИК №4613	УИК №4614	УИК №4615	УИК №4616	УИК №4617	УИК №4618	УИК №4619	УИК №4620	УИК №4621	УИК №4622	УИК №4623	УИК №4624	УИК №4625	УИК №4626	УИК №4627	УИК №4628	УИК №4629	УИК №4630	УИК №4631	УИК №4632	УИК №4633	УИК №4634	УИК №4635	УИК №4636	УИК №4637	УИК №4638	УИК №4639	УИК №4640	УИК №4641	УИК №4642	УИК №4643	УИК №4644	УИК №4645	УИК №4646	УИК №4647	УИК №4648	УИК №4649	УИК №4650	УИК №4651	УИК №4652	УИК №4653	УИК №4654	УИК №4655	УИК №4656	УИК №4657	УИК №4658	УИК №4659	УИК №4660	УИК №4661	УИК №4662					
1	"Число избирателей, внесенных в списки"	106710	1559	1124	817	1376	2026	1912	1684	1923	1548	986	615	976	1160	1360	2145	2223	1834	1620	1066	2867	1678	2400	1917	1597	1734	2470	2306	2084	2670	1902	1700	688	2089	2660	1767	1507	1256	1131	2271	1202	1618	1245	1933	2365	2058	942	2920	2420	2620	1209	1519	2011	723	1883	1522	1172	1629	1020	2521	2550	1396	1584					
2	"Число бюллетеней, полученных участковыми комиссиями"	99900	1300	1100	700	1200	2000	1700	1500	1700	1400	900	600	900	1100	1300	2000	2000	1700	1500	1000	2500	1500	2200	1700	1500	1600	2200	2000	2000	2400	1700	1500	700	2000	2500	1700	1400	1200	1000	2100	1200	1600	1200	1800	2300	1900	900	2800	2300	2600	1100	1400	1900	1300	1900	1400	1100	1500	900	2400	2400	1500	1500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	45953	596	546	363	537	790	858	585	865	630	447	321	429	572	723	1165	925	867	747	492	1263	763	924	807	479	738	1050	1099	994	1088	747	673	307	766	988	660	651	575	445	1029	482	686	543	795	808	796	399	1295	1051	1138	660	740	839	711	929	726	540	784	428	958	890	700	551					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1004	21	18	10	18	29	23	8	24	12	10	12	14	5	23	36	33	15	19	14	24	12	14	6	9	10	22	18	20	25	19	16	1	15	18	13	3	12	5	5	5	23	15	18	13	10	11	23	13	14	13	25	20	12	17	16	15	8	25	29	27	21	20					
6	Число погашенных бюллетеней	52943	683	536	327	645	1181	819	907	811	758	443	267	457	523	554	799	1042	818	734	494	1213	725	1262	887	1012	852	1128	883	986	1287	934	811	392	1219	1494	1027	746	613	550	1066	713	891	642	987	1479	1094	490	1482	1236	1448	427	635	1041	577	954	658	545	708	447	1413	1483	779	929					
7	Число бюллетеней в переносных ящиках для голосования	1003	21	18	10	18	29	22	8	24	12	10	12	14	5	23	36	33	15	19	14	24	12	14	6	9	10	22	18	20	25	19	16	1	15	18	13	3	12	5	5	5	23	15	18	13	10	11	23	13	14	13	25	20	12	17	16	15	8	25	29	27	21	20					
8	Число бюллетеней в стационарных ящиках для голосования	45839	596	497	361	537	790	858	584	865	630	447	321	429	572	723	1155	922	867	747	491	1259	763	924	807	479	729	1050	1099	993	1088	746	673	307	766	988	660	651	575	445	1029	482	686	543	795	808	796	399	1295	1051	1110	660	740	837	711	929	726	538	784	428	958	889	700	551					
9	Число недействительных бюллетеней	942	4	9	1	1	23	6	20	12	3	12	6	3	2	9	16	18	10	18	9	25	15	29	24	10	16	23	25	18	14	12	10	12	18	12	8	6	9	8	9	7	4	5	254	2	8	5	10	20	12	13	11	12	12	9	6	9	5	4	23	4	12	10					
10	Число действительных бюллетеней	45900	613	506	370	554	796	874	572	877	639	445	327	440	575	737	1175	937	872	748	496	1258	760	909	789	478	723	1049	1092	995	1099	753	679	296	763	994	665	648	578	442	1025	480	705	553	559	819	798	405	1308	1044	1112	660	754	845	711	937	736	544	787	449	964	912	709	561					
