Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																				
Дата голосования: 02.12.2007																																				
																																				
Наименование Избирательной комиссии:    Сюмсинская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929					
1	"Число избирателей, внесенных в списки избирателей"	11790	1032	685	1213	981	523	207	75	129	86	242	138	258	191	476	304	132	322	366	289	698	243	350	70	130	80	107	729	986	748					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11240	1000	700	1000	950	500	200	80	120	90	240	140	270	190	480	310	130	320	350	300	680	250	350	70	140	80	100	700	800	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7046	589	412	735	581	313	127	61	90	63	147	86	190	131	286	197	100	229	220	186	479	146	177	52	78	46	69	346	517	393					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	738	48	22	83	25	25	32	6	15	7	25	6	15	4	46	24	3	8	40	29	32	27	39	10	8	12	5	50	30	62					
6	Число погашенных избирательных бюллетеней	3456	363	266	182	344	162	41	13	15	20	68	48	65	55	148	89	27	83	90	85	169	77	134	8	54	22	26	304	253	245					
7	Число избирательных бюллетеней в переносных ящиках для голосования	738	48	22	83	25	25	32	6	15	7	25	6	15	4	46	24	3	8	40	29	32	27	39	10	8	12	5	50	30	62					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7046	589	412	735	581	313	127	61	90	63	147	86	190	131	286	197	100	229	220	186	479	146	177	52	78	46	69	346	517	393					
9	Число недействительных избирательных бюллетеней	90	4	1	10	4	7	4	0	0	1	7	0	1	2	1	6	0	1	1	1	4	2	6	1	1	1	2	9	8	5					
10	Число действительных избирательных бюллетеней	7694	633	433	808	602	331	155	67	105	69	165	92	204	133	331	215	103	236	259	214	507	171	210	61	85	57	72	387	539	450					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	142	10	7	7	7	5	5	3	3	3	3	3	13	7	7	5	3	3	5	5	5	3	3	3	3	3	3	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	75	7	6	6	3	2	3	2	0	1	0	3	11	0	0	3	0	3	2	4	5	3	3	0	1	0	0	2	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	28	4	1	6	0	0	1	0	0	1	1	0	0	0	1	0	2	0	1	0	1	0	2	1	0	1	0	0	3	2					
14	Число погашенных неиспользованных открепительных удостоверений	67	3	1	1	4	3	2	1	3	2	3	0	2	7	7	2	3	0	3	1	0	0	0	3	2	3	3	3	4	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	3	4	2	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	1.Политическая партия «Аграрная партия России»	128	12	7	9	6	6	4	3	1	2	1	3	13	7	7	8	3	0	7	0	3	3	6	1	0	0	1	4	5	6					
		1.64%	1.88%	1.61%	1.10%	0.99%	1.78%	2.52%	4.48%	0.95%	2.86%	0.58%	3.26%	6.34%	5.19%	2.11%	3.62%	2.91%	0.00%	2.69%	0.00%	0.59%	1.73%	2.78%	1.61%	0.00%	0.00%	1.35%	1.01%	0.91%	1.32%					
19	2.Всероссийская политическая партия «Гражданская Сила»	25	1	5	5	0	1	0	0	0	0	0	1	0	0	1	1	0	2	1	0	2	1	0	0	0	0	0	1	2	1					
		0.32%	0.16%	1.15%	0.61%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.30%	0.45%	0.00%	0.84%	0.38%	0.00%	0.39%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.37%	0.22%					
20	3.Политическая партия «Демократическая партия России»	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0					
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.97%	0.00%	0.00%	0.47%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	647	67	36	71	31	27	10	5	6	4	5	10	5	5	38	20	23	7	10	9	34	12	28	2	5	0	0	41	74	62					
		8.31%	10.52%	8.29%	8.68%	5.12%	7.99%	6.29%	7.46%	5.71%	5.71%	2.91%	10.87%	2.44%	3.70%	11.45%	9.05%	22.33%	2.95%	3.85%	4.19%	6.65%	6.94%	12.96%	3.23%	5.81%	0.00%	0.00%	10.35%	13.53%	13.63%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	25	8	4	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	8	0					
		0.32%	1.26%	0.92%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	1.46%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	22	0	1	4	2	0	0	0	1	1	0	0	4	0	0	0	0	0	0	0	3	1	0	0	0	0	1	1	1	2					
		0.28%	0.00%	0.23%	0.49%	0.33%	0.00%	0.00%	0.00%	0.95%	1.43%	0.00%	0.00%	1.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.58%	0.00%	0.00%	0.00%	0.00%	1.35%	0.25%	0.18%	0.44%					
24	7.Политическая партия «Либерально-демократическая партия России»	582	72	44	71	50	23	16	3	3	6	13	6	12	13	34	11	13	14	16	8	23	9	6	1	9	4	1	25	38	38					
		7.48%	11.30%	10.14%	8.68%	8.25%	6.80%	10.06%	4.48%	2.86%	8.57%	7.56%	6.52%	5.85%	9.63%	10.24%	4.98%	12.62%	5.91%	6.15%	3.72%	4.50%	5.20%	2.78%	1.61%	10.47%	6.90%	1.35%	6.31%	6.95%	8.35%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	334	35	29	51	33	12	3	5	4	3	3	4	0	5	12	6	3	1	2	2	18	14	13	1	0	1	1	24	20	29					
		4.29%	5.49%	6.68%	6.23%	5.45%	3.55%	1.89%	7.46%	3.81%	4.29%	1.74%	4.35%	0.00%	3.70%	3.61%	2.71%	2.91%	0.42%	0.77%	0.93%	3.52%	8.09%	6.02%	1.61%	0.00%	1.72%	1.35%	6.06%	3.66%	6.37%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	44	5	2	7	3	0	2	0	0	0	0	0	2	0	4	4	0	1	1	0	3	0	0	0	0	0	1	4	2	3					
		0.57%	0.78%	0.46%	0.86%	0.50%	0.00%	1.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	1.20%	1.81%	0.00%	0.42%	0.38%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	1.35%	1.01%	0.37%	0.66%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5860	433	304	587	471	260	119	51	90	52	142	67	168	102	234	164	60	210	221	193	419	130	155	56	71	52	67	286	388	308					
		75.28%	67.97%	70.05%	71.76%	77.72%	76.92%	74.84%	76.12%	85.71%	74.29%	82.56%	72.83%	81.95%	75.56%	70.48%	74.21%	58.25%	88.61%	85.00%	89.77%	81.99%	75.14%	71.76%	90.32%	82.56%	89.66%	90.54%	72.22%	70.93%	67.69%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	22	0	1	3	4	2	1	0	0	1	0	1	0	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	1	1					
		0.28%	0.00%	0.23%	0.37%	0.66%	0.59%	0.63%	0.00%	0.00%	1.43%	0.00%	1.09%	0.00%	0.74%	0.00%	0.45%	0.00%	0.42%	0.38%	0.00%	0.20%	0.58%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.22%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
