Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																					
																																																																					
Наименование Избирательной комиссии:    Вязниковская																																																																					
																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																					
																																																																					
		Сумма	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794					
1	"Число избирателей, внесенных в списки"	74162	2196	2086	1933	1887	1932	1944	1734	1714	1895	1952	1608	1961	1117	2429	2145	2382	2535	677	1051	435	888	540	1430	989	1440	1194	490	399	929	216	594	601	1294	1815	2134	379	1026	602	559	531	2392	719	696	333	753	319	1152	1538	1579	517	1900	562	479	1023	1858	406	1216	327	531	110	882	1207					
2	"Число бюллетеней, полученных участковыми комиссиями"	67227	1965	1860	1725	1693	1728	1731	1544	1534	1688	1744	1430	1752	991	2166	1916	2140	2267	602	948	392	802	465	1247	869	1238	1020	438	357	827	193	536	555	1142	1572	1801	330	919	546	504	479	2086	652	644	299	684	285	2256	1350	1369	455	1720	509	428	917	1681	368	1094	283	484	112	792	1103					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	29878	842	795	678	689	684	723	574	701	874	844	630	787	453	941	857	1062	1027	340	478	105	424	188	463	447	466	543	251	96	374	102	329	192	495	820	892	160	422	232	224	186	888	372	303	117	294	138	1101	578	570	211	693	248	157	347	640	121	482	141	240	30	303	514					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3079	34	39	50	31	54	44	37	31	37	20	53	36	19	22	20	30	8	30	7	94	8	38	19	18	79	16	15	146	73	72	13	74	62	31	65	14	21	9	0	34	45	99	91	18	61	64	51	68	84	52	110	42	112	66	117	60	45	14	39	57	151	130					
6	Число погашенных бюллетеней	34270	1089	1026	997	973	990	964	933	802	777	880	747	929	519	1203	1039	1048	1232	232	463	193	370	239	765	404	693	461	172	115	380	19	194	289	585	721	844	156	476	305	280	259	1153	181	250	164	329	83	1104	704	715	192	917	219	159	504	924	187	567	128	205	25	338	459					
7	Число бюллетеней в переносных ящиках для голосования	3079	34	39	50	31	54	44	37	31	37	20	53	36	19	22	20	30	8	30	7	94	8	38	19	18	79	16	15	146	73	72	13	74	62	31	65	14	21	9	0	34	45	99	91	18	61	64	51	68	84	52	110	42	112	66	117	60	45	14	39	57	151	130					
8	Число бюллетеней в стационарных ящиках для голосования	29873	842	795	678	689	684	723	574	699	873	844	630	787	453	941	857	1062	1027	340	478	105	424	188	463	447	466	543	251	96	374	102	329	192	495	820	892	158	422	232	224	186	888	372	303	117	294	138	1101	578	570	211	693	248	157	347	640	121	482	141	240	30	303	514					
9	Число недействительных бюллетеней	500	14	10	8	6	12	7	5	12	8	12	10	11	10	17	16	10	13	1	12	4	6	9	17	13	9	3	2	0	11	0	0	0	6	12	7	2	2	5	10	4	20	20	3	2	5	1	16	15	2	10	15	9	2	12	12	2	5	2	6	0	14	11					
10	Число действительных бюллетеней	32452	862	824	720	714	726	760	606	718	902	852	673	812	462	946	861	1082	1022	369	473	195	426	217	465	452	536	556	264	242	436	174	342	266	551	839	950	170	441	236	214	216	913	451	391	133	350	201	1136	631	652	253	788	281	267	401	745	179	522	153	273	87	440	633					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	910	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	10	15	10	15	10	15	15	15	15	10	10	15	5	10	10	15	20	20	5	15	10	10	10	20	10	10	5	15	5	20	15	15	10	20	10	10	25	20	10	15	5	10	5	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	162	1	1	2	5	3	4	7	5	6	6	1	4	2	8	8	11	10	0	0	0	1	0	2	6	1	3	4	1	0	0	0	2	1	3	0	0	0	0	0	0	4	6	0	0	1	0	2	2	1	4	1	0	2	20	1	2	5	1	0	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	143	0	3	1	3	6	8	4	6	6	5	1	0	4	2	12	6	5	1	0	1	1	6	2	3	1	6	0	4	2	0	5	0	0	0	1	0	2	0	4	3	3	1	0	2	0	1	3	6	6	1	0	0	1	1	1	0	1	2	0	0	0	0					
14	Число погашенных открепительных удостоверений	748	19	19	18	15	17	16	13	15	14	14	19	16	18	12	12	9	10	10	15	10	14	10	13	9	14	12	6	9	15	5	10	8	14	17	20	5	15	10	10	10	16	4	10	5	14	5	18	13	14	6	19	10	8	5	19	8	10	4	10	5	14	14					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
