Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Хасавюртовская городская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	65369	1437	1344	1250	1445	1315	1893	1944	1768	1095	1193	1691	2005	1981	2082	2115	1819	1752	1999	1850	1793	1550	1790	1961	2131	2124	1308	1401	1890	1710	1582	1255	1344	1294	1794	1626	1383	1626	1496	1199	1134									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	62400	1400	1300	1200	1400	1300	1800	2000	1700	1000	1100	1600	1900	1900	2000	2200	1700	1700	2000	1800	1700	1500	1700	1900	2000	2000	1200	1300	1800	1600	1400	1200	1300	1200	1800	1500	1300	1500	1400	1100	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	54591	1192	1249	1150	1314	1275	1798	1885	1679	996	1097	1581	1864	1876	1992	1945	1691	1699	1939	484	602	609	1682	1862	1981	1996	1045	1280	1776	1597	960	557	1290	906	1740	1121	802	1105	897	1091	986									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	311	187	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	7498	21	51	50	86	25	2	115	21	4	3	19	36	24	8	131	9	1	61	1316	1098	891	18	38	19	4	155	20	24	3	440	643	10	294	60	379	498	395	503	9	14									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	311	187	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	54591	1192	1249	1150	1314	1275	1798	1885	1679	996	1097	1581	1864	1876	1992	1945	1691	1699	1939	484	602	609	1682	1862	1981	1996	1045	1280	1776	1597	960	557	1290	906	1740	1121	802	1105	897	1091	986									
9	Число недействительных избирательных бюллетеней	1863	55	24	57	63	42	55	44	66	47	58	78	47	57	65	74	35	88	29	51	11	9	50	92	77	12	12	23	29	48	7	6	55	48	85	61	33	38	57	39	36									
10	Число действительных избирательных бюллетеней	53039	1324	1225	1093	1251	1233	1743	1841	1613	949	1039	1503	1817	1819	1927	1995	1656	1611	1910	433	591	600	1632	1770	1904	1984	1033	1257	1747	1549	953	551	1235	858	1655	1060	769	1067	840	1052	950									
