Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
"Наименование Избирательной комиссии:    г. Чита, Центральная"																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459					
1	"Число избирателей, внесенных в списки избирателей"	85826	2345	2587	2581	2471	2641	2459	2698	2609	2525	2722	2482	1589	2379	2643	2120	2217	2464	2336	2750	1703	1374	1918	2138	2504	1489	2571	1512	2286	1914	2413	2059	2047	2258	2345	1436	2081	1912	1952	599	450	247					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	79250	2200	2300	2700	2500	2600	2300	2150	2500	2500	2500	2350	1400	2200	2300	1950	2050	2100	2100	2500	1500	1200	1700	1800	2300	1300	2300	1150	2300	1800	2100	1800	1900	2000	2200	1450	2250	1900	1650	550	400	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	56460	1834	1643	1883	1625	1847	1537	1535	1656	1674	1797	1674	998	1509	1623	1493	1328	1524	1540	1815	1089	855	1204	1452	1565	997	1725	823	1756	1071	1547	1295	1406	1360	1480	984	1875	1090	1337	414	353	247					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3277	55	67	57	50	72	62	23	36	54	104	128	24	128	142	100	48	194	53	69	80	34	31	42	74	186	54	315	62	254	28	46	78	59	104	157	206	0	1	0	0	0					
6	Число погашенных избирательных бюллетеней	19513	311	590	760	825	681	701	592	808	772	599	548	378	563	535	357	674	382	507	616	331	311	465	306	661	117	521	12	482	475	525	459	416	581	616	309	169	810	312	136	47	253					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3277	55	67	57	50	72	62	23	36	54	104	128	24	128	142	100	48	194	53	69	80	34	31	42	74	186	54	315	62	254	28	46	78	59	104	157	206	0	1	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	56423	1834	1643	1883	1625	1840	1537	1535	1655	1674	1795	1674	998	1502	1623	1493	1328	1524	1536	1815	1089	855	1203	1449	1565	997	1724	823	1756	1071	1547	1292	1404	1360	1478	981	1875	1089	1337	414	353	247					
9	Число недействительных избирательных бюллетеней	516	7	19	22	0	11	10	15	7	23	11	2	10	19	14	20	10	12	11	18	15	14	11	13	8	9	20	5	25	7	29	25	15	14	23	12	14	8	2	0	6	0					
10	Число действительных избирательных бюллетеней	59184	1882	1691	1918	1675	1901	1589	1543	1684	1705	1888	1800	1012	1611	1751	1573	1366	1706	1578	1866	1154	875	1223	1478	1631	1174	1758	1133	1793	1318	1546	1313	1467	1405	1559	1126	2067	1081	1336	414	347	247					
