Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
Наименование Избирательной комиссии:    Пудожская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №471	УИК №472	УИК №473					
1	"Число избирателей, внесенных в списки избирателей"	20477	2052	1921	2169	2071	164	139	513	244	358	635	480	384	506	121	1274	513	254	419	504	93	1406	630	219	91	1122	978	144	653	251	169					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19780	1900	1900	2100	2000	160	130	500	240	350	600	450	350	500	110	1200	500	250	400	500	80	1400	600	200	80	1100	1000	140	650	240	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9776	989	1130	1009	1076	79	64	233	118	151	281	223	169	284	68	520	222	134	228	232	57	678	313	88	25	443	429	65	284	102	82					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	780	77	38	44	26	3	23	13	7	42	26	19	9	8	11	76	39	19	27	11	2	63	17	0	0	62	20	12	14	58	14					
6	Число погашенных избирательных бюллетеней	9224	834	732	1047	898	78	43	254	115	157	293	208	172	208	31	604	239	97	145	257	21	659	270	112	55	595	551	63	352	80	54					
7	Число избирательных бюллетеней в переносных ящиках для голосования	780	77	38	44	26	3	23	13	7	42	26	19	9	8	11	76	39	19	27	11	2	63	17	0	0	62	20	12	14	58	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9772	989	1128	1009	1074	79	64	233	118	151	281	223	169	284	68	520	222	134	228	232	57	678	313	88	25	443	429	65	284	102	82					
9	Число недействительных избирательных бюллетеней	89	6	3	10	9	3	4	1	1	2	0	3	2	3	0	5	1	1	1	0	0	10	4	3	0	5	5	0	5	1	1					
10	Число действительных избирательных бюллетеней	10463	1060	1163	1043	1091	79	83	245	124	191	307	239	176	289	79	591	260	152	254	243	59	731	326	85	25	500	444	77	293	159	95					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	265	23	20	10	16	4	5	4	7	7	7	7	7	10	5	10	7	11	7	7	5	10	7	6	4	11	16	5	12	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	161	18	16	9	16	1	0	0	0	3	4	3	0	9	0	2	2	9	6	3	1	9	4	3	0	9	14	1	9	1	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	93	9	9	11	9	1	1	2	2	1	4	2	1	0	5	5	0	1	4	1	2	3	4	1	1	3	2	2	3	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	104	5	4	1	0	3	5	4	7	4	3	4	7	1	5	8	5	2	1	4	4	1	3	3	4	2	2	4	3	4	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	9	4	3	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	1.Политическая партия «Аграрная партия России»	185	11	18	19	31	0	0	1	1	4	1	2	7	8	1	4	12	3	11	3	0	9	5	2	3	7	6	0	3	9	4					
		1.75%	1.03%	1.54%	1.80%	2.82%	0.00%	0.00%	0.41%	0.80%	2.07%	0.33%	0.83%	3.93%	2.74%	1.27%	0.67%	4.60%	1.96%	4.31%	1.23%	0.00%	1.21%	1.52%	2.27%	12.00%	1.39%	1.34%	0.00%	1.01%	5.63%	4.17%					
19	2.Всероссийская политическая партия «Гражданская Сила»	73	7	16	10	8	0	0	1	0	1	3	1	0	3	0	4	3	2	1	0	0	6	2	1	0	1	1	0	2	0	0					
		0.69%	0.66%	1.37%	0.95%	0.73%	0.00%	0.00%	0.41%	0.00%	0.52%	0.98%	0.41%	0.00%	1.03%	0.00%	0.67%	1.15%	1.31%	0.39%	0.00%	0.00%	0.81%	0.61%	1.14%	0.00%	0.20%	0.22%	0.00%	0.67%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	10	0	0	2	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0					
		0.09%	0.00%	0.00%	0.19%	0.09%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.41%	0.00%	0.34%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	968	111	160	96	128	5	12	20	9	17	35	14	6	21	4	59	14	8	20	19	4	73	32	2	0	40	29	3	22	4	1					
