Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																			
Дата голосования: 02.12.2007																																																			
																																																			
Наименование Избирательной комиссии:    Игринская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844					
1	"Число избирателей, внесенных в списки избирателей"	33387	1295	1025	2056	1067	1083	1425	1059	1333	1203	2240	1229	1281	1299	389	336	1168	1189	208	655	487	767	388	90	491	730	442	149	559	474	558	252	227	689	526	257	183	967	285	235	223	1499	1188	130	51					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	32000	1200	1000	1900	1050	1050	1300	1000	1300	1150	2200	1200	1200	1200	390	340	1100	1150	210	650	480	600	500	90	470	700	450	150	500	450	550	250	220	650	500	250	180	950	280	230	220	1450	1100	130	60					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19481	707	636	1249	645	602	849	637	660	600	1124	513	723	677	255	239	705	718	175	417	325	445	238	55	322	437	293	94	466	300	283	142	136	446	358	176	126	591	205	196	150	823	626	81	36					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1179	28	30	10	11	17	10	19	37	21	64	32	16	41	33	43	55	60	14	17	19	23	14	5	28	53	38	4	31	64	78	10	7	43	15	17	9	44	10	10	28	19	42	0	10					
6	Число погашенных избирательных бюллетеней	11340	465	334	641	394	431	441	344	603	529	1012	655	461	482	102	58	340	372	21	216	136	132	248	30	120	210	119	52	3	86	189	98	77	161	127	57	45	315	65	24	42	608	432	49	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1179	28	30	10	11	17	10	19	37	21	64	32	16	41	33	43	55	60	14	17	19	23	14	5	28	53	38	4	31	64	78	10	7	43	15	17	9	44	10	10	28	19	42	0	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19480	706	636	1249	645	602	849	637	660	600	1124	513	723	677	255	239	705	718	175	417	325	445	238	55	322	437	293	94	466	300	283	142	136	446	358	176	126	591	205	196	150	823	626	81	36					
9	Число недействительных избирательных бюллетеней	225	6	10	15	12	4	10	7	10	4	21	2	8	20	3	0	5	13	2	7	2	3	8	0	0	4	6	2	0	4	3	1	0	1	0	2	1	1	1	2	0	7	18	0	0					
10	Число действительных избирательных бюллетеней	20434	728	656	1244	644	615	849	649	687	617	1167	543	731	698	285	282	755	765	187	427	342	465	244	60	350	486	325	96	497	360	358	151	143	488	373	191	134	634	214	204	178	835	650	81	46					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	330	10	10	28	20	10	10	10	13	10	15	10	10	10	4	3	10	10	8	6	5	5	5	2	3	8	3	2	5	6	5	2	5	8	5	2	3	16	2	2	7	10	10	2	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	216	6	7	25	10	6	10	3	9	5	13	5	6	4	4	3	7	10	2	2	0	4	2	1	2	8	2	0	5	6	5	2	1	8	0	0	3	16	0	0	7	1	6	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	115	4	4	17	7	6	1	2	2	2	2	0	3	3	0	0	4	0	0	1	2	2	1	0	1	3	1	0	8	3	1	1	1	10	5	0	0	4	1	1	1	5	5	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	114	4	3	3	10	4	0	7	4	5	2	5	4	6	0	0	3	0	6	4	5	1	3	1	1	0	1	2	0	0	0	0	4	0	5	2	0	0	2	2	0	9	4	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
18	1.Политическая партия «Аграрная партия России»	388	18	12	20	8	9	21	6	13	9	17	13	12	8	2	8	17	21	1	11	11	6	3	0	5	10	7	1	2	6	14	2	8	13	5	6	4	26	1	5	3	13	9	2	0					
		1.88%	2.45%	1.80%	1.59%	1.22%	1.45%	2.44%	0.91%	1.87%	1.45%	1.43%	2.39%	1.62%	1.11%	0.69%	2.84%	2.24%	2.70%	0.53%	2.53%	3.20%	1.28%	1.19%	0.00%	1.43%	2.04%	2.11%	1.02%	0.40%	1.65%	3.88%	1.32%	5.59%	2.66%	1.34%	3.11%	2.96%	4.09%	0.47%	2.43%	1.69%	1.54%	1.35%	2.47%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	83	6	4	5	9	4	0	4	2	4	5	5	4	4	0	1	1	3	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	2	1	0	1	2	0	0	0	9	1	0	2					
		0.40%	0.82%	0.60%	0.40%	1.37%	0.65%	0.00%	0.61%	0.29%	0.64%	0.42%	0.92%	0.54%	0.56%	0.00%	0.35%	0.13%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.30%	0.00%	0.00%	0.27%	0.00%	0.00%	0.70%	0.41%	0.27%	0.00%	0.74%	0.31%	0.00%	0.00%	0.00%	1.07%	0.15%	0.00%	4.35%					
