Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																							
Дата голосования: 04.12.2011																																																																							
																																																																							
"Наименование Избирательной комиссии:    Пермь, Дзержинская"																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864					
1	"Число избирателей, внесенных в список избирателей"	122733	2447	2083	1956	2242	2036	1138	1568	1729	1642	1546	2090	1740	1488	1673	2476	1799	1326	1623	2045	1963	1427	1721	1576	1974	1639	2446	2260	2089	1804	2380	2251	1719	2533	2415	2895	2208	2212	2366	1925	2672	2015	2335	2173	2204	2924	2278	2648	1880	1853	1548	1976	1830	2643	2715	3053	143	111	354	1650	1988	2671	86	2397	136					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	90000	1700	1400	1400	1600	1600	1000	1200	1000	1200	1200	1500	1300	1200	1200	1800	1300	1000	1200	1500	1400	1400	1300	1200	1500	1200	1800	1600	1500	1300	1700	1600	1200	1700	1600	2000	1500	1500	1700	1400	1800	1400	1600	1500	1600	2000	1600	1900	1400	1400	1100	1400	1300	1900	2000	2200	300	500	500	1200	1500	1800	500	1700	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	56792	1278	1063	1042	1062	928	579	741	658	716	692	747	902	640	788	1250	918	579	769	951	982	496	772	726	885	667	1016	837	1026	851	1137	1092	864	1265	1232	1355	1097	935	1135	983	1297	1033	1058	976	873	1545	1159	1202	824	653	562	775	816	1110	1057	1316	122	111	354	691	953	1284	86	1143	136					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1670	30	24	28	30	29	16	17	29	20	21	30	38	11	35	65	47	25	53	47	35	0	29	19	25	28	17	26	35	38	23	20	27	35	21	45	28	15	31	25	24	12	37	38	11	29	23	23	50	37	15	33	28	37	40	25	0	0	0	26	8	34	0	23	0					
6	Число погашенных избирательных бюллетеней	31538	392	313	330	508	643	405	442	313	464	487	723	360	549	377	485	335	396	378	502	383	904	499	455	590	505	767	737	439	411	540	488	309	400	347	600	375	550	534	392	479	355	505	486	716	426	418	675	526	710	523	592	456	753	903	859	178	389	146	483	539	482	414	534	364					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1670	30	24	28	30	29	16	17	29	20	21	30	38	11	35	65	47	25	53	47	35	0	29	19	25	28	17	26	35	38	23	20	27	35	21	45	28	15	31	25	24	12	37	38	11	29	23	23	50	37	15	33	28	37	40	25	0	0	0	26	8	34	0	23	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	56666	1278	1062	1042	1062	927	579	741	658	716	692	747	902	640	786	1247	860	579	769	950	982	496	772	724	884	667	1016	836	1026	842	1137	1092	863	1264	1230	1355	1096	935	1135	983	1297	1031	1058	974	872	1543	1158	1179	823	653	562	775	816	1110	1056	1316	122	111	354	691	952	1280	86	1139	136					
9	Число недействительных избирательных бюллетеней	1421	32	30	19	38	33	16	22	14	14	22	18	18	21	17	37	22	11	18	28	18	1	18	13	16	15	14	35	19	24	34	24	27	27	19	21	60	27	28	20	18	19	14	21	35	44	26	14	32	27	12	26	18	18	31	32	9	3	9	19	31	30	6	33	4					
10	Число действительных избирательных бюллетеней	56915	1276	1056	1051	1054	923	579	736	673	722	691	759	922	630	804	1275	885	593	804	969	999	495	783	730	893	680	1019	827	1042	856	1126	1088	863	1272	1232	1379	1064	923	1138	988	1303	1024	1081	991	848	1528	1155	1188	841	663	565	782	826	1129	1065	1309	113	108	345	698	929	1284	80	1129	132					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2193	48	43	30	40	40	30	30	30	30	30	40	30	30	30	40	30	30	30	43	30	33	30	30	40	30	43	43	40	30	40	40	30	40	43	50	40	40	40	30	46	38	40	40	40	50	40	50	30	30	33	30	30	50	50	50	0	0	0	30	40	40	0	40	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1975	47	42	28	40	39	11	28	24	23	24	25	22	29	29	40	30	19	29	42	25	33	29	30	40	18	43	43	37	30	39	39	30	36	43	41	27	35	39	29	45	38	39	27	19	50	39	40	30	27	33	30	29	50	50	50	0	0	0	14	33	39	0	36	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2137	14	12	14	12	13	24	15	4	8	3	7	10	13	10	17	11	8	9	5	10	20	12	0	8	23	17	12	24	3	15	30	30	162	187	191	93	99	71	67	57	85	97	44	39	30	27	8	11	21	13	11	16	18	12	16	23	15	10	59	7	66	3	30	136					
14	Число погашенных неиспользованных открепительных удостоверений	218	1	1	2	0	1	19	2	6	7	6	15	8	1	1	0	0	11	1	1	5	0	1	0	0	12	0	0	3	0	1	1	0	4	0	9	13	5	1	1	1	0	1	13	21	0	1	10	0	3	0	0	1	0	0	0	0	0	0	16	7	1	0	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	10616	227	238	226	194	165	108	133	122	156	119	129	172	130	161	214	170	105	155	209	204	102	176	159	158	130	170	159	198	178	256	208	140	252	198	257	244	198	197	219	278	185	211	205	179	196	163	211	126	102	70	126	146	189	171	247	21	21	71	172	147	243	19	156	25					
