Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Большесосновская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519					
1	"Число избирателей, внесенных в списки"	11250	2507	1050	387	569	234	268	380	518	234	402	327	206	547	300	207	415	1881	360	458					
2	"Число бюллетеней, полученных участковыми комиссиями"	11500	2540	1050	390	630	250	260	400	550	230	400	350	220	600	300	220	420	1870	360	460					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6060	1231	512	230	197	174	181	194	256	166	279	169	148	295	213	142	255	888	204	326					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1307	119	39	57	246	26	6	127	79	40	15	72	18	63	18	19	62	224	47	30					
6	Число погашенных бюллетеней	4133	1190	499	103	187	50	73	79	215	24	106	109	54	242	69	59	103	758	109	104					
7	Число бюллетеней в переносных ящиках для голосования	1307	119	39	57	246	26	6	127	79	40	15	72	18	63	18	19	62	224	47	30					
8	Число бюллетеней в стационарных ящиках для голосования	6058	1229	512	230	197	174	181	194	256	166	279	169	148	295	213	142	255	888	204	326					
9	Число недействительных бюллетеней	159	12	5	8	4	3	8	7	6	5	0	6	8	3	16	9	8	31	11	9					
10	Число действительных бюллетеней	7206	1336	546	279	439	197	179	314	329	201	294	235	158	355	215	152	309	1081	240	347					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	130	18	15	3	10	8	3	5	12	2	0	3	3	7	5	7	10	12	2	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	113	13	13	3	9	8	2	5	10	0	0	3	3	7	3	7	9	11	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	65	34	1	0	0	0	2	1	2	0	1	0	0	1	3	2	2	11	4	1					
14	Число погашенных открепительных удостоверений	17	5	2	0	1	0	1	0	2	2	0	0	0	0	2	0	1	1	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	127	18	10	4	1	7	6	2	8	3	6	4	1	8	2	9	9	23	5	1					
		1.72%	1.33%	1.81%	1.39%	0.22%	3.5%	3.20%	0.62%	2.38%	1.45%	2.04%	1.65%	0.60%	2.23%	0.86%	5.59%	2.83%	2.06%	1.99%	0.28%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	214	64	13	8	8	1	8	6	10	3	7	10	9	10	9	1	9	20	9	9					
		2.90%	4.74%	2.35%	2.78%	1.80%	0.5%	4.27%	1.86%	2.98%	1.45%	2.38%	4.14%	5.42%	2.79%	3.89%	0.62%	2.83%	1.79%	3.58%	2.52%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	234	59	11	10	14	7	5	7	8	11	8	7	6	13	8	2	12	23	13	10					
		3.17%	4.37%	1.99%	3.48%	3.16%	3.5%	2.67%	2.18%	2.38%	5.33%	2.72%	2.90%	3.61%	3.63%	3.46%	1.24%	3.78%	2.06%	5.17%	2.80%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	123	27	18	4	3	1	3	8	6	1	5	3	4	11	3	0	7	13	4	2					
		1.67%	2.00%	3.26%	1.39%	0.67%	0.5%	1.60%	2.49%	1.79%	0.48%	1.70%	1.24%	2.40%	3.07%	1.29%	0.0%	2.20%	1.16%	1.59%	0.56%					
22	"5. ""За Русь Святую"""	50	8	4	2	4	1	0	2	3	4	0	4	0	5	1	0	3	5	3	1					
		0.67%	0.59%	0.72%	0.69%	0.90%	0.5%	0.0%	0.62%	0.89%	1.94%	0.0%	1.65%	0.0%	1.39%	0.43%	0.0%	0.94%	0.44%	1.19%	0.28%					
23	"6. ""Объединенная Российская партия ""Русь"""	53	9	1	2	1	3	3	3	4	1	2	4	0	0	1	1	4	9	3	2					
		0.71%	0.66%	0.18%	0.69%	0.22%	1.5%	1.60%	0.93%	1.19%	0.48%	0.68%	1.65%	0.0%	0.0%	0.43%	0.62%	1.26%	0.80%	1.19%	0.56%					
24	"7. ""Новый курс - Автомобильная Россия"""	73	22	11	2	2	3	3	1	3	1	2	2	2	0	1	1	3	10	2	2					
		0.99%	1.63%	1.99%	0.69%	0.45%	1.5%	1.60%	0.31%	0.89%	0.48%	0.68%	0.82%	1.20%	0.0%	0.43%	0.62%	0.94%	0.89%	0.79%	0.56%					
25	"8. ""Народно-республиканская партия России"""	10	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	1	1	1	0					
		0.13%	0.07%	0.0%	0.0%	0.22%	0.0%	0.0%	0.31%	0.0%	0.48%	0.34%	0.41%	0.0%	0.27%	0.0%	0.0%	0.31%	0.08%	0.39%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	14	1	1	1	0	0	1	0	0	0	0	0	1	3	2	1	0	2	0	1					
		0.19%	0.07%	0.18%	0.34%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.83%	0.86%	0.62%	0.0%	0.17%	0.0%	0.28%					
27	"10. ""Аграрная партия России"""	1016	102	53	56	114	49	20	12	33	39	23	57	14	47	48	38	57	120	41	93					
