Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва												
Дата голосования: 07.12.2003 0:00:00												
												
Наименование Избирательной комиссии:    Среднеканская												
												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)												
												
		Сумма	УИК  98	УИК  99	УИК  101	УИК  102	УИК  103					
1	"Число избирателей, внесенных в списки"	4202	1513	1451	381	491	366					
2	"Число бюллетеней, полученных участковыми комиссиями"	4224	1517	1439	389	526	353					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	20	20	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1902	688	605	180	238	191					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	69	21	38	2	3	5					
6	Число погашенных бюллетеней	2234	788	796	207	286	157					
7	Число бюллетеней в переносных ящиках для голосования	89	41	38	2	3	5					
8	Число бюллетеней в стационарных ящиках для голосования	1901	687	605	180	238	191					
9	Число недействительных бюллетеней	19	7	5	4	1	2					
10	Число действительных бюллетеней	1971	721	638	178	240	194					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	30	20	10	10	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	20	5	4	4	5	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	6	2	2	0	1	1					
14	Число погашенных открепительных удостоверений	80	25	16	6	5	28					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	1	0	0	0	1	0					
												
18	"1. ""ЕДИНЕНИЕ"""	20	7	6	2	2	3					
		1.00%	0.96%	0.93%	1.09%	0.82%	1.53%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	41	13	19	6	0	3					
		2.06%	1.78%	2.95%	3.29%	0.0%	1.53%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	62	24	18	6	12	2					
		3.11%	3.29%	2.79%	3.29%	4.97%	1.02%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	77	26	40	5	1	5					
		3.86%	3.57%	6.22%	2.74%	0.41%	2.55%					
22	"5. ""За Русь Святую"""	11	2	5	0	2	2					
		0.55%	0.27%	0.77%	0.0%	0.82%	1.02%					
23	"6. ""Объединенная Российская партия ""Русь"""	13	4	5	2	1	1					
		0.65%	0.54%	0.77%	1.09%	0.41%	0.51%					
24	"7. ""Новый курс - Автомобильная Россия"""	7	2	3	1	1	0					
		0.35%	0.27%	0.46%	0.54%	0.41%	0.0%					
25	"8. ""Народно-республиканская партия России"""	4	2	1	0	1	0					
		0.20%	0.27%	0.15%	0.0%	0.41%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	6	3	1	2	0	0					
		0.30%	0.41%	0.15%	1.09%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	47	17	7	7	12	4					
		2.36%	2.33%	1.08%	3.84%	4.97%	2.04%					
28	"11. ""Истинные патриоты России"""	6	2	1	0	2	1					
		0.30%	0.27%	0.15%	0.0%	0.82%	0.51%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	17	6	9	1	1	0					
		0.85%	0.82%	1.39%	0.54%	0.41%	0.0%					
30	"13. ""Демократическая партия России"""	7	1	3	0	1	2					
		0.35%	0.13%	0.46%	0.0%	0.41%	1.02%					
31	"14. ""Великая Россия - Евразийский Союз"""	5	2	2	1	0	0					
		0.25%	0.27%	0.31%	0.54%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	8	2	2	2	0	2					
		0.40%	0.27%	0.31%	1.09%	0.0%	1.02%					
33	"16. ""Родина"" (народно-патриотический союз)"""	148	75	43	5	14	11					
		7.43%	10.30%	6.68%	2.74%	5.80%	5.61%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	4	3	0	0	1	0					
		0.20%	0.41%	0.0%	0.0%	0.41%	0.0%					
35	"18. ""ЛДПР"""	412	137	130	34	69	42					
		20.70%	18.81%	20.21%	18.68%	28.63%	21.42%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	43	19	13	5	2	4					
		2.16%	2.60%	2.02%	2.74%	0.82%	2.04%					
37	"20. ""Политическая партия ""Единая Россия"""	631	235	195	55	82	64					
		31.70%	32.28%	30.32%	30.21%	34.02%	32.65%					
38	"21. ""Российская Конституционно-демократическая партия"""	3	1	0	1	1	0					
		0.15%	0.13%	0.0%	0.54%	0.41%	0.0%					
39	"22. ""Развитие предпринимательства"""	1	1	0	0	0	0					
		0.05%	0.13%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	302	99	113	30	20	40					
		15.17%	13.59%	17.57%	16.48%	8.29%	20.40%					
												
41	Против всех	96	38	22	13	15	8					
		4.82%	5.21%	3.42%	7.14%	6.22%	4.08%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
