Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Тернейская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9800	2117	2141	2023	848	531	642	183	181	630	223	133	148									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9762	2118	2179	2030	858	538	648	166	180	582	220	113	130									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3164	570	489	735	237	213	250	114	72	286	108	45	45									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	122	13	27	18	4	8	13	11	3	9	3	8	5									
6	Число погашенных избирательных бюллетеней	6476	1535	1663	1277	617	317	385	41	105	287	109	60	80									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	122	13	27	18	4	8	13	11	3	9	3	8	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3164	570	489	735	237	213	250	114	72	286	108	45	45									
9	Число недействительных избирательных бюллетеней	135	12	29	36	14	15	7	2	5	7	2	5	1									
10	Число действительных избирательных бюллетеней	3151	571	487	717	227	206	256	123	70	288	109	48	49									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	282	32	40	35	30	25	20	15	15	25	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	15	0	0	6	7	0	2	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	35	8	2	9	0	0	1	1	1	13	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	267	32	40	29	23	25	18	15	15	25	15	15	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	1	0	3	0	3	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	46	9	6	14	3	4	0	1	4	3	1	0	1									
		1.40%	1.54%	1.16%	1.86%	1.24%	1.81%	0.00%	0.80%	5.33%	1.02%	0.90%	0.00%	2.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	135	26	12	29	22	5	15	6	0	11	8	1	0									
		4.11%	4.46%	2.33%	3.85%	9.13%	2.26%	5.70%	4.80%	0.00%	3.73%	7.21%	1.89%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	135	24	25	27	10	10	17	6	4	4	2	5	1									
		4.11%	4.12%	4.84%	3.59%	4.15%	4.52%	6.46%	4.80%	5.33%	1.36%	1.80%	9.43%	2.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1271	200	186	243	89	86	95	56	32	179	52	32	21									
		38.68%	34.31%	36.05%	32.27%	36.93%	38.91%	36.12%	44.80%	42.67%	60.68%	46.85%	60.38%	42.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	22	3	2	6	1	1	3	1	0	2	1	0	2									
		0.67%	0.51%	0.39%	0.80%	0.41%	0.45%	1.14%	0.80%	0.00%	0.68%	0.90%	0.00%	4.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	0	3	1	1	0	1	0	0	2	0	0	0									
		0.24%	0.00%	0.58%	0.13%	0.41%	0.00%	0.38%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	714	157	135	144	42	63	49	12	15	53	23	6	15									
		21.73%	26.93%	26.16%	19.12%	17.43%	28.51%	18.63%	9.60%	20.00%	17.97%	20.72%	11.32%	30.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	22	1	1	13	1	0	2	1	0	2	1	0	0									
