Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Ельнинская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181					
1	"Число избирателей, внесенных в списки"	14082	2209	1110	2475	1282	1814	212	157	184	212	254	544	202	341	186	372	167	214	362	312	254	130	238	328	164	224	135					
2	"Число бюллетеней, полученных участковыми комиссиями"	14234	2186	1104	2467	1307	1933	220	152	190	209	259	544	196	350	189	382	172	226	358	302	252	130	222	353	174	223	134					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6122	1039	381	1029	493	939	93	68	84	78	124	258	85	86	56	134	72	90	131	150	101	46	89	243	97	103	53					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1293	40	65	42	30	29	30	19	18	79	36	56	59	120	68	49	35	70	101	74	66	35	74	12	21	31	34					
6	Число погашенных бюллетеней	6819	1107	658	1396	784	965	97	65	88	52	99	230	52	144	65	199	65	66	126	78	85	49	59	98	56	89	47					
7	Число бюллетеней в переносных ящиках для голосования	1292	40	65	42	29	29	30	19	18	79	36	56	59	120	68	49	35	70	101	74	66	35	74	12	21	31	34					
8	Число бюллетеней в стационарных ящиках для голосования	6120	1039	381	1029	491	939	93	68	84	78	124	258	85	86	56	134	72	90	131	150	101	46	89	243	97	103	53					
9	Число недействительных бюллетеней	87	15	4	16	7	1	2	1	1	1	3	5	0	5	1	2	2	1	0	4	4	0	2	7	2	1	0					
10	Число действительных бюллетеней	7325	1064	442	1055	513	967	121	86	101	156	157	309	144	201	123	181	105	159	232	220	163	81	161	248	116	133	87					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	301	10	10	10	10	51	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	67	8	4	6	1	42	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	53	16	2	2	2	6	2	0	0	0	1	1	2	2	1	2	2	0	1	1	4	1	2	0	2	1	0					
14	Число погашенных открепительных удостоверений	234	2	6	4	9	9	10	10	10	9	10	9	10	10	10	10	9	10	10	9	10	9	10	10	9	10	10					
15	Число открепительных удостоверений выданных ТИК	13	0	0	0	0	2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	65	8	8	6	5	6	3	1	0	1	1	2	0	1	2	4	1	1	2	5	1	1	2	1	2	0	1					
		0.87%	0.74%	1.79%	0.56%	0.96%	0.61%	2.43%	1.14%	0.0%	0.63%	0.62%	0.63%	0.0%	0.48%	1.61%	2.18%	0.93%	0.62%	0.86%	2.23%	0.59%	1.23%	1.22%	0.39%	1.69%	0.0%	1.14%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	113	28	6	30	9	19	1	2	2	0	2	1	3	1	0	3	0	0	1	2	1	0	0	0	1	1	0					
		1.52%	2.59%	1.34%	2.80%	1.73%	1.96%	0.81%	2.29%	1.96%	0.0%	1.25%	0.31%	2.08%	0.48%	0.0%	1.63%	0.0%	0.0%	0.43%	0.89%	0.59%	0.0%	0.0%	0.0%	0.84%	0.74%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	390	70	13	65	19	63	8	1	5	7	9	9	5	17	7	10	2	5	10	13	10	7	5	14	3	3	10					
		5.26%	6.48%	2.91%	6.06%	3.65%	6.50%	6.50%	1.14%	4.90%	4.45%	5.62%	2.86%	3.47%	8.25%	5.64%	5.46%	1.86%	3.12%	4.31%	5.80%	5.98%	8.64%	3.06%	5.49%	2.54%	2.23%	11.49%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	157	39	9	26	12	28	4	0	0	2	2	2	1	1	1	1	0	2	1	4	6	0	0	5	3	8	0					
		2.11%	3.61%	2.01%	2.42%	2.30%	2.89%	3.25%	0.0%	0.0%	1.27%	1.25%	0.63%	0.69%	0.48%	0.80%	0.54%	0.0%	1.25%	0.43%	1.78%	3.59%	0.0%	0.0%	1.96%	2.54%	5.97%	0.0%					
22	"5. ""За Русь Святую"""	24	0	2	3	0	6	0	0	0	1	1	1	1	1	2	1	1	0	0	1	1	1	0	1	0	0	0					
		0.32%	0.0%	0.44%	0.28%	0.0%	0.61%	0.0%	0.0%	0.0%	0.63%	0.62%	0.31%	0.69%	0.48%	1.61%	0.54%	0.93%	0.0%	0.0%	0.44%	0.59%	1.23%	0.0%	0.39%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	9	0	0	0	1	1	0	2	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0					
		0.12%	0.0%	0.0%	0.0%	0.19%	0.10%	0.0%	2.29%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.62%	0.0%	0.44%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	32	4	2	5	1	10	0	1	0	1	1	2	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0					
		0.43%	0.37%	0.44%	0.46%	0.19%	1.03%	0.0%	1.14%	0.0%	0.63%	0.62%	0.63%	0.0%	0.0%	0.0%	1.09%	0.93%	0.0%	0.0%	0.44%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	12	0	0	1	3	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	3	0	0	0	0	0	0					
		0.16%	0.0%	0.0%	0.09%	0.57%	0.0%	0.0%	0.0%	0.98%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.89%	1.79%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	19	2	2	5	1	5	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0					
		0.25%	0.18%	0.44%	0.46%	0.19%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.48%	0.0%	0.54%	0.93%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	236	20	15	36	10	13	1	4	8	15	9	5	13	3	1	20	3	9	7	15	7	2	5	8	1	6	0					
		3.18%	1.85%	3.36%	3.36%	1.92%	1.34%	0.81%	4.59%	7.84%	9.55%	5.62%	1.59%	9.02%	1.45%	0.80%	10.92%	2.80%	5.62%	3.01%	6.69%	4.19%	2.46%	3.06%	3.13%	0.84%	4.47%	0.0%					
28	"11. ""Истинные патриоты России"""	9	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0					
		0.12%	0.0%	0.0%	0.09%	0.19%	0.10%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.80%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	1.23%	0.0%	0.39%	0.84%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	132	19	10	23	8	20	1	2	8	4	2	2	5	2	0	2	1	0	0	1	3	1	1	8	6	3	0					
		1.78%	1.76%	2.24%	2.14%	1.53%	2.06%	0.81%	2.29%	7.84%	2.54%	1.25%	0.63%	3.47%	0.97%	0.0%	1.09%	0.93%	0.0%	0.0%	0.44%	1.79%	1.23%	0.61%	3.13%	5.08%	2.23%	0.0%					
30	"13. ""Демократическая партия России"""	22	1	2	9	4	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0					
		0.29%	0.09%	0.44%	0.84%	0.76%	0.0%	0.81%	0.0%	0.0%	1.27%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	10	2	0	2	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0					
		0.13%	0.18%	0.0%	0.18%	0.38%	0.0%	0.81%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	12	2	0	2	1	4	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0					
		0.16%	0.18%	0.0%	0.18%	0.19%	0.41%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	0.80%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	466	121	22	92	27	103	5	1	5	5	1	8	1	10	2	12	2	4	4	11	5	2	6	1	2	2	12					
