Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    район Бирюлево Восточное																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №3421									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	90099	3127	2250	2315	1992	2304	2087	2136	2243	67	2152	2055	1668	2145	2093	2307	2201	2337	2105	2128	2011	2175	2010	2368	2284	2283	2163	2019	2373	1847	2114	2389	2230	2636	1659	2036	2343	2184	2188	2397	2194	2259	2225									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	81250	2700	2000	2100	1900	2000	2000	2000	2000	50	2000	1900	1500	2000	2000	2000	2000	2000	2000	2000	1900	2000	1900	2000	2000	2000	2000	1900	2000	1500	2000	2000	2000	2500	1500	1900	2000	2000	2000	2000	2000	2000	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28571	893	720	708	553	630	834	599	650	25	643	590	511	708	695	739	698	800	730	553	688	676	596	689	749	691	666	736	791	617	1012	782	689	698	619	578	755	681	757	755	639	742	686									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	741	11	15	25	18	14	18	12	18	22	20	10	10	21	12	12	25	28	10	13	32	24	41	21	44	30	23	17	27	18	22	10	6	13	4	5	14	9	15	25	19	5	3									
6	Число погашенных избирательных бюллетеней	51938	1796	1265	1367	1329	1356	1148	1389	1332	3	1337	1300	979	1271	1293	1249	1277	1172	1260	1434	1180	1300	1263	1290	1207	1279	1311	1147	1182	865	966	1208	1305	1789	877	1317	1231	1310	1228	1220	1342	1253	1311									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	741	11	15	25	18	14	18	12	18	22	20	10	10	21	12	12	25	28	10	13	32	24	41	21	44	30	23	17	27	18	22	10	6	13	4	5	14	9	15	25	19	5	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28525	891	720	708	553	630	834	599	648	25	643	590	510	708	695	739	698	798	730	553	686	676	591	689	749	691	657	723	791	617	1012	782	688	698	619	578	754	677	755	755	637	742	686									
9	Число недействительных избирательных бюллетеней	515	10	19	9	7	12	12	11	15	0	19	10	4	12	4	11	9	14	17	9	8	16	8	13	15	20	18	14	15	12	16	16	14	20	8	11	12	11	13	12	13	18	8									
10	Число действительных избирательных бюллетеней	28751	892	716	724	564	632	840	600	651	47	644	590	516	717	703	740	714	812	723	557	710	684	624	697	778	701	662	726	803	623	1018	776	680	691	615	572	756	675	757	768	643	729	681									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	905	30	20	30	20	20	20	20	20	10	20	20	20	20	20	20	20	30	20	20	20	20	20	30	20	20	20	20	30	20	20	25	20	20	20	20	30	20	20	20	20	20	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	519	22	11	14	9	12	10	17	16	1	9	8	7	15	10	9	12	7	12	9	13	7	11	19	19	13	10	17	12	7	12	21	16	13	14	10	5	18	9	16	7	16	24									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	584	65	32	7	3	27	11	27	9	13	3	16	4	5	11	12	10	15	8	2	13	0	10	4	5	5	8	6	13	10	18	22	10	25	20	28	17	15	14	24	7	19	11									
14	Число погашенных неиспользованных открепительных удостоверений	386	8	9	16	11	8	10	3	4	9	11	12	13	5	10	11	8	23	8	11	7	13	9	11	1	7	10	3	18	13	8	4	4	7	6	10	25	2	11	4	13	4	6									
