Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Саяногорская городская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96					
1	"Число избирателей, внесенных в список"	48666	2381	2038	1839	2076	2119	2105	2172	1987	1685	2073	2009	1795	1810	1938	1762	2033	1793	1931	1841	2021	2116	133	2097	2348	2564					
2	Число полученных избирательных бюллетеней	46275	2090	1890	1920	1960	2015	2070	1990	1910	1750	1930	1900	1690	1750	1770	1660	2000	1670	1820	1840	1870	2060	150	1950	2200	2420					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	27905	1133	1145	996	1244	1186	1260	1189	1143	1029	1168	1257	1294	1109	1109	1035	1254	982	1128	943	1036	1010	89	1248	1346	1572					
5	"Число избирательных бюллетеней, выданных вне помещения"	1416	137	188	49	31	26	17	22	114	37	12	31	28	23	27	20	54	40	61	83	102	136	12	15	104	47					
6	Число погашенных избирательных бюллетеней	16954	820	557	875	685	803	793	779	653	684	750	612	368	618	634	605	692	648	631	814	732	914	49	687	750	801					
7	Число избирательных бюллетеней в переносных ящиках	1416	137	188	49	31	26	17	22	114	37	12	31	28	23	27	20	54	40	61	83	102	136	12	15	104	47					
8	Число бюллетеней в стационарных ящиках для голосования	27897	1131	1145	996	1244	1184	1260	1189	1143	1029	1168	1257	1294	1108	1109	1034	1254	982	1128	943	1036	1008	89	1248	1346	1572					
9	Число недействительных избирательных бюллетеней	286	9	16	8	14	10	5	14	14	15	9	7	20	23	11	14	6	11	12	10	6	15	0	8	15	14					
10	Число действительных избирательных бюллетеней	29027	1259	1317	1037	1261	1200	1272	1197	1243	1051	1171	1281	1302	1108	1125	1040	1302	1011	1177	1016	1132	1129	101	1255	1435	1605					
11	Число полученных открепительных  удостоверений	980	40	40	40	40	40	40	40	40	40	40	40	40	30	30	40	40	40	40	40	40	40	20	40	50	50					
12	Число выданных открепительных удостоверений	347	19	19	10	16	19	12	16	17	12	10	20	11	22	11	18	26	11	9	6	10	5	8	18	12	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	292	45	117	3	0	15	1	6	7	8	2	3	8	4	11	4	7	5	2	6	9	5	0	6	14	4					
14	Число неиспользованных открепительных удостоверений	633	21	21	30	24	21	28	24	23	28	30	20	29	8	19	22	14	29	31	34	30	35	12	22	38	40					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	2	1	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	2564	106	141	83	124	121	120	85	118	87	117	125	119	104	121	114	107	100	75	90	90	80	3	102	121	111					
		8.75%	8.36%	10.58%	7.94%	9.73%	10.00%	9.40%	7.02%	9.39%	8.16%	9.92%	9.70%	9.00%	9.20%	10.65%	10.82%	8.18%	9.78%	6.31%	8.77%	7.91%	6.99%	2.97%	8.08%	8.34%	6.86%					
19	. Малышкин Олег Александрович	1065	66	52	49	42	37	62	55	30	42	52	49	35	44	38	28	41	61	63	44	34	46	0	29	28	38					
		3.63%	5.21%	3.90%	4.69%	3.29%	3.06%	4.86%	4.54%	2.39%	3.94%	4.41%	3.80%	2.65%	3.89%	3.35%	2.66%	3.13%	5.97%	5.30%	4.29%	2.99%	4.02%	0.00%	2.30%	1.93%	2.35%					
20	. Миронов Сергей Михайлович	371	23	22	7	26	16	11	9	15	14	19	16	12	17	12	17	19	6	21	9	14	14	0	19	12	21					
		1.27%	1.81%	1.65%	0.67%	2.04%	1.32%	0.86%	0.74%	1.19%	1.31%	1.61%	1.24%	0.91%	1.50%	1.06%	1.61%	1.45%	0.59%	1.77%	0.88%	1.23%	1.22%	0.00%	1.50%	0.83%	1.30%					
21	. Путин Владимир Владимирович	16580	761	720	601	753	716	677	718	712	581	607	761	649	624	620	580	777	549	671	556	553	557	76	786	901	1074					
		56.56%	60.02%	54.01%	57.51%	59.06%	59.17%	53.01%	59.29%	56.64%	54.50%	51.44%	59.08%	49.09%	55.17%	54.58%	55.03%	59.40%	53.72%	56.43%	54.19%	48.59%	48.69%	75.25%	62.23%	62.14%	66.34%					
22	. Хакамада Ирина Муцуовна	1304	58	63	44	55	54	66	65	64	47	40	72	61	49	61	69	36	39	47	48	40	44	0	61	71	50					
		4.45%	4.57%	4.73%	4.21%	4.31%	4.46%	5.17%	5.37%	5.09%	4.41%	3.39%	5.59%	4.61%	4.33%	5.37%	6.55%	2.75%	3.82%	3.95%	4.68%	3.51%	3.85%	0.00%	4.83%	4.90%	3.09%					
23	. Харитонов Николай Михайлович	5127	163	192	185	187	185	231	193	229	212	263	170	224	170	195	145	257	194	207	223	361	318	19	160	219	225					
		17.49%	12.85%	14.40%	17.70%	14.67%	15.29%	18.09%	15.94%	18.22%	19.89%	22.29%	13.20%	16.94%	15.03%	17.17%	13.76%	19.65%	18.98%	17.41%	21.73%	31.72%	27.80%	18.81%	12.67%	15.10%	13.90%					
																																
24	Против всех	2016	82	127	68	74	71	105	72	75	68	73	88	202	100	78	87	65	62	93	46	40	70	3	98	83	86					
		6.88%	6.47%	9.53%	6.51%	5.80%	5.87%	8.22%	5.95%	5.97%	6.38%	6.19%	6.83%	15.28%	8.84%	6.87%	8.25%	4.97%	6.07%	7.82%	4.48%	3.51%	6.12%	2.97%	7.76%	5.72%	5.31%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
