Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Кардымовская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8784	1723	910	1343	184	537	158	672	555	361	277	335	385	478	181	394	291									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7969	1500	924	1362	150	450	140	683	500	300	250	260	300	400	150	350	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2970	591	288	454	80	175	53	230	134	129	101	125	187	176	53	125	69									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	637	14	73	7	10	23	6	122	106	38	20	17	40	72	24	20	45									
6	Число погашенных избирательных бюллетеней	4362	895	563	901	60	252	81	331	260	133	129	118	73	152	73	205	136									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	637	14	73	7	10	23	6	122	106	38	20	17	40	72	24	20	45									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2970	591	288	454	80	175	53	230	134	129	101	125	187	176	53	125	69									
9	Число недействительных избирательных бюллетеней	51	11	2	7	0	8	0	7	2	2	3	0	1	2	0	3	3									
10	Число действительных избирательных бюллетеней	3556	594	359	454	90	190	59	345	238	165	118	142	226	246	77	142	111									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	172	30	20	20	5	10	5	15	7	10	5	5	5	15	5	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	108	24	11	17	0	5	1	15	7	2	3	0	2	13	1	2	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	93	9	8	19	2	4	3	4	3	3	1	1	27	2	3	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	64	6	9	3	5	5	4	0	0	8	2	5	3	2	4	8	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	36	8	6	7	4	1	3	2	1	1	0	0	0	2	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	30	3	3	5	1	3	1	4	2	1	0	1	2	3	0	1	0									
		0.83%	0.50%	0.83%	1.08%	1.11%	1.52%	1.69%	1.14%	0.83%	0.60%	0.00%	0.70%	0.88%	1.21%	0.00%	0.69%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	72	14	7	12	2	1	0	6	10	2	3	3	2	7	1	0	2									
