Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																												
Дата голосования: 18.09.2016																																																																												
																																																																												
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №17																																																																												
																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																												
																																																																												
		Сумма	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №2283	УИК №2284	УИК №2285									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	144272	2259	1516	2076	2134	2757	2225	2485	2266	2641	2783	2665	2298	2251	2356	2444	2108	1871	2352	2526	2569	2391	2898	2696	2486	2607	2256	2801	2082	2640	2663	2644	2752	2600	1848	1658	2646	2747	2117	2170	1991	2003	1992	1922	2500	2585	673	2204	2540	1643	2444	2592	2827	1926	2796	2747	2252	2450	2179	1194	932	807	2326	2257	350	856									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	118500	2000	1000	1500	1500	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1500	1500	2000	2000	2000	2000	2500	2500	2000	2000	2000	2000	1500	2000	2000	2000	2000	2000	1500	1500	2000	2000	1500	1500	1500	1500	1500	1500	2000	2000	2000	2000	2000	1500	2000	2000	2500	1500	2500	2000	2000	2000	2000	1000	500	500	2500	2500	1000	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	49274	594	378	473	420	772	634	653	715	827	813	794	749	706	680	806	667	581	719	864	840	654	961	921	682	676	780	619	591	672	798	784	881	996	540	513	816	1115	629	669	555	592	576	562	933	909	666	699	788	675	768	982	945	621	1059	939	821	887	800	402	381	263	2042	2257	350	820									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	928	5	24	53	149	19	4	11	23	12	13	15	9	5	15	10	10	13	11	16	10	12	21	65	7	8	10	7	5	3	16	12	15	7	58	16	0	4	7	11	12	9	6	7	11	13	7	7	6	3	22	4	13	5	6	16	10	33	26	0	1	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	68288	1401	598	974	931	1209	1362	1336	1262	1153	1174	1191	1242	1289	1305	1184	823	906	1270	1120	1150	1334	1518	1514	1310	1316	1210	1374	904	1325	1186	1204	1104	997	902	970	1184	881	864	820	933	899	918	931	1056	1078	1327	1294	1206	822	1210	1014	1542	874	1435	1045	1169	1080	1174	598	118	237	458	243	650	180									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	928	5	24	53	149	19	4	11	23	12	13	15	9	5	15	10	10	13	11	16	10	12	21	65	7	8	10	7	5	3	16	12	15	7	58	16	0	4	7	11	12	9	6	7	11	13	7	7	6	3	22	4	13	5	6	16	10	33	26	0	1	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	48610	593	366	473	420	768	634	653	715	808	813	779	715	701	680	804	662	574	719	863	800	645	940	921	682	676	774	608	589	671	798	784	880	895	540	512	816	1103	615	654	507	542	568	562	933	885	654	699	782	675	768	982	932	604	1059	939	807	854	800	319	379	263	2027	2257	350	820									
9	Число недействительных избирательных бюллетеней	1322	14	11	9	11	20	9	16	16	52	16	33	15	23	17	11	20	13	16	25	14	13	4	13	18	20	15	13	19	4	10	26	14	21	10	11	8	31	21	6	14	5	26	28	16	30	23	56	16	11	25	16	21	12	6	15	22	11	21	2	4	6	36	49	112	101									
10	Число действительных избирательных бюллетеней	48216	584	379	517	558	767	629	648	722	768	810	761	709	683	678	803	652	574	714	854	796	644	957	973	671	664	769	602	575	670	804	770	881	881	588	517	808	1076	601	659	505	546	548	541	928	868	638	650	772	667	765	970	924	597	1059	940	795	876	805	317	376	257	1991	2208	238	719									
