Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    Калининская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366					
1	"Число избирателей, внесенных в списки избирателей"	43698	1579	819	603	1398	77	645	515	1072	436	350	361	304	428	1275	481	2270	609	401	675	914	582	123	988	204	298	807	773	328	517	1631	891	763	341	852	1178	538	1238	1341	471	296	527	240	589	967	240	137	275	737	398	1608	169	1685	1544	713	1922	1938	637					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	41813	1560	780	605	1365	74	643	520	1070	310	350	370	305	310	1260	460	2250	620	342	683	920	590	115	985	202	210	810	765	330	370	1630	900	770	345	830	1160	530	1230	1340	335	210	370	185	405	675	160	105	275	720	285	1594	170	1700	1535	690	1950	1900	640					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18950	771	302	196	608	3	418	237	534	140	157	145	137	175	733	225	1156	295	127	203	274	245	35	430	69	94	347	379	154	192	691	409	325	148	312	404	197	564	493	180	129	168	97	206	384	83	91	143	278	158	767	94	790	762	259	903	823	311					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3712	70	145	100	87	62	51	67	34	95	71	53	45	50	22	68	29	27	74	121	78	141	26	80	51	60	73	73	27	87	89	7	50	12	87	145	112	15	179	71	13	84	36	63	106	54	4	13	157	58	89	15	24	38	75	71	54	24					
6	Число погашенных избирательных бюллетеней	19151	719	333	309	670	9	174	216	502	75	122	172	123	85	505	167	1065	298	141	359	568	204	54	475	82	56	390	313	149	91	850	484	395	185	431	611	221	651	668	84	68	118	52	136	185	23	10	119	285	69	738	61	886	735	356	976	1023	305					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3712	70	145	100	87	62	51	67	34	95	71	53	45	50	22	68	29	27	74	121	78	141	26	80	51	60	73	73	27	87	89	7	50	12	87	145	112	15	179	71	13	84	36	63	106	54	4	13	157	58	89	15	24	38	75	71	54	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18950	771	302	196	608	3	418	237	534	140	157	145	137	175	733	225	1156	295	127	203	274	245	35	430	69	94	347	379	154	192	691	409	325	148	312	404	197	564	493	180	129	168	97	206	384	83	91	143	278	158	767	94	790	762	259	903	823	311					
9	Число недействительных избирательных бюллетеней	165	3	2	2	7	1	3	0	9	0	2	3	0	5	9	1	10	2	0	0	3	5	0	1	0	0	3	5	0	0	3	2	2	1	2	0	1	10	5	0	0	1	0	2	5	0	0	0	3	1	2	0	18	8	4	8	10	1					
10	Число действительных избирательных бюллетеней	22497	838	445	294	688	64	466	304	559	235	226	195	182	220	746	292	1175	320	201	324	349	381	61	509	120	154	417	447	181	279	777	414	373	159	397	549	308	569	667	251	142	251	133	267	485	137	95	156	432	215	854	109	796	792	330	966	867	334					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	671	33	12	6	25	0	5	5	10	12	12	11	10	5	15	7	15	10	10	10	15	5	5	10	5	30	25	25	12	10	15	25	7	5	7	13	7	8	8	7	7	15	10	15	20	5	10	5	12	10	11	10	14	9	10	30	15	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	273	19	1	3	21	0	2	5	6	2	1	9	0	2	8	2	12	7	1	7	2	3	0	0	0	0	5	2	0	5	12	7	0	5	5	9	4	5	8	3	1	2	5	2	4	0	2	2	2	3	7	1	11	8	3	21	10	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	316	11	5	3	8	2	1	4	6	1	8	2	2	1	31	9	7	4	7	9	3	1	8	5	3	3	10	5	3	10	17	5	4	3	2	18	4	4	1	3	1	6	6	2	10	2	2	1	7	5	11	0	5	6	9	4	2	4					
14	Число погашенных неиспользованных открепительных удостоверений	398	14	11	3	4	0	3	0	4	10	11	2	10	3	7	5	3	3	9	3	13	2	5	10	5	30	20	23	12	5	3	18	7	0	2	4	3	3	0	4	6	13	5	13	16	5	8	3	10	7	4	9	3	1	7	9	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	1	1	1	0	0	0	0	2	3	0	0	1	2	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																
18	1.Политическая партия «Аграрная партия России»	803	78	12	16	9	2	15	5	20	10	8	7	5	6	15	4	56	6	12	13	8	13	9	21	5	12	8	23	8	16	23	14	7	4	6	21	18	21	32	8	11	4	6	10	17	2	2	6	7	3	27	3	36	29	20	19	20	5					
		3.54%	9.27%	2.68%	5.41%	1.29%	3.08%	3.20%	1.64%	3.52%	4.26%	3.51%	3.54%	2.75%	2.67%	1.99%	1.37%	4.73%	1.86%	5.97%	4.01%	2.27%	3.37%	14.75%	4.12%	4.17%	7.79%	1.90%	5.09%	4.42%	5.73%	2.95%	3.37%	1.87%	2.50%	1.50%	3.83%	5.83%	3.63%	4.76%	3.19%	7.75%	1.59%	4.51%	3.72%	3.47%	1.46%	2.11%	3.85%	1.61%	1.39%	3.15%	2.75%	4.42%	3.63%	5.99%	1.95%	2.28%	1.49%					
19	2.Всероссийская политическая партия «Гражданская Сила»	167	6	3	0	5	2	7	0	4	1	0	0	0	0	3	1	12	7	0	0	2	2	0	2	0	1	4	9	1	1	18	3	2	0	5	3	2	2	0	1	0	3	2	1	3	0	0	4	7	1	2	0	7	10	5	3	9	1					
