Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Мичуринская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25437	853	539	1285	1321	1182	967	853	539	364	682	220	512	625	1042	1344	99	155	1284	444	148	407	553	291	896	364	372	165	437	87	321	235	129	395	399	120	524	475	538	311	553	662	300	749	460	369	712	155									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24069	800	500	1200	1200	1000	900	800	500	350	650	220	500	600	1000	1200	95	147	1200	440	148	400	500	300	850	350	350	165	400	89	300	240	128	400	400	121	500	450	530	300	550	650	290	700	450	350	700	156									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15409	616	235	440	868	743	573	521	400	260	550	175	343	441	502	826	69	81	450	299	94	184	290	160	531	260	286	139	319	73	242	187	70	360	328	98	250	236	364	158	326	263	208	457	322	248	484	80									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2610	81	61	49	73	92	29	51	74	74	49	15	59	42	35	122	14	23	152	54	26	158	119	81	204	50	29	18	41	9	48	22	17	16	24	13	125	85	40	57	71	45	12	70	6	16	56	3									
6	Число погашенных избирательных бюллетеней	6050	103	204	711	259	165	298	228	26	16	51	30	98	117	463	252	12	43	598	87	28	58	91	59	115	40	35	8	40	7	10	31	41	24	48	10	125	129	126	85	153	342	70	173	122	86	160	73									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2610	81	61	49	73	92	29	51	74	74	49	15	59	42	35	122	14	23	152	54	26	158	119	81	204	50	29	18	41	9	48	22	17	16	24	13	125	85	40	57	71	45	12	70	6	16	56	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15409	616	235	440	868	743	573	521	400	260	550	175	343	441	502	826	69	81	450	299	94	184	290	160	531	260	286	139	319	73	242	187	70	360	328	98	250	236	364	158	326	263	208	457	322	248	484	80									
9	Число недействительных избирательных бюллетеней	117	6	0	4	17	2	5	5	0	0	14	0	0	1	3	16	1	3	8	1	2	0	0	1	0	0	3	0	0	0	0	0	1	0	2	0	0	1	2	0	2	12	0	2	0	1	1	1									
10	Число действительных избирательных бюллетеней	17902	691	296	485	924	833	597	567	474	334	585	190	402	482	534	932	82	101	594	352	118	342	409	240	735	310	312	157	360	82	290	209	86	376	350	111	375	320	402	215	395	296	220	525	328	263	539	82									
