Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Борисоглебская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450					
1	"Число избирателей, внесенных в список"	64422	1783	2442	2502	1244	1713	2552	614	1165	2505	1204	1365	1963	928	2112	1151	2153	2262	554	1713	1233	1369	1607	1261	1361	1730	2392	2351	1586	1394	597	1143	1563	1170	1408	1082	438	189	421	976	593	511	897	989	1071	394	391	318	595	465	1002					
2	Число полученных избирательных бюллетеней	59360	1610	2300	2250	1130	1520	2360	860	1070	2230	1090	1220	1650	840	1990	1010	2030	2070	500	1550	1120	1220	1410	1080	1220	1600	2190	1990	1420	1210	540	1020	1420	1050	1260	1075	435	190	420	960	585	510	895	990	1060	390	390	320	645	465	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	33511	897	1280	824	526	791	1322	572	603	1192	597	694	850	468	1224	627	1347	1250	293	780	601	687	799	663	679	849	1068	1101	534	743	158	554	727	669	755	495	287	82	251	545	334	352	830	677	617	264	262	250	544	248	749					
5	"Число избирательных бюллетеней, выданных вне помещения"	4348	56	77	226	170	82	134	42	77	105	90	82	207	27	32	54	25	43	23	35	67	72	58	56	54	27	89	101	74	69	242	24	102	31	73	200	58	59	69	146	85	83	45	122	198	91	112	54	51	157	92					
6	Число погашенных избирательных бюллетеней	21501	657	943	1200	434	647	904	246	390	933	403	444	593	345	734	329	658	777	184	735	452	461	553	361	487	724	1033	788	812	398	140	442	591	350	432	380	90	49	100	269	166	75	20	191	245	35	16	16	50	60	159					
7	Число избирательных бюллетеней в переносных ящиках	4348	56	77	226	170	82	134	42	77	105	90	82	207	27	32	54	25	43	23	35	67	72	58	56	54	27	89	101	74	69	242	24	102	31	73	200	58	59	69	146	85	83	45	122	198	91	112	54	51	157	92					
8	Число бюллетеней в стационарных ящиках для голосования	33447	897	1279	824	526	791	1322	570	603	1192	597	694	850	468	1224	627	1347	1250	293	778	601	687	799	607	679	849	1068	1101	534	743	158	553	727	669	755	495	287	82	251	545	334	352	830	677	615	264	262	250	544	248	749					
9	Число недействительных избирательных бюллетеней	288	7	8	14	3	16	11	7	10	7	4	2	7	2	13	5	5	5	1	5	5	6	2	3	5	13	7	13	0	4	4	4	3	7	6	7	1	0	5	3	4	1	4	0	29	3	5	1	3	2	6					
10	Число действительных избирательных бюллетеней	37507	946	1348	1036	693	857	1445	605	670	1290	683	774	1050	493	1243	676	1367	1288	315	808	663	753	855	660	728	863	1150	1189	608	808	396	573	826	693	822	688	344	141	315	688	415	434	871	799	784	352	369	303	592	403	835					
