Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																										
Дата голосования: 07.12.2003 0:00:00																																																																										
																																																																										
Наименование Избирательной комиссии:    Буинская																																																																										
																																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																										
																																																																										
		Сумма	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250					
1	"Число избирателей, внесенных в списки"	19832	698	532	314	182	511	105	269	326	197	80	577	370	446	236	171	468	296	86	887	142	530	190	336	266	302	188	76	196	96	163	158	279	85	219	453	90	120	202	492	100	621	80	135	211	430	151	207	1118	318	213	134	64	610	81	409	129	382	74	364	376	506	113	221	243	518	139	551					
2	"Число бюллетеней, полученных участковыми комиссиями"	20006	695	532	315	187	511	105	279	327	203	81	580	372	442	236	177	468	297	86	890	144	530	194	338	265	301	192	79	197	96	162	158	280	88	218	459	92	123	204	494	107	611	82	139	223	439	153	206	1118	322	220	135	64	612	83	409	130	382	75	364	376	513	116	221	245	549	140	575					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18837	623	503	290	173	494	97	269	315	192	73	564	367	421	213	153	431	268	81	873	133	525	190	325	256	270	188	74	195	96	162	158	268	84	194	447	85	114	202	448	92	538	80	123	166	424	145	188	1054	300	194	131	59	532	76	400	121	368	72	356	368	506	113	221	243	512	135	506					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	788	45	29	24	9	0	0	0	5	2	6	13	0	19	23	18	37	16	4	14	9	5	0	6	6	30	0	2	0	0	0	0	11	1	20	6	5	6	0	37	8	36	0	8	43	4	6	15	48	13	19	3	5	78	5	5	4	14	2	8	8	0	0	0	0	6	4	38					
6	Число погашенных бюллетеней	381	27	0	1	5	17	8	10	7	9	2	3	5	2	0	6	0	13	1	3	2	0	4	7	3	1	4	3	2	0	0	0	1	3	4	6	2	3	2	9	7	37	2	8	14	11	2	3	16	9	7	1	0	2	2	4	5	0	1	0	0	7	3	0	2	31	1	31					
7	Число бюллетеней в переносных ящиках для голосования	788	45	29	24	9	0	0	0	5	2	6	13	0	19	23	18	37	16	4	14	9	5	0	6	6	30	0	2	0	0	0	0	11	1	20	6	5	6	0	37	8	36	0	8	43	4	6	15	48	13	19	3	5	78	5	5	4	14	2	8	8	0	0	0	0	6	4	38					
8	Число бюллетеней в стационарных ящиках для голосования	18837	623	503	290	173	494	97	269	315	192	73	564	367	421	213	153	431	268	81	873	133	525	190	325	256	270	188	74	195	96	162	158	268	84	194	447	85	114	202	448	92	538	80	123	166	424	145	188	1054	300	194	131	59	532	76	400	121	368	72	356	368	506	113	221	243	512	135	506					
9	Число недействительных бюллетеней	351	50	8	5	3	0	0	2	22	13	1	27	0	21	3	1	0	0	0	0	0	0	3	12	0	14	4	0	0	1	0	0	1	0	5	0	0	0	4	38	1	0	28	0	3	19	0	0	8	0	22	5	2	10	0	4	6	0	1	0	1	1	0	0	0	0	2	0					
10	Число действительных бюллетеней	19274	618	524	309	179	494	97	267	298	181	78	550	367	419	233	170	468	284	85	887	142	530	187	319	262	286	184	76	195	95	162	158	278	85	209	453	90	120	198	447	99	574	52	131	206	409	151	203	1094	313	191	129	62	600	81	401	119	382	73	364	375	505	113	221	243	518	137	544					
