Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Калтанская городская																		
																		
Итоги голосования 																		
																		
		Сумма	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117					
1	"Число избирателей, внесенных в список"	17279	1865	1701	1735	1831	1759	2010	1665	1407	1416	963	927					
2	Число полученных избирательных бюллетеней	17500	1900	1600	1800	1900	1800	2030	1700	1450	1400	970	950					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10161	1062	1068	891	1029	1210	1064	880	1032	933	522	470					
5	"Число избирательных бюллетеней, выданных вне помещения"	1846	334	167	191	132	192	190	116	109	93	103	219					
6	Число погашенных избирательных бюллетеней	5493	504	365	718	739	398	776	704	309	374	345	261					
7	Число избирательных бюллетеней в переносных ящиках	1846	334	167	191	132	192	190	116	109	93	103	219					
8	Число бюллетеней в стационарных ящиках для голосования	10154	1062	1068	891	1029	1210	1064	880	1032	926	522	470					
9	Число недействительных избирательных бюллетеней	99	7	6	8	8	5	31	11	6	7	6	4					
10	Число действительных избирательных бюллетеней	11901	1389	1229	1074	1153	1397	1223	985	1135	1012	619	685					
11	Число полученных открепительных  удостоверений	340	30	30	30	30	30	40	30	30	30	30	30					
12	Число выданных открепительных удостоверений	196	12	13	8	20	17	40	9	30	16	4	27					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	92	5	15	5	5	4	11	9	1	17	8	12					
14	Число неиспользованных открепительных удостоверений	144	18	17	22	10	13	0	21	0	14	26	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	688	93	96	61	79	74	69	64	58	40	19	35					
		5.73%	6.66%	7.77%	5.64%	6.80%	5.28%	5.50%	6.43%	5.08%	3.93%	3.04%	5.08%					
19	. Малышкин Олег Александрович	446	46	47	31	32	46	63	60	32	40	26	23					
		3.72%	3.30%	3.81%	2.87%	2.76%	3.28%	5.02%	6.02%	2.80%	3.93%	4.16%	3.34%					
20	. Миронов Сергей Михайлович	141	21	15	16	11	13	15	5	17	11	13	4					
		1.18%	1.50%	1.21%	1.48%	0.95%	0.93%	1.20%	0.50%	1.49%	1.08%	2.08%	0.58%					
21	. Путин Владимир Владимирович	7968	919	768	735	770	1046	818	568	757	644	434	509					
		66.40%	65.83%	62.19%	67.93%	66.32%	74.61%	65.23%	57.03%	66.35%	63.20%	69.44%	73.88%					
22	. Хакамада Ирина Муцуовна	400	46	46	36	45	50	51	22	23	50	7	24					
		3.33%	3.30%	3.72%	3.33%	3.88%	3.57%	4.07%	2.21%	2.02%	4.91%	1.12%	3.48%					
23	. Харитонов Николай Михайлович	1630	162	171	126	170	106	154	207	202	177	92	63					
		13.58%	11.60%	13.85%	11.65%	14.64%	7.56%	12.28%	20.78%	17.70%	17.37%	14.72%	9.14%					
																		
24	Против всех	628	102	86	69	46	62	53	59	46	50	28	27					
		5.23%	7.31%	6.96%	6.38%	3.96%	4.42%	4.23%	5.92%	4.03%	4.91%	4.48%	3.92%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
