Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Район Москворечье-Сабурово																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147					
1	"Число избирателей, внесенных в списки"	42113	2335	2035	2201	2517	2345	2482	2726	2790	2407	2390	2478	2485	2448	2851	2670	1656	2661	292	100	86	124	34					
2	"Число бюллетеней, полученных участковыми комиссиями"	41400	2300	1900	2000	2400	2300	2300	2600	2600	2200	2100	2300	2500	2300	2700	2700	2400	2600	400	200	200	200	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24850	1338	1092	1263	1420	1234	1365	1663	1447	1272	1352	1302	1324	1436	1790	1770	1650	1528	287	100	59	124	34					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	440	43	21	41	28	27	11	18	27	17	30	44	31	13	9	16	6	31	0	0	27	0	0					
6	Число погашенных бюллетеней	16110	919	787	696	952	1039	924	919	1126	911	718	954	1145	851	901	914	744	1041	113	100	114	76	166					
7	Число бюллетеней в переносных ящиках для голосования	440	43	21	41	28	27	11	18	27	17	30	44	31	13	9	16	6	31	0	0	27	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	24764	1334	1088	1234	1418	1234	1365	1660	1447	1271	1351	1302	1322	1431	1788	1770	1648	1497	287	100	59	124	34					
9	Число недействительных бюллетеней	263	7	14	20	18	18	17	11	9	8	17	10	11	11	17	8	8	20	33	3	3	0	0					
10	Число действительных бюллетеней	24941	1370	1095	1255	1428	1243	1359	1667	1465	1280	1364	1336	1342	1433	1780	1778	1646	1508	254	97	83	124	34					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1170	70	60	60	70	70	70	70	70	70	70	70	70	70	70	70	70	70	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	592	34	32	24	28	36	30	40	30	39	35	40	40	29	45	37	36	37	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	560	29	35	25	19	33	16	32	35	17	28	16	22	30	41	28	33	52	19	5	16	16	13					
14	Число погашенных открепительных удостоверений	578	36	28	36	42	34	40	30	40	31	35	30	30	41	25	33	34	33	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	4	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	160	9	11	6	8	11	10	11	8	7	7	6	9	7	15	11	6	9	6	2	1	0	0					
		0.63%	0.65%	0.99%	0.47%	0.55%	0.87%	0.72%	0.65%	0.54%	0.54%	0.50%	0.44%	0.66%	0.48%	0.83%	0.61%	0.36%	0.58%	2.09%	2.0%	1.16%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1936	132	110	100	83	93	90	157	113	97	94	137	122	75	128	148	140	81	16	6	5	7	2					
		7.68%	9.58%	9.91%	7.84%	5.73%	7.37%	6.54%	9.35%	7.66%	7.53%	6.80%	10.17%	9.01%	5.19%	7.12%	8.28%	8.46%	5.30%	5.57%	6.0%	5.81%	5.64%	5.88%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	430	31	24	32	16	26	18	36	22	10	29	28	9	35	22	13	26	28	18	2	2	3	0					
		1.70%	2.25%	2.16%	2.50%	1.10%	2.06%	1.30%	2.14%	1.49%	0.77%	2.09%	2.08%	0.66%	2.42%	1.22%	0.72%	1.57%	1.83%	6.27%	2.0%	2.32%	2.41%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2333	160	117	110	133	130	127	168	139	130	97	134	139	93	140	177	183	109	23	5	3	14	2					
		9.25%	11.61%	10.55%	8.62%	9.19%	10.30%	9.22%	10.01%	9.43%	10.09%	7.02%	9.95%	10.27%	6.44%	7.79%	9.91%	11.06%	7.13%	8.01%	5.0%	3.48%	11.29%	5.88%					
22	"5. ""За Русь Святую"""	114	1	4	5	7	9	7	13	6	3	5	3	7	4	8	8	3	13	2	1	2	3	0					
		0.45%	0.07%	0.36%	0.39%	0.48%	0.71%	0.50%	0.77%	0.40%	0.23%	0.36%	0.22%	0.51%	0.27%	0.44%	0.44%	0.18%	0.85%	0.69%	1.0%	2.32%	2.41%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	54	1	5	3	3	5	2	5	4	2	3	1	4	2	5	1	5	2	1	0	0	0	0					
		0.21%	0.07%	0.45%	0.23%	0.20%	0.39%	0.14%	0.29%	0.27%	0.15%	0.21%	0.07%	0.29%	0.13%	0.27%	0.05%	0.30%	0.13%	0.34%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	468	21	14	24	25	18	29	25	33	21	24	36	34	23	42	42	28	18	5	2	1	3	0					
		1.85%	1.52%	1.26%	1.88%	1.72%	1.42%	2.10%	1.48%	2.23%	1.63%	1.73%	2.67%	2.51%	1.59%	2.33%	2.35%	1.69%	1.17%	1.74%	2.0%	1.16%	2.41%	0.0%					
25	"8. ""Народно-республиканская партия России"""	11	0	1	0	1	0	2	0	1	0	0	0	0	1	1	0	0	1	2	1	0	0	0					
		0.04%	0.0%	0.09%	0.0%	0.06%	0.0%	0.14%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.06%	0.05%	0.0%	0.0%	0.06%	0.69%	1.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	222	10	15	5	6	12	14	8	22	12	7	12	7	12	21	17	24	11	2	0	3	2	0					
		0.88%	0.72%	1.35%	0.39%	0.41%	0.95%	1.01%	0.47%	1.49%	0.93%	0.50%	0.89%	0.51%	0.83%	1.16%	0.95%	1.45%	0.71%	0.69%	0.0%	3.48%	1.61%	0.0%					
27	"10. ""Аграрная партия России"""	398	22	18	15	29	35	22	18	23	14	19	14	18	33	40	25	15	25	5	4	1	2	1					
		1.57%	1.59%	1.62%	1.17%	2.00%	2.77%	1.59%	1.07%	1.56%	1.08%	1.37%	1.04%	1.33%	2.28%	2.22%	1.39%	0.90%	1.63%	1.74%	4.0%	1.16%	1.61%	2.94%					
28	"11. ""Истинные патриоты России"""	28	1	0	0	0	1	5	3	3	1	0	0	1	0	2	5	3	0	1	0	0	2	0					
		0.11%	0.07%	0.0%	0.0%	0.0%	0.07%	0.36%	0.17%	0.20%	0.07%	0.0%	0.0%	0.07%	0.0%	0.11%	0.27%	0.18%	0.0%	0.34%	0.0%	0.0%	1.61%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	344	22	10	19	12	14	13	35	17	17	28	19	20	21	21	21	24	21	5	0	3	1	1					
		1.36%	1.59%	0.90%	1.49%	0.82%	1.11%	0.94%	2.08%	1.15%	1.31%	2.02%	1.41%	1.47%	1.45%	1.16%	1.17%	1.45%	1.37%	1.74%	0.0%	3.48%	0.80%	2.94%					
30	"13. ""Демократическая партия России"""	58	2	3	2	3	3	4	1	2	4	3	5	1	2	3	3	8	2	5	0	2	0	0					
		0.23%	0.14%	0.27%	0.15%	0.20%	0.23%	0.29%	0.05%	0.13%	0.31%	0.21%	0.37%	0.07%	0.13%	0.16%	0.16%	0.48%	0.13%	1.74%	0.0%	2.32%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	44	1	1	1	4	0	4	5	0	6	2	0	3	0	3	4	5	4	1	0	0	0	0					
		0.17%	0.07%	0.09%	0.07%	0.27%	0.0%	0.29%	0.29%	0.0%	0.46%	0.14%	0.0%	0.22%	0.0%	0.16%	0.22%	0.30%	0.26%	0.34%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	72	6	7	2	3	1	6	6	3	0	3	4	3	7	2	11	1	5	0	1	0	1	0					
		0.28%	0.43%	0.63%	0.15%	0.20%	0.07%	0.43%	0.35%	0.20%	0.0%	0.21%	0.29%	0.22%	0.48%	0.11%	0.61%	0.06%	0.32%	0.0%	1.0%	0.0%	0.80%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3615	230	138	203	241	191	166	243	199	183	234	172	196	212	232	300	230	179	14	14	14	14	10					
		14.34%	16.70%	12.44%	15.92%	16.66%	15.14%	12.06%	14.48%	13.50%	14.20%	16.94%	12.77%	14.48%	14.68%	12.91%	16.79%	13.90%	11.71%	4.87%	14.0%	16.27%	11.29%	29.41%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	47	2	0	17	2	2	2	5	1	0	3	1	2	1	0	0	0	1	3	0	2	3	0					
		0.18%	0.14%	0.0%	1.33%	0.13%	0.15%	0.14%	0.29%	0.06%	0.0%	0.21%	0.07%	0.14%	0.06%	0.0%	0.0%	0.0%	0.06%	1.04%	0.0%	2.32%	2.41%	0.0%					
35	"18. ""ЛДПР"""	1820	71	69	47	90	72	111	105	157	115	103	113	93	115	150	146	124	103	23	1	5	4	3					
		7.22%	5.15%	6.22%	3.68%	6.22%	5.70%	8.06%	6.25%	10.65%	8.92%	7.45%	8.39%	6.87%	7.96%	8.34%	8.17%	7.49%	6.74%	8.01%	1.0%	5.81%	3.22%	8.82%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	195	8	14	10	8	5	10	8	7	12	12	9	12	9	17	16	23	8	4	0	0	3	0					
		0.77%	0.58%	1.26%	0.78%	0.55%	0.39%	0.72%	0.47%	0.47%	0.93%	0.86%	0.66%	0.88%	0.62%	0.94%	0.89%	1.39%	0.52%	1.39%	0.0%	0.0%	2.41%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	8924	414	338	473	524	427	511	570	476	464	478	470	471	552	725	601	586	664	65	43	29	34	9					
		35.40%	30.06%	30.47%	37.09%	36.23%	33.86%	37.13%	33.96%	32.29%	36.02%	34.61%	34.91%	34.81%	38.22%	40.34%	33.65%	35.42%	43.45%	22.64%	43.0%	33.72%	27.41%	26.47%					
38	"21. ""Российская Конституционно-демократическая партия"""	27	2	1	1	1	1	1	2	1	1	1	1	2	1	2	3	1	4	0	1	0	0	0					
		0.10%	0.14%	0.09%	0.07%	0.06%	0.07%	0.07%	0.11%	0.06%	0.07%	0.07%	0.07%	0.14%	0.06%	0.11%	0.16%	0.06%	0.26%	0.0%	1.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	73	2	4	4	5	3	3	7	3	4	1	4	1	4	4	10	12	0	1	1	0	0	0					
		0.28%	0.14%	0.36%	0.31%	0.34%	0.23%	0.21%	0.41%	0.20%	0.31%	0.07%	0.29%	0.07%	0.27%	0.22%	0.55%	0.72%	0.0%	0.34%	1.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1734	132	100	100	136	104	79	126	97	73	99	70	92	120	73	80	79	112	32	9	6	13	2					
		6.87%	9.58%	9.01%	7.84%	9.40%	8.24%	5.74%	7.50%	6.58%	5.66%	7.16%	5.20%	6.79%	8.31%	4.06%	4.47%	4.77%	7.32%	11.14%	9.0%	6.97%	10.48%	5.88%					
																													
41	Против всех	1834	90	91	76	88	80	123	110	128	104	112	97	96	104	124	136	120	108	20	4	4	15	4					
