Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Поназыревская																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544					
1	"Число избирателей, внесенных в списки"	7430	1586	1627	84	1694	780	533	81	301	183	139	112	310					
2	"Число бюллетеней, полученных участковыми комиссиями"	7420	1566	1623	81	1720	773	526	78	314	180	140	110	309					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3676	877	859	56	684	393	232	64	82	102	96	83	148					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	717	101	121	3	147	61	60	0	104	36	17	10	57					
6	Число погашенных бюллетеней	3027	588	643	22	889	319	234	14	128	42	27	17	104					
7	Число бюллетеней в переносных ящиках для голосования	717	101	121	3	147	61	60	0	104	36	17	10	57					
8	Число бюллетеней в стационарных ящиках для голосования	3676	877	859	56	684	393	232	64	82	102	96	83	148					
9	Число недействительных бюллетеней	63	9	18	2	5	5	12	0	1	3	2	2	4					
10	Число действительных бюллетеней	4330	969	962	57	826	449	280	64	185	135	111	91	201					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	97	14	15	3	15	10	10	3	10	5	3	3	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	26	10	5	0	2	3	1	0	3	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	23	4	1	1	4	1	3	2	0	1	1	4	1					
14	Число погашенных открепительных удостоверений	71	4	10	3	13	7	9	3	7	5	1	3	6					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	"1. ""ЕДИНЕНИЕ"""	53	8	12	1	5	9	10	0	1	2	1	1	3					
		1.20%	0.81%	1.22%	1.69%	0.60%	1.98%	3.42%	0.0%	0.53%	1.44%	0.88%	1.07%	1.46%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	23	4	7	1	9	0	0	0	1	0	0	1	0					
		0.52%	0.40%	0.71%	1.69%	1.08%	0.0%	0.0%	0.0%	0.53%	0.0%	0.0%	1.07%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	142	24	29	1	34	20	15	0	11	3	1	3	1					
		3.23%	2.45%	2.95%	1.69%	4.09%	4.40%	5.13%	0.0%	5.91%	2.17%	0.88%	3.22%	0.48%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	112	36	19	1	26	5	10	0	6	2	3	2	2					
		2.54%	3.68%	1.93%	1.69%	3.12%	1.10%	3.42%	0.0%	3.22%	1.44%	2.65%	2.15%	0.97%					
22	"5. ""За Русь Святую"""	28	7	4	0	7	1	1	0	3	0	0	4	1					
		0.63%	0.71%	0.40%	0.0%	0.84%	0.22%	0.34%	0.0%	1.61%	0.0%	0.0%	4.30%	0.48%					
23	"6. ""Объединенная Российская партия ""Русь"""	12	2	3	0	2	1	1	0	1	0	2	0	0					
		0.27%	0.20%	0.30%	0.0%	0.24%	0.22%	0.34%	0.0%	0.53%	0.0%	1.76%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	18	9	4	0	3	0	0	0	0	0	0	0	2					
		0.40%	0.92%	0.40%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.97%					
25	"8. ""Народно-республиканская партия России"""	10	3	1	0	3	3	0	0	0	0	0	0	0					
		0.22%	0.30%	0.10%	0.0%	0.36%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	12	4	3	0	1	3	0	0	0	0	0	0	1					
		0.27%	0.40%	0.30%	0.0%	0.12%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%					
27	"10. ""Аграрная партия России"""	338	47	59	8	51	40	11	5	18	26	28	19	26					
		7.69%	4.80%	6.02%	13.55%	6.13%	8.81%	3.76%	7.81%	9.67%	18.84%	24.77%	20.43%	12.68%					
28	"11. ""Истинные патриоты России"""	2	0	0	0	1	0	0	0	0	0	1	0	0					
		0.04%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.88%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	100	25	22	5	14	7	4	1	7	4	3	1	7					
		2.27%	2.55%	2.24%	8.47%	1.68%	1.54%	1.36%	1.56%	3.76%	2.89%	2.65%	1.07%	3.41%					
30	"13. ""Демократическая партия России"""	14	3	5	0	1	0	0	1	2	0	0	1	1					
		0.31%	0.30%	0.51%	0.0%	0.12%	0.0%	0.0%	1.56%	1.07%	0.0%	0.0%	1.07%	0.48%					
31	"14. ""Великая Россия - Евразийский Союз"""	11	3	4	0	3	0	1	0	0	0	0	0	0					
		0.25%	0.30%	0.40%	0.0%	0.36%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	9	2	4	0	1	0	1	0	1	0	0	0	0					
		0.20%	0.20%	0.40%	0.0%	0.12%	0.0%	0.34%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	216	44	49	4	64	14	13	1	12	7	1	1	6					
		4.91%	4.49%	5.0%	6.77%	7.70%	3.08%	4.45%	1.56%	6.45%	5.07%	0.88%	1.07%	2.92%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	13	2	3	0	1	3	1	0	2	1	0	0	0					
		0.29%	0.20%	0.30%	0.0%	0.12%	0.66%	0.34%	0.0%	1.07%	0.72%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	675	144	151	16	118	66	39	14	23	28	23	19	34					
		15.36%	14.72%	15.40%	27.11%	14.19%	14.53%	13.35%	21.87%	12.36%	20.28%	20.35%	20.43%	16.58%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	145	46	46	2	17	12	8	0	8	1	2	1	2					
		3.30%	4.70%	4.69%	3.38%	2.04%	2.64%	2.73%	0.0%	4.30%	0.72%	1.76%	1.07%	0.97%					
37	"20. ""Политическая партия ""Единая Россия"""	1529	300	342	8	317	166	124	38	55	52	36	26	65					
		34.80%	30.67%	34.89%	13.55%	38.14%	36.56%	42.46%	59.37%	29.56%	37.68%	31.85%	27.95%	31.70%					
38	"21. ""Российская Конституционно-демократическая партия"""	16	2	3	3	1	3	2	0	0	1	0	0	1					
		0.36%	0.20%	0.30%	5.08%	0.12%	0.66%	0.68%	0.0%	0.0%	0.72%	0.0%	0.0%	0.48%					
