Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																	
Дата голосования: 02.12.2007																	
																	
Наименование Избирательной комиссии:    Территориальная избирательная комиссия г. Щигры																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181					
1	"Число избирателей, внесенных в списки избирателей"	15812	1591	1855	1685	1607	1825	1813	1734	934	1852	916					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	14000	1430	1650	1495	1400	1605	1590	1540	820	1640	830					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7769	760	868	850	893	1024	841	827	432	887	387					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	792	64	109	101	85	52	78	80	39	97	87					
6	Число погашенных избирательных бюллетеней	5439	606	673	544	422	529	671	633	349	656	356					
7	Число избирательных бюллетеней в переносных ящиках для голосования	792	64	109	101	85	52	78	80	39	97	87					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7765	760	868	850	893	1020	841	827	432	887	387					
9	Число недействительных избирательных бюллетеней	68	9	6	5	11	9	5	9	7	6	1					
10	Число действительных избирательных бюллетеней	8489	815	971	946	967	1063	914	898	464	978	473					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	322	45	33	30	41	40	20	47	15	36	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	255	41	28	24	30	38	15	37	8	27	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	72	6	6	2	15	13	12	7	2	5	4					
14	Число погашенных неиспользованных открепительных удостоверений	67	4	5	6	11	2	5	10	7	9	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	4	2	3	3	5	0	0	2	1	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
																	
18	1.Политическая партия «Аграрная партия России»	137	8	19	19	20	23	11	9	9	19	0					
		1.60%	0.97%	1.94%	1.99%	2.04%	2.15%	1.20%	0.99%	1.91%	1.93%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	31	2	9	3	4	4	2	3	0	3	1					
		0.36%	0.24%	0.92%	0.32%	0.41%	0.37%	0.22%	0.33%	0.00%	0.30%	0.21%					
20	3.Политическая партия «Демократическая партия России»	7	1	1	1	0	2	0	1	1	0	0					
		0.08%	0.12%	0.10%	0.11%	0.00%	0.19%	0.00%	0.11%	0.21%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1303	98	126	131	165	168	125	165	63	181	81					
		15.23%	11.89%	12.90%	13.77%	16.87%	15.67%	13.60%	18.19%	13.38%	18.39%	17.09%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	57	6	10	7	5	14	4	6	1	4	0					
		0.67%	0.73%	1.02%	0.74%	0.51%	1.31%	0.44%	0.66%	0.21%	0.41%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	15	3	1	2	3	3	1	0	0	1	1					
		0.18%	0.36%	0.10%	0.21%	0.31%	0.28%	0.11%	0.00%	0.00%	0.10%	0.21%					
24	7.Политическая партия «Либерально-демократическая партия России»	669	70	95	84	64	89	79	62	39	54	33					
		7.82%	8.50%	9.72%	8.83%	6.54%	8.30%	8.60%	6.84%	8.28%	5.49%	6.96%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	809	116	120	86	90	105	68	78	45	72	29					
		9.45%	14.08%	12.28%	9.04%	9.20%	9.79%	7.40%	8.60%	9.55%	7.32%	6.12%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	52	4	6	4	7	9	5	4	3	6	4					
		0.61%	0.49%	0.61%	0.42%	0.72%	0.84%	0.54%	0.44%	0.64%	0.61%	0.84%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5361	504	577	601	604	638	612	567	303	631	324					
		62.65%	61.17%	59.06%	63.20%	61.76%	59.51%	66.59%	62.51%	64.33%	64.13%	68.35%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	48	3	7	8	5	8	7	3	0	7	0					
		0.56%	0.36%	0.72%	0.84%	0.51%	0.75%	0.76%	0.33%	0.00%	0.71%	0.00%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
