Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																							
Дата голосования: 04.12.2011																																																																							
																																																																							
Наименование Избирательной комиссии:    Кувандыкская																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №307	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №613	УИК №614	УИК №615	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №1825					
1	"Число избирателей, внесенных в список избирателей"	39852	283	844	617	1185	154	204	162	770	154	572	479	151	744	161	524	421	194	706	103	114	975	250	84	571	410	465	181	878	374	283	323	479	495	470	212	91	543	272	161	602	38	42	325	142	100	58	570	170	657	2515	1698	1523	2085	810	1998	1011	1545	740	1283	1353	1321	2270	551	386					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40355	285	855	625	1204	152	210	169	778	156	574	483	154	751	166	624	423	207	708	101	116	989	257	81	553	417	461	186	893	376	286	329	476	494	474	211	90	553	284	162	603	38	43	329	143	100	59	590	179	663	2540	1717	1542	2096	824	2012	1001	1534	746	1307	1371	1339	2325	554	387					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16671	60	390	225	545	73	96	40	318	78	283	237	97	280	57	207	169	111	259	41	37	506	125	50	275	206	230	50	397	123	135	67	194	202	245	92	41	175	127	94	253	23	19	128	65	50	27	258	72	257	882	730	685	772	397	712	411	604	281	596	594	519	1049	237	113					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1473	59	14	13	13	10	13	25	25	8	26	20	0	52	28	17	41	13	19	9	8	45	0	0	35	22	22	38	20	55	46	63	16	71	13	18	7	35	29	12	12	0	4	19	10	5	3	10	13	46	25	16	11	38	2	67	10	37	24	33	32	32	24	16	24					
6	Число погашенных избирательных бюллетеней	22210	166	451	387	646	69	101	104	435	70	265	226	57	419	81	400	213	83	430	51	71	438	132	31	243	189	209	98	476	198	105	199	266	221	216	101	42	343	128	56	338	15	20	182	68	45	29	322	94	360	1632	971	846	1286	425	1233	580	893	441	678	745	788	1252	301	250					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1473	59	14	13	13	10	13	25	25	8	26	20	0	52	28	17	41	13	19	9	8	45	0	0	35	22	22	38	20	55	46	63	16	71	13	18	7	35	29	12	12	0	4	19	10	5	3	10	13	46	25	16	11	38	2	67	10	37	24	33	32	32	24	16	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16670	60	390	225	545	73	96	40	318	78	283	237	97	280	57	207	169	111	259	41	37	506	125	50	275	206	230	50	397	123	135	67	194	202	245	92	41	175	127	94	253	23	19	128	65	50	27	258	72	257	882	730	685	772	397	712	411	604	281	596	593	519	1049	237	113					
9	Число недействительных избирательных бюллетеней	213	0	6	2	2	1	2	1	4	1	7	1	3	6	1	2	5	1	2	0	1	11	5	0	5	2	2	0	4	2	3	0	2	1	1	0	1	1	3	3	1	0	0	17	1	0	0	4	0	0	12	7	9	8	3	11	7	9	4	7	4	2	7	5	1					
10	Число действительных избирательных бюллетеней	17930	119	398	236	556	82	107	64	339	85	302	256	94	326	84	222	205	123	276	50	44	540	120	50	305	226	250	88	413	176	178	130	208	272	257	110	47	209	153	103	264	23	23	130	74	55	30	264	85	303	895	739	687	802	396	768	414	632	301	622	621	549	1066	248	136					
