Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																										
Дата голосования: 02.12.2007																																																																										
																																																																										
Наименование Избирательной комиссии:    Кувандыкская																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №307	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №1825					
1	"Число избирателей, внесенных в списки избирателей"	39558	239	910	669	1192	144	229	199	761	168	340	483	164	756	175	618	430	196	674	57	119	31	986	212	84	65	541	421	460	180	854	432	310	326	471	534	434	43	153	90	505	273	167	557	52	54	339	159	104	60	584	183	658	1242	1745	1694	2517	786	2121	1074	1604	709	1469	1185	1602	1178	467	1320					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	40551	243	910	640	1165	147	222	194	783	172	565	476	162	754	174	620	430	195	655	77	118	32	990	210	84	65	530	417	456	178	865	440	310	320	470	535	415	53	135	72	485	260	163	560	48	48	344	148	98	66	580	193	654	1225	1750	1650	2480	785	2110	1070	1590	710	1390	1200	1610	2270	485	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19641	79	410	274	648	92	155	137	373	108	315	224	103	336	74	437	276	168	353	57	75	16	587	171	70	53	306	276	288	66	418	180	174	69	198	258	224	34	115	62	233	164	116	291	43	35	193	96	55	32	286	101	343	498	799	744	959	400	850	502	654	303	657	524	653	1127	244	480					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1865	49	38	46	35	14	18	10	28	20	25	18	8	52	32	0	0	0	33	0	4	0	37	0	0	1	47	29	13	43	23	59	30	88	28	86	11	9	10	0	67	28	15	25	0	5	10	5	0	0	5	11	20	41	30	19	82	19	43	13	53	30	142	52	101	51	22	32					
6	Число погашенных избирательных бюллетеней	19045	115	462	320	482	41	49	47	382	44	225	234	51	366	68	183	154	27	269	20	39	16	366	39	14	11	177	112	155	69	424	201	106	163	244	191	180	10	10	10	185	68	32	244	5	8	141	47	43	34	289	81	291	686	921	887	1439	366	1217	555	883	377	591	624	856	1092	219	788					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1865	49	38	46	35	14	18	10	28	20	25	18	8	52	32	0	0	0	33	0	4	0	37	0	0	1	47	29	13	43	23	59	30	88	28	86	11	9	10	0	67	28	15	25	0	5	10	5	0	0	5	11	20	41	30	19	82	19	43	13	53	30	142	52	101	51	22	32					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19640	79	410	274	648	92	155	137	373	108	315	224	103	336	74	437	276	168	353	57	75	16	587	171	70	53	306	276	288	66	418	180	174	69	198	258	224	34	115	62	233	164	116	291	43	35	193	96	55	32	286	101	343	498	799	744	959	399	850	502	654	303	657	524	653	1127	244	480					
9	Число недействительных избирательных бюллетеней	203	3	6	1	7	3	6	0	6	0	6	1	1	5	0	1	3	1	1	0	2	0	4	2	0	0	5	0	0	0	4	3	2	0	8	4	1	0	0	1	3	2	2	3	0	0	3	1	0	0	5	3	3	8	9	6	4	3	9	1	5	4	6	6	8	9	8	5					
10	Число действительных избирательных бюллетеней	21302	125	442	319	676	103	167	147	395	128	334	241	110	383	106	436	273	167	385	57	77	16	620	169	70	54	348	305	301	109	437	236	202	157	218	340	234	43	125	61	297	190	129	313	43	40	200	100	55	32	286	109	360	531	820	757	1037	415	884	514	702	329	793	570	746	1169	258	507					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	245	1	8	9	2	1	1	1	4	1	5	2	1	5	1	2	1	1	2	1	1	1	8	1	1	1	2	5	1	1	5	1	2	1	1	5	2	1	1	1	2	1	1	2	1	1	2	1	1	1	2	1	2	10	10	9	9	8	9	8	9	6	9	9	9	14	8	9					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	136	1	4	0	1	0	0	0	0	0	5	2	0	3	0	0	0	1	2	0	0	0	8	0	0	1	2	5	0	1	5	0	1	0	0	3	0	0	0	0	2	1	1	2	0	1	1	0	0	1	1	0	2	3	7	8	7	6	5	5	4	1	7	5	2	14	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	110	1	4	0	6	0	3	1	2	0	0	1	1	1	0	2	0	0	0	0	1	0	11	1	0	0	3	3	1	1	4	1	0	2	0	2	3	0	0	1	1	1	0	0	0	3	0	0	1	1	2	0	0	1	4	7	3	1	2	9	2	2	5	0	3	1	1	4					
14	Число погашенных неиспользованных открепительных удостоверений	109	0	4	9	1	1	1	1	4	1	0	0	1	2	1	2	1	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	1	1	1	2	2	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	0	7	3	1	2	2	4	3	5	5	2	4	7	0	8	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																										
