Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																		
Дата голосования: 07.12.2003 0:00:00																																																		
																																																		
Наименование Избирательной комиссии:    Урмарская																																																		
																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																		
																																																		
		Сумма	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558					
1	"Число избирателей, внесенных в списки"	20643	1980	2450	1134	589	190	1135	430	927	253	207	942	711	98	119	236	62	717	502	342	144	234	331	521	268	436	118	411	285	824	204	307	147	265	184	529	156	334	789	350	72	158	263	289					
2	"Число бюллетеней, полученных участковыми комиссиями"	18451	1750	2150	1020	540	170	1020	375	830	220	187	840	620	84	100	210	55	655	453	305	125	200	292	470	240	390	105	375	260	725	250	275	132	240	165	470	125	285	730	310	68	145	230	260					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12898	1120	1458	729	334	143	699	259	571	183	143	646	512	76	86	152	52	440	279	220	106	155	209	339	157	269	78	309	189	481	190	175	86	146	125	282	114	217	473	203	57	87	172	177					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	662	17	18	40	32	9	32	26	10	2	2	17	37	8	5	11	0	43	16	9	4	16	22	27	29	47	5	14	8	20	14	0	7	7	2	3	2	19	33	5	1	9	19	15					
6	Число погашенных бюллетеней	4891	613	674	251	174	18	289	90	249	35	42	177	71	0	9	47	3	172	158	76	15	29	61	104	54	74	22	52	63	224	46	100	39	87	38	185	9	49	224	102	10	49	39	68					
7	Число бюллетеней в переносных ящиках для голосования	662	17	18	40	32	9	32	26	10	2	2	17	37	8	5	11	0	43	16	9	4	16	22	27	29	47	5	14	8	20	14	0	7	7	2	3	2	19	33	5	1	9	19	15					
8	Число бюллетеней в стационарных ящиках для голосования	12898	1120	1458	729	334	143	699	259	571	183	143	646	512	76	86	152	52	440	279	220	106	155	209	339	157	269	78	309	189	481	190	175	86	146	125	282	114	217	473	203	57	87	172	177					
9	Число недействительных бюллетеней	605	31	29	28	25	5	35	13	32	13	11	49	19	0	4	3	1	23	29	3	2	14	4	18	6	17	11	12	9	23	8	14	11	9	4	3	5	10	21	12	8	5	4	22					
10	Число действительных бюллетеней	12955	1106	1447	741	341	147	696	272	549	172	134	614	530	84	87	160	51	460	266	226	108	157	227	348	180	299	72	311	188	478	196	161	82	144	123	282	111	226	485	196	50	91	187	170					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	491	30	30	20	15	5	20	15	20	5	5	20	15	5	5	5	5	20	15	10	5	10	20	20	5	15	5	15	5	20	5	5	5	5	5	15	5	5	15	15	5	5	10	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	137	20	30	3	6	0	7	0	3	0	0	6	6	0	0	1	0	6	2	4	1	2	1	3	1	6	0	8	1	6	2	0	0	0	1	0	0	0	10	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	95	4	13	0	3	0	5	1	0	2	2	4	7	4	1	0	2	4	1	1	2	3	0	1	3	5	3	1	0	1	2	1	1	2	2	3	1	1	5	2	0	0	2	0					
14	Число погашенных открепительных удостоверений	354	10	0	17	9	5	13	15	17	5	5	14	9	5	5	4	5	14	13	6	4	8	19	17	4	9	5	7	4	14	3	5	5	5	4	15	5	5	5	14	5	5	10	6					
