Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																		
Дата голосования: 02.12.2007																																		
																																		
"Наименование Избирательной комиссии:    Ярославль, Кировская"																																		
																																		
Сводная таблица результатов выборов																																		
																																		
		Сумма	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149					
1	"Число избирателей, внесенных в списки избирателей"	52171	1438	1523	1856	2344	2121	2278	2280	1604	1664	1892	1794	1900	1713	2253	1876	2098	1965	2143	1693	2632	2368	2332	2370	1651	1655	2460	268					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	43650	1200	1200	1550	1900	1800	1850	1850	1300	1350	1650	1450	1550	1400	1850	1550	1850	1600	1750	1400	2300	1900	1850	1900	1300	1350	2650	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	33093	815	953	1104	1470	1443	1425	1366	948	1106	1053	1165	1248	1136	1452	1207	1345	1300	1425	1165	1438	1483	1384	1404	966	753	2290	249					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1268	58	23	54	82	50	42	64	24	27	46	43	55	39	77	36	39	42	45	31	36	63	50	55	46	61	80	0					
6	Число погашенных избирательных бюллетеней	9289	327	224	392	348	307	383	420	328	217	551	242	247	225	321	307	466	258	280	204	826	354	416	441	288	536	280	101					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1268	58	23	54	82	50	42	64	24	27	46	43	55	39	77	36	39	42	45	31	36	63	50	55	46	61	80	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33052	815	953	1103	1470	1441	1425	1366	945	1106	1053	1164	1248	1132	1452	1207	1340	1300	1425	1149	1437	1478	1383	1404	966	753	2288	249					
9	Число недействительных избирательных бюллетеней	365	11	15	11	13	12	17	18	9	8	7	7	15	13	9	16	7	21	22	12	24	16	20	7	13	7	33	2					
10	Число действительных избирательных бюллетеней	33955	862	961	1146	1539	1479	1450	1412	960	1125	1092	1200	1288	1158	1520	1227	1372	1321	1448	1168	1449	1525	1413	1452	999	807	2335	247					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1118	28	25	35	50	60	40	45	25	50	90	30	30	25	38	45	40	40	55	25	185	30	30	30	25	12	30	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1008	19	22	33	50	57	35	45	20	37	89	29	25	23	38	40	40	35	45	24	164	25	22	26	25	10	30	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	995	40	22	27	42	26	26	48	20	32	26	28	27	28	25	11	6	33	20	10	33	20	46	37	41	11	275	35					
14	Число погашенных неиспользованных открепительных удостоверений	110	9	3	2	0	3	5	0	5	13	1	1	5	2	0	5	0	5	10	1	21	5	8	4	0	2	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	2	1	2	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	1.Политическая партия «Аграрная партия России»	1459	32	39	42	78	86	70	57	39	51	46	51	65	26	45	55	76	68	92	48	62	81	59	64	36	28	50	13					
