Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
"Наименование Избирательной комиссии:    Ярославль, Кировская"																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151					
1	"Число избирателей, внесенных в список избирателей"	47592	1331	1641	1615	1681	1637	1727	1649	1673	1648	1890	1752	1767	1776	1763	1750	1701	1753	2201	1793	1728	1776	1712	1678	1666	2152	2177	79	1727	149					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42500	1200	1500	1500	1500	1500	1500	1500	1500	1500	1700	1500	1500	1500	1500	1500	1500	1500	1800	1500	1500	1500	1500	1500	1500	2000	2000	500	1500	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	28520	769	988	975	1066	971	1062	993	987	1060	1068	1036	1018	1149	1068	1092	1146	1019	1345	1111	1116	1135	1092	950	888	1244	1216	79	740	137					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	964	32	28	37	35	29	22	23	33	22	31	38	56	27	62	41	26	37	20	38	32	37	30	19	43	49	55	0	62	0					
6	Число погашенных избирательных бюллетеней	13015	399	484	488	399	500	416	484	480	418	601	426	426	324	370	367	328	442	435	351	352	329	378	531	569	707	729	421	698	163					
7	Число избирательных бюллетеней в переносных ящиках для голосования	964	32	28	37	35	29	22	23	33	22	31	38	56	27	62	41	26	37	20	38	32	37	30	19	43	49	55	0	62	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28504	769	986	975	1064	970	1062	993	987	1060	1067	1036	1018	1148	1068	1092	1146	1017	1344	1111	1112	1133	1092	950	888	1244	1216	79	740	137					
9	Число недействительных избирательных бюллетеней	527	23	17	22	19	21	19	26	18	14	18	0	16	12	14	23	17	30	25	27	25	23	19	19	11	22	33	2	11	1					
10	Число действительных избирательных бюллетеней	28941	778	997	990	1080	978	1065	990	1002	1068	1080	1074	1058	1163	1116	1110	1155	1024	1339	1122	1119	1147	1103	950	920	1271	1238	77	791	136					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1174	29	25	35	35	25	45	45	35	45	155	25	40	35	35	25	40	25	190	25	25	25	35	30	35	37	48	0	25	0					
