Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва															
Дата голосования: 04.12.2011															
															
Наименование Избирательной комиссии:    Рошальская городская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540					
1	"Число избирателей, внесенных в список избирателей"	17557	2281	2187	1795	1887	2319	2359	2332	2397					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15000	2000	2000	1500	1500	2000	2000	2000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6246	817	743	536	667	939	937	768	839					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	267	28	32	24	50	31	29	52	21					
6	Число погашенных избирательных бюллетеней	8487	1155	1225	940	783	1030	1034	1180	1140					
7	Число избирательных бюллетеней в переносных ящиках для голосования	267	28	32	24	50	31	29	52	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6235	817	743	536	667	939	937	766	830					
9	Число недействительных избирательных бюллетеней	208	19	32	18	16	30	11	45	37					
10	Число действительных избирательных бюллетеней	6294	826	743	542	701	940	955	773	814					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	320	40	40	30	30	40	45	50	45					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	194	30	25	25	17	28	26	21	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	37	4	4	2	4	9	4	3	7					
14	Число погашенных неиспользованных открепительных удостоверений	126	10	15	5	13	12	19	29	23					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	2	7	3	0	2	3	1	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1061	136	132	89	120	151	167	115	151					
		16.32%	16.09%	17.03%	15.89%	16.74%	15.57%	17.29%	14.06%	17.74%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1135	159	145	94	129	162	162	117	167					
		17.46%	18.82%	18.71%	16.79%	17.99%	16.70%	16.77%	14.30%	19.62%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	70	16	8	9	11	8	9	4	5					
		1.08%	1.89%	1.03%	1.61%	1.53%	0.82%	0.93%	0.49%	0.59%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1592	215	171	132	180	220	229	243	202					
		24.48%	25.44%	22.06%	23.57%	25.10%	22.68%	23.71%	29.71%	23.74%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	243	29	26	26	32	38	31	29	32					
		3.74%	3.43%	3.35%	4.64%	4.46%	3.92%	3.21%	3.55%	3.76%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2145	264	252	185	223	354	355	259	253					
		32.99%	31.24%	32.52%	33.04%	31.10%	36.49%	36.75%	31.66%	29.73%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	48	7	9	7	6	7	2	6	4					
		0.74%	0.83%	1.16%	1.25%	0.84%	0.72%	0.21%	0.73%	0.47%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
