Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																						
Дата голосования: 18.09.2016																																																																																						
																																																																																						
"Наименование Избирательной комиссии:    Тула, Пролетарская"																																																																																						
																																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																						
																																																																																						
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	122322	1001	1583	1531	1517	2261	666	1778	1874	1165	2256	2637	2293	1945	1886	2131	2576	2474	2180	2197	1701	1673	2557	2077	2318	1983	1880	1610	2069	414	2120	1578	1655	2713	2167	2346	2204	2321	1911	1994	1553	1488	1203	1910	2930	2030	1286	1492	2082	2521	1049	1530	2365	2403	1237	978	1349	1765	1972	2123	1809	1479	1259	1675	2252	1540	53	51	70	163	246	767	116	113	114	107									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	118610	900	1500	1500	1400	2200	500	1600	1800	1100	2200	2500	2200	1800	1800	2000	2500	2500	2000	2000	1700	1600	2500	2000	2200	1800	1800	1500	2000	1200	2000	1400	1500	2600	2000	2200	2000	2300	1800	2000	1500	1500	1200	1800	2800	2000	1200	1500	2000	2500	1000	1500	2400	2400	1200	800	1300	1700	1800	2000	1800	1500	1200	1600	2200	1500	90	70	120	300	270	1020	130	260	230	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	45289	291	493	470	571	812	235	738	546	280	877	1102	1108	887	765	789	1043	785	908	786	774	648	1184	800	780	651	633	543	674	411	646	491	552	1025	854	844	780	801	744	686	448	627	514	727	1094	565	460	561	692	934	408	561	816	738	404	191	456	584	657	794	666	522	466	598	833	452	41	46	67	163	188	585	115	112	90	107									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1303	7	13	16	9	8	9	12	18	9	7	7	9	21	6	21	10	10	20	16	10	13	17	26	23	17	14	12	27	3	24	12	9	18	20	18	14	21	7	13	5	7	6	16	5	160	15	10	14	14	11	7	13	34	10	10	15	13	16	17	14	11	11	16	19	20	11	5	3	0	58	167	0	0	24	0									
6	Число погашенных избирательных бюллетеней	72018	602	994	1014	820	1380	256	850	1236	811	1316	1391	1083	892	1029	1190	1447	1705	1072	1198	916	939	1299	1174	1397	1132	1153	945	1299	786	1330	897	939	1557	1126	1338	1206	1478	1049	1301	1047	866	680	1057	1701	1275	725	929	1294	1552	581	932	1571	1628	786	599	829	1103	1127	1189	1120	967	723	986	1348	1028	38	19	50	137	24	268	15	148	116	13									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1303	7	13	16	9	8	9	12	18	9	7	7	9	21	6	21	10	10	20	16	10	13	17	26	23	17	14	12	27	3	24	12	9	18	20	18	14	21	7	13	5	7	6	16	5	160	15	10	14	14	11	7	13	34	10	10	15	13	16	17	14	11	11	16	19	20	11	5	3	0	58	167	0	0	24	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	45211	291	490	470	563	812	235	738	528	280	877	1102	1108	887	759	789	1043	785	888	786	774	648	1184	800	780	651	633	543	674	411	646	491	545	1025	844	844	780	801	744	686	448	627	514	727	1094	565	460	561	692	934	408	561	816	738	404	191	456	584	651	794	666	522	466	598	833	452	41	46	67	163	188	585	115	112	90	107									
9	Число недействительных избирательных бюллетеней	960	4	13	14	11	25	10	17	0	9	17	13	24	26	9	10	11	25	15	0	16	14	15	11	11	0	16	10	14	8	11	13	10	13	19	18	17	26	19	13	13	11	5	16	26	13	15	29	17	25	13	6	22	23	11	2	9	19	14	17	8	8	8	19	32	9	3	0	0	2	8	28	1	0	1	0									
10	Число действительных избирательных бюллетеней	45554	294	490	472	561	795	234	733	546	280	867	1096	1093	882	756	800	1042	770	893	802	768	647	1186	815	792	668	631	545	687	406	659	490	544	1030	845	844	777	796	732	686	440	623	515	727	1073	712	460	542	689	923	406	562	807	749	403	199	462	578	653	794	672	525	469	595	820	463	49	51	70	161	238	724	114	112	113	107									
