Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва									
Дата голосования: 07.12.2003 0:00:00									
									
Наименование Избирательной комиссии:    Верхнедубровская поселковая									
									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)									
									
		Сумма	УИК №2569	УИК №2570					
1	"Число избирателей, внесенных в списки"	3712	2566	1146					
2	"Число бюллетеней, полученных участковыми комиссиями"	3798	2562	1236					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1729	1258	471					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	94	39	55					
6	Число погашенных бюллетеней	1975	1265	710					
7	Число бюллетеней в переносных ящиках для голосования	94	39	55					
8	Число бюллетеней в стационарных ящиках для голосования	1729	1258	471					
9	Число недействительных бюллетеней	48	32	16					
10	Число действительных бюллетеней	1775	1265	510					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	70	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	22	13	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	12	8	4					
14	Число погашенных открепительных удостоверений	78	57	21					
15	Число открепительных удостоверений выданных ТИК	0	0	0					
16	Число утраченных бюллетеней	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0					
									
18	"1. ""ЕДИНЕНИЕ"""	25	18	7					
		1.37%	1.38%	1.33%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	90	67	23					
		4.93%	5.16%	4.37%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	83	63	20					
		4.55%	4.85%	3.80%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	70	50	20					
		3.83%	3.85%	3.80%					
22	"5. ""За Русь Святую"""	14	11	3					
		0.76%	0.84%	0.57%					
23	"6. ""Объединенная Российская партия ""Русь"""	5	3	2					
		0.27%	0.23%	0.38%					
24	"7. ""Новый курс - Автомобильная Россия"""	15	7	8					
		0.82%	0.53%	1.52%					
25	"8. ""Народно-республиканская партия России"""	1	1	0					
		0.05%	0.07%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	7	5	2					
		0.38%	0.38%	0.38%					
27	"10. ""Аграрная партия России"""	61	46	15					
		3.34%	3.54%	2.85%					
28	"11. ""Истинные патриоты России"""	2	1	1					
		0.10%	0.07%	0.19%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	32	19	13					
		1.75%	1.46%	2.47%					
30	"13. ""Демократическая партия России"""	7	5	2					
		0.38%	0.38%	0.38%					
31	"14. ""Великая Россия - Евразийский Союз"""	4	3	1					
		0.21%	0.23%	0.19%					
32	"15. ""Партия СЛОН"""	3	2	1					
		0.16%	0.15%	0.19%					
33	"16. ""Родина"" (народно-патриотический союз)"""	80	51	29					
		4.38%	3.93%	5.51%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	8	7	1					
		0.43%	0.53%	0.19%					
35	"18. ""ЛДПР"""	211	124	87					
		11.57%	9.56%	16.53%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	50	38	12					
		2.74%	2.92%	2.28%					
37	"20. ""Политическая партия ""Единая Россия"""	748	547	201					
		41.03%	42.17%	38.21%					
38	"21. ""Российская Конституционно-демократическая партия"""	4	3	1					
		0.21%	0.23%	0.19%					
39	"22. ""Развитие предпринимательства"""	9	9	0					
		0.49%	0.69%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	125	89	36					
		6.85%	6.86%	6.84%					
									
41	Против всех	121	96	25					
		6.63%	7.40%	4.75%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
