Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Лениногорская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16747	273	820	542	127	558	105	612	323	326	699	214	267	231	710	479	477	869	528	432	980	57	675	819	371	237	876	1195	494	412	314	89	816	820									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17082	273	830	560	130	560	110	620	320	330	700	220	270	240	720	490	480	880	540	440	980	200	680	830	370	240	880	1220	490	410	319	90	830	830									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15382	262	796	498	102	490	98	580	305	293	679	187	261	210	611	449	455	542	408	418	931	57	581	776	338	221	842	1168	473	398	270	81	799	803									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	891	8	10	22	25	40	4	18	11	20	6	22	0	15	80	19	0	284	94	6	29	0	46	11	23	11	16	4	12	6	38	6	2	3									
6	Число погашенных избирательных бюллетеней	809	3	24	40	3	30	8	22	4	17	15	11	9	15	29	22	25	54	38	16	20	143	53	43	9	8	22	48	5	6	11	3	29	24									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	891	8	10	22	25	40	4	18	11	20	6	22	0	15	80	19	0	284	94	6	29	0	46	11	23	11	16	4	12	6	38	6	2	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15382	262	796	498	102	490	98	580	305	293	679	187	261	210	611	449	455	542	408	418	931	57	581	776	338	221	842	1168	473	398	270	81	799	803									
9	Число недействительных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	16271	270	806	520	127	530	102	598	316	313	685	209	261	225	691	468	455	826	502	424	960	57	627	787	359	232	858	1172	485	404	308	87	801	806									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	340	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	10	20	10	10	10	10	10	10									
