Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Грачевская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11554	584	74	534	1903	1622	1849	453	470	381	165	534	73	67	321	69	277	492	103	457	142	571	82	331									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11656	594	76	539	1934	1620	1849	453	478	382	166	533	74	70	332	66	282	490	103	458	146	588	87	336									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5424	246	49	310	852	677	744	221	266	200	87	285	60	43	170	38	140	225	57	216	99	182	50	207									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	590	95	8	33	29	13	22	40	17	53	17	18	0	0	16	4	34	48	10	29	8	48	8	40									
6	Число погашенных избирательных бюллетеней	5642	253	19	196	1053	930	1083	192	195	129	62	230	14	27	146	24	108	217	36	213	39	358	29	89									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	590	95	8	33	29	13	22	40	17	53	17	18	0	0	16	4	34	48	10	29	8	48	8	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5424	246	49	310	852	677	744	221	266	200	87	285	60	43	170	38	140	225	57	216	99	182	50	207									
9	Число недействительных избирательных бюллетеней	145	3	1	8	36	15	22	4	5	1	1	11	0	2	0	0	0	14	2	2	4	8	0	6									
10	Число действительных избирательных бюллетеней	5869	338	56	335	845	675	744	257	278	252	103	292	60	41	186	42	174	259	65	243	103	222	58	241									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	190	10	3	5	25	20	25	10	5	10	5	10	3	3	10	5	5	5	3	5	5	10	3	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	66	1	0	0	17	8	10	1	5	2	0	0	0	0	10	0	5	1	0	0	0	5	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	55	3	1	3	0	3	12	2	1	1	2	3	1	1	1	5	4	3	2	2	0	2	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	124	9	3	5	8	12	15	9	0	8	5	10	3	3	0	5	0	4	3	5	5	5	2	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	33	0	0	1	9	3	6	1	0	4	0	2	0	0	0	0	2	0	2	1	0	1	0	1									
		0.55%	0.00%	0.00%	0.29%	1.02%	0.43%	0.78%	0.38%	0.00%	1.58%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	1.15%	0.00%	2.99%	0.41%	0.00%	0.43%	0.00%	0.40%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	154	4	0	14	27	14	22	10	3	4	4	10	0	0	7	4	3	6	0	10	1	4	1	6									
		2.56%	1.17%	0.00%	4.08%	3.06%	2.03%	2.87%	3.83%	1.06%	1.58%	3.85%	3.30%	0.00%	0.00%	3.76%	9.52%	1.72%	2.20%	0.00%	4.08%	0.93%	1.74%	1.72%	2.43%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	87	5	0	10	13	13	7	2	2	2	0	2	1	0	5	0	3	3	0	3	1	5	2	8									
		1.45%	1.47%	0.00%	2.92%	1.48%	1.88%	0.91%	0.77%	0.71%	0.79%	0.00%	0.66%	1.67%	0.00%	2.69%	0.00%	1.72%	1.10%	0.00%	1.22%	0.93%	2.17%	3.45%	3.24%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2962	231	43	174	319	238	264	127	179	166	62	130	39	28	91	21	103	169	42	118	73	125	48	172									
