Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																						
Дата голосования: 02.12.2007																						
																						
Наименование Избирательной комиссии:    Дзун-Хемчикская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70					
1	"Число избирателей, внесенных в списки избирателей"	11494	1102	1420	1325	1216	550	440	675	659	599	325	942	924	432	751	134					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10730	1107	1183	1087	1071	529	503	678	659	598	313	888	821	434	730	129					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8972	983	882	952	729	456	352	619	609	554	259	737	742	410	560	128					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	779	39	52	12	58	73	79	56	50	32	32	139	79	22	55	1					
6	Число погашенных избирательных бюллетеней	972	85	249	123	284	0	65	3	0	12	22	12	0	2	115	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	786	39	52	12	58	73	86	56	50	32	32	139	79	22	55	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8972	983	882	952	729	456	352	619	609	554	259	737	742	410	560	128					
9	Число недействительных избирательных бюллетеней	107	20	20	23	13	1	9	2	5	7	0	0	2	5	0	0					
10	Число действительных избирательных бюллетеней	9651	1002	914	941	774	528	429	673	654	579	291	876	819	427	615	129					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	38	6	4	4	3	0	5	0	4	4	0	1	3	0	0	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	29	6	4	4	3	0	0	0	4	4	0	1	3	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	45	13	1	1	4	1	6	1	0	3	2	3	4	4	0	2					
14	Число погашенных неиспользованных открепительных удостоверений	9	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	83	6	5	11	5	2	4	8	11	6	7	5	4	7	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	1.Политическая партия «Аграрная партия России»	30	6	3	2	5	0	0	4	0	3	0	0	5	2	0	0					
		0.31%	0.59%	0.32%	0.21%	0.64%	0.00%	0.00%	0.59%	0.00%	0.51%	0.00%	0.00%	0.61%	0.46%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	5	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0					
		0.05%	0.20%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	5	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0					
		0.05%	0.10%	0.21%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	94	7	22	16	7	2	1	2	10	4	0	11	8	1	3	0					
		0.96%	0.68%	2.36%	1.66%	0.89%	0.38%	0.23%	0.30%	1.52%	0.68%	0.00%	1.26%	0.97%	0.23%	0.49%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	3	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0					
		0.03%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.20%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	30	7	1	2	2	1	0	2	0	4	0	0	9	0	2	0					
		0.31%	0.68%	0.11%	0.21%	0.25%	0.19%	0.00%	0.30%	0.00%	0.68%	0.00%	0.00%	1.10%	0.00%	0.33%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	72	8	15	13	13	8	0	3	0	4	0	0	7	1	0	0					
		0.74%	0.78%	1.61%	1.35%	1.65%	1.51%	0.00%	0.44%	0.00%	0.68%	0.00%	0.00%	0.85%	0.23%	0.00%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	41	10	5	6	4	2	0	0	0	1	0	0	9	4	0	0					
		0.42%	0.98%	0.54%	0.62%	0.51%	0.38%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	1.10%	0.93%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	9366	958	864	900	742	515	428	662	644	561	291	865	778	419	610	129					
		95.98%	93.74%	92.51%	93.36%	94.28%	97.35%	97.72%	98.07%	97.72%	95.73%	100.00%	98.74%	94.76%	96.99%	99.19%	100.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
		0.02%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
