Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
Наименование Избирательной комиссии:    Дятьковская																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368					
1	"Число избирателей, внесенных в списки"	62772	2337	2585	1663	1268	2820	2794	1733	760	2886	2220	2853	2921	292	1915	1726	2658	2618	1891	2221	1965	1978	348	1149	153	1559	236	131	218	180	1073	96	102	128	543	78	446	379	2470	1527	2055	2845	2952					
2	"Число бюллетеней, полученных участковыми комиссиями"	59982	2250	2550	1600	1200	2750	2700	1700	740	2850	2150	2800	2850	400	1750	1600	2500	2500	1750	2100	1850	1850	337	1100	154	1500	237	131	228	186	1000	94	101	131	520	83	420	370	2200	1450	2000	2600	2700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	30744	1141	1258	691	622	1420	1397	834	382	1262	859	1539	1567	175	800	828	1078	1135	1016	1000	973	956	145	622	69	880	118	20	73	98	650	45	55	91	262	41	218	168	1299	813	1077	1447	1620					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1376	86	49	33	22	57	39	30	28	40	39	38	19	0	73	25	41	72	38	100	33	57	30	25	3	34	8	43	41	17	32	23	2	0	21	6	20	42	42	12	18	18	20					
6	Число погашенных бюллетеней	27862	1023	1243	876	556	1273	1264	836	330	1548	1252	1223	1264	225	877	747	1381	1293	696	1000	844	837	162	453	82	586	111	68	114	71	318	26	44	40	237	36	182	160	859	625	905	1135	1060					
7	Число бюллетеней в переносных ящиках для голосования	1376	86	49	33	22	57	39	30	28	40	39	38	19	0	73	25	41	72	38	100	33	57	30	25	3	34	8	43	41	17	32	23	2	0	21	6	20	42	42	12	18	18	20					
8	Число бюллетеней в стационарных ящиках для голосования	30708	1141	1258	691	621	1418	1394	834	382	1262	859	1537	1567	175	800	828	1076	1126	1016	1000	973	956	145	622	69	880	118	20	73	98	650	45	55	91	262	41	218	168	1299	806	1067	1447	1620					
9	Число недействительных бюллетеней	447	20	9	8	6	13	18	15	8	12	18	13	13	4	8	20	14	14	29	20	22	22	4	14	1	8	3	0	2	8	3	2	1	2	1	1	0	3	10	12	52	1	13					
10	Число действительных бюллетеней	31637	1207	1298	716	637	1462	1415	849	402	1290	880	1562	1573	171	865	833	1103	1184	1025	1080	984	991	171	633	71	906	123	63	112	107	679	66	56	89	282	46	238	207	1331	806	1033	1464	1627					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	834	34	30	20	20	30	30	20	10	30	30	30	30	0	20	20	30	30	20	30	20	20	10	20	10	20	10	10	10	10	20	10	10	10	10	10	10	10	30	20	30	30	30					
