Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Магдагачинская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18017	1566	1535	1590	2138	1928	758	137	166	943	661	1188	708	326	1526	769	675	680	299	424									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16930	1400	1400	1500	2000	1800	700	130	150	900	600	1100	600	350	1500	750	650	600	300	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	29	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	20	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6312	322	322	514	729	548	345	85	97	301	257	450	231	152	648	294	189	287	204	337									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	597	16	9	30	10	49	30	6	3	36	32	90	60	6	71	43	45	46	15	0									
6	Число погашенных избирательных бюллетеней	9992	1062	1069	956	1261	1203	325	30	50	563	311	560	309	192	781	413	396	267	81	163									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	626	16	9	30	10	49	30	15	3	36	32	90	60	6	71	43	65	46	15	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6310	321	322	514	728	548	345	85	97	301	257	450	231	152	648	294	189	287	204	337									
9	Число недействительных избирательных бюллетеней	161	5	6	11	12	23	11	5	0	7	5	19	9	1	20	6	3	2	8	8									
10	Число действительных избирательных бюллетеней	6775	332	325	533	726	574	364	95	100	330	284	521	282	157	699	331	251	331	211	329									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	205	15	15	15	15	15	10	13	8	10	10	10	10	8	15	15	8	8	5	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	110	3	2	9	15	7	10	10	0	1	1	1	0	8	15	15	6	3	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	78	4	10	6	8	11	7	2	3	0	1	1	3	0	1	3	1	3	1	13									
14	Число погашенных неиспользованных открепительных удостоверений	95	12	13	6	0	8	0	3	8	9	9	9	10	0	0	0	2	5	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	5	5	8	12	4	0	1	0	0	0	0	0	1	1	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	87	5	7	9	6	10	4	0	0	3	6	5	2	0	11	6	3	2	7	1									
		1.25%	1.48%	2.11%	1.65%	0.81%	1.68%	1.07%	0.00%	0.00%	0.89%	2.08%	0.93%	0.69%	0.00%	1.53%	1.78%	1.18%	0.60%	3.20%	0.30%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	192	8	6	12	15	14	14	4	1	4	5	29	11	5	20	16	10	5	4	9									
		2.77%	2.37%	1.81%	2.21%	2.03%	2.35%	3.73%	4.00%	1.00%	1.19%	1.73%	5.37%	3.78%	3.16%	2.78%	4.75%	3.94%	1.50%	1.83%	2.67%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	194	9	9	17	23	18	10	3	0	6	10	18	5	3	24	10	6	10	9	4									
		2.80%	2.67%	2.72%	3.13%	3.12%	3.02%	2.67%	3.00%	0.00%	1.78%	3.46%	3.33%	1.72%	1.90%	3.34%	2.97%	2.36%	3.00%	4.11%	1.19%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2252	81	88	158	209	190	144	45	38	131	103	139	90	57	212	133	85	149	74	126									
		32.47%	24.04%	26.59%	29.04%	28.32%	31.83%	38.40%	45.00%	38.00%	38.87%	35.64%	25.74%	30.93%	36.08%	29.49%	39.47%	33.46%	44.74%	33.79%	37.39%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	30	1	1	2	3	3	3	1	0	1	3	3	3	0	2	1	0	3	0	0									
		0.43%	0.30%	0.30%	0.37%	0.41%	0.50%	0.80%	1.00%	0.00%	0.30%	1.04%	0.56%	1.03%	0.00%	0.28%	0.30%	0.00%	0.90%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	0	1	0	0	2	0	0	2	1	0	0	0	0	0	0	0	1	0									
		0.10%	0.00%	0.00%	0.18%	0.00%	0.00%	0.53%	0.00%	0.00%	0.59%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2334	134	126	170	255	197	128	25	33	109	67	152	67	59	264	119	78	116	93	142									
		33.65%	39.76%	38.07%	31.25%	34.55%	32.99%	34.13%	25.00%	33.00%	32.34%	23.18%	28.15%	23.02%	37.34%	36.72%	35.31%	30.71%	34.83%	42.47%	42.14%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	26	2	2	4	5	6	0	0	0	2	1	0	0	1	1	1	0	0	1	0									
		0.37%	0.59%	0.60%	0.74%	0.68%	1.01%	0.00%	0.00%	0.00%	0.59%	0.35%	0.00%	0.00%	0.63%	0.14%	0.30%	0.00%	0.00%	0.46%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	32	1	2	5	6	3	0	0	0	0	1	2	1	1	3	1	1	3	0	2									
		0.46%	0.30%	0.60%	0.92%	0.81%	0.50%	0.00%	0.00%	0.00%	0.00%	0.35%	0.37%	0.34%	0.63%	0.42%	0.30%	0.39%	0.90%	0.00%	0.59%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	0	0	1	0	2	0	0	0	0	1	1	0	0	1	0	0	2	0	0									
