Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Новодвинская городская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31372	2180	2075	2183	2279	2174	2287	2230	2239	2148	2311	2311	2141	2429	2385									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31400	2200	2100	2200	2300	2200	2250	2250	2200	2100	2300	2300	2150	2450	2400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10933	831	746	686	818	661	518	704	830	722	746	853	831	1050	937									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	144	6	2	5	8	17	37	4	17	14	9	12	5	1	7									
6	Число погашенных избирательных бюллетеней	20323	1363	1352	1509	1474	1522	1695	1542	1353	1364	1545	1435	1314	1399	1456									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	144	6	2	5	8	17	37	4	17	14	9	12	5	1	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10921	830	746	683	818	661	518	704	830	719	745	853	830	1048	936									
9	Число недействительных избирательных бюллетеней	172	10	13	10	9	14	7	9	16	14	12	13	16	15	14									
10	Число действительных избирательных бюллетеней	10893	826	735	678	817	664	548	699	831	719	742	852	819	1034	929									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	280	20	20	20	20	20	20	20	20	20	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	101	5	5	7	11	8	8	9	11	6	7	5	3	10	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	61	2	2	4	3	4	3	5	5	22	3	3	1	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	179	15	15	13	9	12	12	11	9	14	13	15	17	10	14									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	0	1	2	0	0	0	2	1	0	1	0	1	4	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	154	11	9	13	13	12	8	9	15	5	7	11	17	18	6									
		1.39%	1.32%	1.20%	1.89%	1.57%	1.77%	1.44%	1.27%	1.77%	0.68%	0.93%	1.27%	2.04%	1.72%	0.64%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	175	17	12	7	14	17	8	8	11	14	16	14	13	13	11									
		1.58%	2.03%	1.60%	1.02%	1.69%	2.51%	1.44%	1.13%	1.30%	1.91%	2.12%	1.62%	1.56%	1.24%	1.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	291	20	15	18	23	19	17	13	24	15	20	23	22	29	33									
		2.63%	2.39%	2.01%	2.62%	2.78%	2.80%	3.06%	1.84%	2.83%	2.05%	2.65%	2.66%	2.63%	2.76%	3.50%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4775	352	310	288	389	307	228	309	374	326	307	375	337	436	437									
