Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																			
Дата голосования: 02.12.2007																																																																			
																																																																			
Наименование Избирательной комиссии:    Куртамышская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562					
1	"Число избирателей, внесенных в списки избирателей"	27305	1928	1690	1102	794	1095	1293	1849	1008	1178	1294	425	275	176	93	603	620	180	313	125	448	103	348	102	107	706	149	64	161	561	44	349	79	43	335	196	166	190	589	44	320	77	990	373	208	269	432	94	212	492	671	198	107	109	624	832	85	82	99	143	63					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	25490	1700	1500	1000	700	1000	1000	1700	800	1000	1100	400	270	170	100	600	630	180	320	120	400	110	350	120	100	700	150	60	160	550	50	300	80	50	300	170	160	190	600	60	330	80	900	370	210	270	450	110	220	500	650	210	110	110	650	800	110	130	110	150	70					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16167	1095	966	612	460	662	758	1043	590	736	662	258	170	118	62	382	355	99	215	77	285	83	220	67	76	371	101	35	99	246	24	240	53	41	228	129	102	107	394	44	194	57	490	196	132	155	274	70	120	292	376	148	64	66	386	490	84	76	57	115	60					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2055	61	67	40	27	54	112	75	68	46	105	74	37	13	18	61	60	13	31	15	44	4	26	14	11	55	4	6	8	68	9	17	5	0	36	27	27	29	38	0	32	6	101	67	15	20	49	10	34	111	41	24	15	8	31	67	1	6	12	0	0					
6	Число погашенных избирательных бюллетеней	7268	544	467	348	213	284	130	582	142	218	333	68	63	39	20	157	215	68	74	28	71	23	104	39	13	274	45	19	53	236	17	43	22	9	36	14	31	54	168	16	104	17	309	107	63	95	127	30	66	97	233	38	31	36	233	243	25	48	41	35	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2055	61	67	40	27	54	112	75	68	46	105	74	37	13	18	61	60	13	31	15	44	4	26	14	11	55	4	6	8	68	9	17	5	0	36	27	27	29	38	0	32	6	101	67	15	20	49	10	34	111	41	24	15	8	31	67	1	6	12	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16159	1095	966	608	460	661	758	1043	590	735	662	258	170	118	62	382	355	99	215	77	285	83	220	67	76	371	101	35	99	246	24	240	53	41	228	129	102	107	394	44	194	57	489	196	132	155	274	70	120	292	376	148	64	66	386	489	84	76	57	115	60					
9	Число недействительных избирательных бюллетеней	91	2	5	3	4	6	4	1	3	4	3	3	1	0	0	4	1	1	1	0	5	0	1	0	0	7	0	0	0	2	0	3	0	0	1	1	0	1	0	1	1	0	5	0	0	0	3	0	1	3	3	0	0	1	0	5	0	0	1	0	0					
10	Число действительных избирательных бюллетеней	18123	1154	1028	645	483	709	866	1117	655	777	764	329	206	131	80	439	414	111	245	92	324	87	245	81	87	419	105	41	107	312	33	254	58	41	263	155	129	135	432	43	225	63	585	263	147	175	320	80	153	400	414	172	79	73	417	551	85	82	68	115	60					
