Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Красночикойская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186	УИК  187	УИК  188	УИК  189	УИК  190	УИК  191	УИК  192	УИК  193					
1	"Число избирателей, внесенных в список"	15772	149	935	519	152	569	144	283	130	99	424	122	460	748	2608	2530	632	72	254	286	372	203	399	121	558	298	132	113	171	456	82	272	1345	134					
2	Число полученных избирательных бюллетеней	15658	147	955	520	152	560	147	272	132	98	430	122	465	740	2540	2465	635	72	254	290	370	200	400	120	560	300	130	115	172	444	83	270	1360	138					
3	"Число избирательных бюллетеней, выданных  досрочно"	30	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9625	122	501	361	129	500	118	266	99	87	257	110	301	443	1326	1219	513	53	169	206	295	167	269	63	315	197	102	64	117	268	62	144	689	93					
5	"Число избирательных бюллетеней, выданных вне помещения"	955	0	128	30	2	0	2	6	10	0	28	7	36	92	85	121	0	7	20	30	0	6	28	22	39	32	15	20	13	14	0	6	148	8					
6	Число погашенных избирательных бюллетеней	5048	25	296	129	21	60	27	0	23	11	145	5	128	205	1129	1125	122	12	65	54	75	27	103	35	206	71	13	31	42	162	21	120	523	37					
7	Число избирательных бюллетеней в переносных ящиках	985	0	158	30	2	0	2	6	10	0	28	7	36	92	85	121	0	7	20	30	0	6	28	22	39	32	15	20	13	14	0	6	148	8					
8	Число бюллетеней в стационарных ящиках для голосования	9623	122	501	361	129	500	118	266	99	87	257	110	301	443	1325	1219	512	53	169	206	295	167	269	63	315	197	102	64	117	268	62	144	689	93					
9	Число недействительных избирательных бюллетеней	125	2	3	4	1	8	0	3	1	1	6	2	9	5	10	3	9	0	2	2	1	0	6	0	4	6	6	0	2	10	0	3	16	0					
10	Число действительных избирательных бюллетеней	10483	120	656	387	130	492	120	269	108	86	279	115	328	530	1400	1337	503	60	187	234	294	173	291	85	350	223	111	84	128	272	62	147	821	101					
11	Число полученных открепительных  удостоверений	238	3	10	5	3	10	5	5	3	3	10	5	5	5	30	30	5	3	5	5	10	5	10	5	10	8	3	3	3	5	3	10	10	3					
12	Число выданных открепительных удостоверений	95	2	6	5	1	2	0	0	0	0	1	2	2	1	30	14	0	0	0	0	0	1	2	0	6	6	0	0	0	5	0	1	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	78	3	1	0	1	3	0	1	1	1	2	3	2	0	36	13	2	0	0	0	0	1	0	2	1	1	1	0	0	0	0	2	1	0					
14	Число неиспользованных открепительных удостоверений	143	1	4	0	2	8	5	5	3	3	9	3	3	4	0	16	5	3	5	5	10	4	8	5	4	2	3	3	3	0	3	9	2	3					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																								
18	. Глазьев Сергей Юрьевич	218	5	10	7	0	11	2	3	3	0	3	1	2	19	33	39	2	0	6	7	5	5	8	1	5	6	0	2	3	10	1	1	15	3					
		2.06%	4.10%	1.52%	1.79%	0.00%	2.20%	1.67%	1.10%	2.75%	0.00%	1.05%	0.85%	0.59%	3.55%	2.34%	2.91%	0.39%	0.00%	3.17%	2.97%	1.69%	2.89%	2.69%	1.18%	1.41%	2.62%	0.00%	2.38%	2.31%	3.55%	1.61%	0.67%	1.79%	2.97%					
19	. Малышкин Олег Александрович	237	19	27	6	4	6	6	2	5	1	5	1	6	12	24	21	8	0	3	2	10	5	8	2	5	11	1	0	3	4	5	3	18	4					
		2.23%	15.57%	4.10%	1.53%	3.05%	1.20%	5.00%	0.74%	4.59%	1.15%	1.75%	0.85%	1.78%	2.24%	1.70%	1.57%	1.56%	0.00%	1.59%	0.85%	3.39%	2.89%	2.69%	2.35%	1.41%	4.80%	0.85%	0.00%	2.31%	1.42%	8.06%	2.00%	2.15%	3.96%					
20	. Миронов Сергей Михайлович	101	2	6	2	6	10	0	3	2	0	2	3	1	9	3	4	9	1	1	0	3	0	1	1	3	2	0	1	1	2	0	2	19	2					
		0.95%	1.64%	0.91%	0.51%	4.58%	2.00%	0.00%	1.10%	1.83%	0.00%	0.70%	2.56%	0.30%	1.68%	0.21%	0.30%	1.76%	1.67%	0.53%	0.00%	1.02%	0.00%	0.34%	1.18%	0.85%	0.87%	0.00%	1.19%	0.77%	0.71%	0.00%	1.33%	2.27%	1.98%					
21	. Путин Владимир Владимирович	6960	83	446	257	81	314	76	162	70	53	208	60	256	333	1036	956	235	55	150	196	209	124	209	65	240	114	47	46	87	157	46	88	446	55					
		65.61%	68.03%	67.68%	65.73%	61.83%	62.80%	63.33%	59.56%	64.22%	60.92%	72.98%	51.28%	75.96%	62.24%	73.48%	71.34%	45.90%	91.67%	79.37%	83.05%	70.85%	71.68%	70.37%	76.47%	67.80%	49.78%	40.17%	54.76%	66.92%	55.67%	74.19%	58.67%	53.29%	54.46%					
22	. Хакамада Ирина Муцуовна	156	0	3	1	1	3	5	4	7	2	2	0	1	6	18	30	9	0	0	2	3	3	7	5	1	6	6	1	4	8	1	2	12	3					
		1.47%	0.00%	0.46%	0.26%	0.76%	0.60%	4.17%	1.47%	6.42%	2.30%	0.70%	0.00%	0.30%	1.12%	1.28%	2.24%	1.76%	0.00%	0.00%	0.85%	1.02%	1.73%	2.36%	5.88%	0.28%	2.62%	5.13%	1.19%	3.08%	2.84%	1.61%	1.33%	1.43%	2.97%					
23	. Харитонов Николай Михайлович	2630	10	160	106	36	142	28	94	21	28	55	47	60	136	252	267	234	4	24	23	53	33	51	11	87	76	57	34	30	91	8	48	292	32					
		24.79%	8.20%	24.28%	27.11%	27.48%	28.40%	23.33%	34.56%	19.27%	32.18%	19.30%	40.17%	17.80%	25.42%	17.87%	19.93%	45.70%	6.67%	12.70%	9.75%	17.97%	19.08%	17.17%	12.94%	24.58%	33.19%	48.72%	40.48%	23.08%	32.27%	12.90%	32.00%	34.89%	31.68%					
																																								
24	Против всех	181	1	4	8	2	6	3	1	0	2	4	3	2	15	34	20	6	0	3	4	11	3	7	0	9	8	0	0	0	0	1	3	19	2					
		1.71%	0.82%	0.61%	2.05%	1.53%	1.20%	2.50%	0.37%	0.00%	2.30%	1.40%	2.56%	0.59%	2.80%	2.41%	1.49%	1.17%	0.00%	1.59%	1.69%	3.73%	1.73%	2.36%	0.00%	2.54%	3.49%	0.00%	0.00%	0.00%	0.00%	1.61%	2.00%	2.27%	1.98%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
