Выборы Президента Российской Федерации																																															
																																															
"Наименование Избирательной комиссии:    Тула, Привокзальная"																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405					
1	"Число избирателей, внесенных в список"	70886	2738	2433	2345	1023	1741	1428	1417	2088	2765	2035	1597	1380	1076	64	77	1373	1879	2080	1646	1602	2066	2076	2655	2180	1901	1974	1975	2844	1974	92	1641	2283	2429	2209	778	1613	1603	1949	1356	2501					
2	Число полученных избирательных бюллетеней	67460	2630	2320	2240	970	1650	1320	1340	1970	2630	1930	1470	1300	1000	100	100	1300	1800	1980	1570	1520	1980	1980	2550	2080	1800	1880	1880	2700	1870	150	1560	2180	2330	2090	730	1530	1520	1860	1280	2370					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	34079	1296	1240	1206	389	768	627	658	1025	1336	865	687	570	625	64	77	721	993	1099	771	792	1023	1085	1369	1048	1054	1047	954	1302	801	92	785	1154	1195	1107	265	685	685	814	600	1205					
5	"Число избирательных бюллетеней, выданных вне помещения"	1664	57	34	24	102	10	45	15	20	30	15	65	123	0	0	0	52	12	39	24	37	32	42	37	51	36	53	35	60	109	0	28	36	58	17	95	85	34	59	45	48					
6	Число погашенных избирательных бюллетеней	31717	1277	1046	1010	479	872	648	667	925	1264	1050	718	607	375	36	23	527	795	842	775	691	925	853	1144	981	710	780	891	1338	960	58	747	990	1077	966	370	760	801	987	635	1117					
7	Число избирательных бюллетеней в переносных ящиках	1664	57	34	24	102	10	45	15	20	30	15	65	123	0	0	0	52	12	39	24	37	32	42	37	51	36	53	35	60	109	0	28	36	58	17	95	85	34	59	45	48					
8	Число бюллетеней в стационарных ящиках для голосования	34034	1295	1214	1206	389	768	626	658	1025	1336	865	687	570	625	64	77	721	993	1097	771	792	1021	1085	1369	1048	1054	1047	953	1302	796	92	784	1150	1194	1107	265	684	685	814	600	1205					
9	Число недействительных избирательных бюллетеней	227	12	10	8	1	7	3	8	4	6	5	6	18	3	0	0	3	3	5	5	5	5	5	12	9	10	7	5	13	0	1	3	4	9	3	0	7	8	7	2	5					
10	Число действительных избирательных бюллетеней	35471	1340	1238	1222	490	771	668	665	1041	1360	875	746	675	622	64	77	770	1002	1131	790	824	1048	1122	1394	1090	1080	1093	983	1349	905	91	809	1182	1243	1121	360	762	711	866	643	1248					
11	Число полученных открепительных  удостоверений	810	40	30	20	15	15	15	15	15	20	15	15	15	20	0	0	20	30	20	20	20	30	30	30	30	40	30	20	30	20	0	20	20	20	20	15	20	15	20	20	20					
12	Число выданных открепительных удостоверений	452	24	14	14	3	4	4	7	10	14	5	5	4	9	0	0	10	22	17	12	11	23	18	17	24	15	16	14	23	12	0	11	16	14	12	0	7	6	15	6	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	403	6	12	1	3	6	18	9	7	4	3	7	3	3	48	18	11	14	15	15	15	11	10	3	10	7	10	10	11	13	13	16	16	8	9	3	11	8	6	1	9					
14	Число неиспользованных открепительных удостоверений	358	16	16	6	12	11	11	8	5	6	10	10	11	11	0	0	10	8	3	8	9	7	12	13	6	25	14	6	7	8	0	9	4	6	8	15	13	9	5	14	6					
15	"Число открепительных удостоверений, выданных в ТИК"	80	5	1	3	0	0	1	0	4	8	2	4	2	2	0	0	1	1	0	4	0	3	2	5	0	1	1	3	2	2	0	3	2	4	2	0	3	2	2	1	4					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	2298	76	87	94	20	37	32	48	62	76	48	36	40	47	7	15	33	53	76	40	62	54	75	115	79	95	106	86	96	45	9	56	81	59	78	18	58	47	42	33	77					
		6.44%	5.62%	6.97%	7.64%	4.07%	4.76%	4.77%	7.13%	5.93%	5.56%	5.45%	4.79%	5.77%	7.52%	10.94%	19.48%	4.27%	5.27%	6.69%	5.03%	7.48%	5.13%	6.65%	8.18%	7.19%	8.72%	9.64%	8.70%	7.05%	4.97%	9.78%	6.90%	6.83%	4.71%	6.94%	5.00%	7.54%	6.54%	4.81%	5.12%	6.15%					
19	. Малышкин Олег Александрович	616	21	24	18	11	19	19	13	21	26	21	19	11	13	1	2	8	11	15	16	12	13	16	15	22	23	15	15	15	11	3	7	20	23	24	8	17	7	17	21	23					
		1.73%	1.55%	1.92%	1.46%	2.24%	2.44%	2.83%	1.93%	2.01%	1.90%	2.39%	2.53%	1.59%	2.08%	1.56%	2.60%	1.03%	1.09%	1.32%	2.01%	1.45%	1.23%	1.42%	1.07%	2.00%	2.11%	1.36%	1.52%	1.10%	1.22%	3.26%	0.86%	1.69%	1.84%	2.14%	2.22%	2.21%	0.97%	1.95%	3.26%	1.84%					
20	. Миронов Сергей Михайлович	183	10	3	10	4	4	6	6	4	7	5	8	3	0	3	1	4	8	5	4	1	5	4	6	2	5	8	5	5	4	0	5	0	9	4	2	3	3	4	5	8					
		0.51%	0.74%	0.24%	0.81%	0.81%	0.51%	0.89%	0.89%	0.38%	0.51%	0.57%	1.06%	0.43%	0.00%	4.69%	1.30%	0.52%	0.80%	0.44%	0.50%	0.12%	0.47%	0.35%	0.43%	0.18%	0.46%	0.73%	0.51%	0.37%	0.44%	0.00%	0.62%	0.00%	0.72%	0.36%	0.56%	0.39%	0.42%	0.46%	0.78%	0.64%					
21	. Путин Владимир Владимирович	23403	908	835	822	340	527	398	391	680	885	556	497	443	405	50	39	545	661	718	539	551	662	698	885	722	692	697	610	878	603	57	521	773	841	752	269	541	467	633	452	860					
		65.56%	67.16%	66.91%	66.83%	69.25%	67.74%	59.31%	58.10%	65.07%	64.79%	63.18%	66.09%	63.92%	64.80%	78.12%	50.65%	70.50%	65.77%	63.20%	67.80%	66.47%	62.87%	61.93%	62.94%	65.70%	63.49%	63.36%	61.74%	64.46%	66.63%	61.96%	64.16%	65.18%	67.17%	66.90%	74.72%	70.35%	64.95%	72.51%	70.08%	68.64%					
22	. Хакамада Ирина Муцуовна	1712	63	51	45	12	26	26	30	55	69	41	27	37	36	1	3	52	85	65	39	48	73	62	58	54	49	53	42	66	41	1	37	48	71	56	7	25	26	36	26	70					
		4.80%	4.66%	4.09%	3.66%	2.44%	3.34%	3.87%	4.46%	5.26%	5.05%	4.66%	3.59%	5.34%	5.76%	1.56%	3.90%	6.73%	8.46%	5.72%	4.91%	5.79%	6.93%	5.50%	4.13%	4.91%	4.50%	4.82%	4.25%	4.85%	4.53%	1.09%	4.56%	4.05%	5.67%	4.98%	1.94%	3.25%	3.62%	4.12%	4.03%	5.59%					
23	. Харитонов Николай Михайлович	5430	193	192	190	88	112	144	145	147	206	140	119	92	80	1	14	75	110	181	118	111	193	204	229	167	164	151	175	216	165	18	144	195	199	142	46	99	125	109	75	156					
		15.21%	14.28%	15.38%	15.45%	17.92%	14.40%	21.46%	21.55%	14.07%	15.08%	15.91%	15.82%	13.28%	12.80%	1.56%	18.18%	9.70%	10.95%	15.93%	14.84%	13.39%	18.33%	18.10%	16.29%	15.20%	15.05%	13.73%	17.71%	15.86%	18.23%	19.57%	17.73%	16.44%	15.89%	12.63%	12.78%	12.87%	17.39%	12.49%	11.63%	12.45%					
																																															
24	Против всех	1829	69	46	43	15	46	43	32	72	91	64	40	49	41	1	3	53	74	71	34	39	48	63	86	44	52	63	50	73	36	3	39	65	41	65	10	19	36	25	31	54					
		5.12%	5.10%	3.69%	3.50%	3.05%	5.91%	6.41%	4.75%	6.89%	6.66%	7.27%	5.32%	7.07%	6.56%	1.56%	3.90%	6.86%	7.36%	6.25%	4.28%	4.70%	4.56%	5.59%	6.12%	4.00%	4.77%	5.73%	5.06%	5.36%	3.98%	3.26%	4.80%	5.48%	3.27%	5.78%	2.78%	2.47%	5.01%	2.86%	4.81%	4.31%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
