Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Кочкуровская																					
																					
Итоги голосования 																					
																					
		Сумма	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437					
1	"Число избирателей, внесенных в список"	9230	487	225	2576	297	292	465	387	253	450	558	548	1015	1173	504					
2	Число полученных избирательных бюллетеней	9204	483	232	2559	310	292	465	398	252	455	550	537	1020	1150	501					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7712	392	134	2229	272	276	382	299	189	332	488	487	801	1017	414					
5	"Число избирательных бюллетеней, выданных вне помещения"	1313	91	87	276	23	16	80	81	62	112	62	50	153	133	87					
6	Число погашенных избирательных бюллетеней	179	0	11	54	15	0	3	18	1	11	0	0	66	0	0					
7	Число избирательных бюллетеней в переносных ящиках	1313	91	87	276	23	16	80	81	62	112	62	50	153	133	87					
8	Число бюллетеней в стационарных ящиках для голосования	7712	392	134	2229	272	276	382	299	189	332	488	487	801	1017	414					
9	Число недействительных избирательных бюллетеней	100	0	0	7	1	11	20	3	0	0	1	41	10	0	6					
10	Число действительных избирательных бюллетеней	8925	483	221	2498	294	281	442	377	251	444	549	496	944	1150	495					
11	Число полученных открепительных  удостоверений	180	10	5	40	5	5	10	5	10	5	10	20	20	20	15					
12	Число выданных открепительных удостоверений	67	2	2	40	1	1	4	2	3	1	1	7	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	67	6	1	8	3	1	4	5	3	1	3	22	3	3	4					
14	Число неиспользованных открепительных удостоверений	113	8	3	0	4	4	6	3	7	4	9	13	20	17	15					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	32	2	2	4	2	1	3	1	0	0	1	9	3	4	0					
		0.35%	0.41%	0.90%	0.16%	0.68%	0.34%	0.65%	0.26%	0.00%	0.00%	0.18%	1.68%	0.31%	0.35%	0.00%					
19	. Малышкин Олег Александрович	52	1	7	9	1	0	10	5	2	0	1	4	9	3	0					
		0.58%	0.21%	3.17%	0.36%	0.34%	0.00%	2.16%	1.32%	0.80%	0.00%	0.18%	0.74%	0.94%	0.26%	0.00%					
20	. Миронов Сергей Михайлович	16	1	0	2	1	0	0	0	0	0	1	3	3	5	0					
		0.18%	0.21%	0.00%	0.08%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.56%	0.31%	0.43%	0.00%					
21	. Путин Владимир Владимирович	8463	464	193	2450	258	273	403	346	236	439	530	436	844	1096	495					
		93.77%	96.07%	87.33%	97.80%	87.46%	93.49%	87.23%	91.05%	94.02%	98.87%	96.36%	81.19%	88.47%	95.30%	98.80%					
22	. Хакамада Ирина Муцуовна	35	2	2	4	1	0	4	2	2	0	1	5	10	2	0					
		0.39%	0.41%	0.90%	0.16%	0.34%	0.00%	0.87%	0.53%	0.80%	0.00%	0.18%	0.93%	1.05%	0.17%	0.00%					
23	. Харитонов Николай Михайлович	301	13	16	27	31	7	18	21	10	5	14	27	74	38	0					
		3.34%	2.69%	7.24%	1.08%	10.51%	2.40%	3.90%	5.53%	3.98%	1.13%	2.55%	5.03%	7.76%	3.30%	0.00%					
																					
24	Против всех	26	0	1	2	0	0	4	2	1	0	1	12	1	2	0					
		0.29%	0.00%	0.45%	0.08%	0.00%	0.00%	0.87%	0.53%	0.40%	0.00%	0.18%	2.23%	0.10%	0.17%	0.00%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
