Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Прионежская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20368	1737	135	1022	531	2455	1040	1992	1596	1708	1358	194	1451	902	1285	150	278	989	930	615									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19700	1600	100	1000	500	2400	1000	2000	1600	1700	1300	180	1400	900	1200	150	270	900	900	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7281	519	33	282	183	762	291	777	539	975	492	58	542	307	431	58	95	344	380	213									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	407	71	3	20	21	39	12	7	41	1	39	16	24	22	24	2	6	11	19	29									
6	Число погашенных избирательных бюллетеней	12012	1010	64	698	296	1599	697	1216	1020	724	769	106	834	571	745	90	169	545	501	358									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	407	71	3	20	21	39	12	7	41	1	39	16	24	22	24	2	6	11	19	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7240	519	33	282	183	762	291	777	539	972	454	58	542	307	431	58	95	344	380	213									
9	Число недействительных избирательных бюллетеней	249	18	2	5	6	36	10	34	17	35	11	2	23	16	10	3	1	6	9	5									
10	Число действительных избирательных бюллетеней	7398	572	34	297	198	765	293	750	563	938	482	72	543	313	445	57	100	349	390	237									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	410	30	10	30	20	30	20	30	30	30	20	10	30	20	20	10	10	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	99	1	0	5	2	10	4	13	5	19	3	2	6	10	2	1	3	9	2	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	102	5	1	6	3	9	4	8	2	15	3	12	4	5	7	0	0	3	7	8									
14	Число погашенных неиспользованных открепительных удостоверений	311	29	10	25	18	20	16	17	25	11	17	8	24	10	18	9	7	11	18	18									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	1	0	0	2	3	0	0	2	29	3	0	0	2	3	0	1	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	81	4	0	4	3	12	2	9	4	8	7	1	3	10	5	0	0	5	3	1									
		1.06%	0.68%	0.00%	1.32%	1.47%	1.50%	0.66%	1.15%	0.69%	0.82%	1.42%	1.35%	0.53%	3.04%	1.10%	0.00%	0.00%	1.41%	0.75%	0.41%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	188	18	0	11	3	19	10	34	12	15	6	1	17	3	12	1	3	6	11	6									
		2.46%	3.05%	0.00%	3.64%	1.47%	2.37%	3.30%	4.34%	2.07%	1.54%	1.22%	1.35%	3.00%	0.91%	2.64%	1.67%	2.97%	1.69%	2.76%	2.48%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	174	14	0	8	5	16	9	16	15	15	11	1	19	12	12	1	1	7	7	5									
		2.28%	2.37%	0.00%	2.65%	2.45%	1.99%	2.97%	2.04%	2.59%	1.54%	2.23%	1.35%	3.36%	3.65%	2.64%	1.67%	0.99%	1.97%	1.75%	2.07%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3058	238	13	109	87	287	121	235	214	461	214	39	229	116	207	23	51	148	176	90									
		39.99%	40.34%	36.11%	36.09%	42.65%	35.83%	39.93%	29.97%	36.90%	47.38%	43.41%	52.70%	40.46%	35.26%	45.49%	38.33%	50.50%	41.69%	44.11%	37.19%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	36	2	0	5	2	3	1	2	2	7	1	0	2	4	2	0	0	0	1	2									
		0.47%	0.34%	0.00%	1.66%	0.98%	0.37%	0.33%	0.26%	0.34%	0.72%	0.20%	0.00%	0.35%	1.22%	0.44%	0.00%	0.00%	0.00%	0.25%	0.83%									
